# Vesoha Hindi · all frontends | (C) 1993-2026 Abhishek Choudhary GPL-3.0-or-later
frontend	native	romenagri	host
ada	प्रक्रिया	prakriyaa	procedure
ada	कृत्य	kaृtya	function
ada	है	hai	is
ada	आरम्भ	arambha	begin
ada	समाप्त	samaapta	end
ada	लौटाओ	lautaaau	return
ada	पूर्णांक	puurnaanka	Integer
asm	वैश्विक	vaishvika	.globl
asm	पाठ	paatha	.text
asm	स्थानान्तरण	sthaanaantarana	movl
asm	जोड़ो	jaoda़o	addl
asm	लौट	lauta	ret
asm	%पूर्णांकक	%puurnaankaka	%eax
asm	$तत्काल	$tatkaala	$imm
basic	अचर	acara	CONST
basic	लिखो	likhao	PRINT
basic	यदि	yadi	IF
basic	तो	tao	THEN
basic	हेतु	heetu	FOR
basic	अगला	agalaa	NEXT
basic	आयाम	ayaama	DIM
basic	उप	उpa	SUB
c	यदि	yadi	if
c	अन्यथा	anyathaa	else
c	जबतक	jabataka	while
c	करो	karau	do
c	हेतु	heetu	for
c	विराम	viraama	break
c	जारी	jaarii	continue
c	चयन	cayana	switch
c	जब	jaba	case
c	मूल	muula	default
c	लौटाओ	lautaaau	return
c	अचर	acara	const
c	पूर्णांक	puur_naa_nka	int
c	दशमलव	dashamalava	float
c	द्विगुण	dviguu_na	double
c	अक्षर	ak_sara	char
c	कृत्य	kr_tya	void
c	वर्ग	varga	class
c	नवीन	naviina	new
c	सार्वजनिक	saarvajanika	public
c	निजी	nijii	private
c	स्थिर	sthira	static
c	आभासी	aabhaasii	virtual
c	संरचना	sa_nracanaa	struct
c	सम्मिलित	sammilita	include
c	पढ़ो	pa_dau	scanf
c	लिखो	likhau	printf
c	आकार	akaara	sizeof
c	रूपनाम	ruupanaama	typedef
clojure	परिभाषा	paribhaasaa	defn
clojure	परिभाषा	paribhaasaa	def
clojure	यदि	yadi	if
clojure	मान	maana	let
clojure	कृत्य	kaृtya	fn
cobol	पहचान	pahacaana	IDENTIFICATION
cobol	विभाग	vibhaaga	DIVISION
cobol	गणना	gananaa	COMPUTE
cobol	प्रदर्श	pradarsha	DISPLAY
cobol	रुको	rukao	STOP
cobol	चलाओ	calaao	RUN
cpp	वर्ग	varga	class
cpp	बूल	buula	bool
cpp	साँचा	saancaa	template
cpp	नामस्थान	naamasthaana	namespace
cpp	नवीन	naviina	new
cpp	मिटाओ	mitaao	delete
cpp	आभासी	aabhaasii	virtual
cppp	घोषणा	ghaosanaa	#define
cppp	यदिपरिभाषित	yadiparibhaasita	#ifdef
cppp	यदिअप परिभाषित	yadiapa paribhaasita	#ifndef
cppp	सम्मिलित	sammilita	#include
cppp	अघोषित	aghaosita	#undef
cppp	परिभाषित	paribhaasita	defined
csharp	वर्ग	varga	class
csharp	स्थिर	sthira	static
csharp	पूर्णांक	puur_naa_nka	int
csharp	लौटाओ	lautaaau	return
csharp	पटल	patala	Console
csharp	पङ्क्तिलिखो	panga_ktilikhao	WriteLine
csharp	मुख्य	mukhya	Main
dart	पूर्णांक	puur_naa_nka	int
dart	कृत्य	kr_tya	void
dart	चर	cara	var
dart	लिखो	likhao	print
dart	लौटाओ	lautaaau	return
forth	परिभाषा	paribhaasaa	:
forth	समाप्त	samaapta	;
forth	द्विगुण	dviguna	DUP
forth	अदलाबदली	adalaabadalii	SWAP
forth	गिराओ	giraao	DROP
forth	ऊपर	uupara	OVER
forth	छापो	chaapao	.
fortran	कार्यक्रम	kaaryakrama	PROGRAM
fortran	पूर्णांक	puurnaanka	INTEGER
fortran	रुको	rukao	STOP
fortran	यदि	yadi	IF
fortran	तो	tao	THEN
fortran	समाप्त	samaapta	END
fortran	करो	karau	DO
go	संकुल	sankula	package
go	कृत्य	kaृtya	func
go	लौटाओ	lautaaau	return
go	यदि	yadi	if
go	हेतु	heetu	for
go	चर	cara	var
go	अचर	acara	const
haskell	मुख्य	mukhya	main
haskell	जहाँ	jahaan	where
haskell	मान	maana	let
haskell	में	maen	in
haskell	लिखो	likhao	print
haskell	मापांक	maapaanka	module
java	वर्ग	varga	class
java	कृत्य	kr_tya	void
java	सार्वजनिक	saarvajanika	public
java	स्थिर	sthira	static
java	यदि	yadi	if
java	लौटाओ	lautaaau	return
java	नवीन	naviina	new
javascript	चर	cara	var
javascript	मान	maana	let
javascript	अचर	acara	const
javascript	कृत्य	kaृtya	function
javascript	यदि	yadi	if
javascript	लौटाओ	lautaaau	return
javascript	फेंको	phaenkao	throw
javascript	नवीन	naviina	new
julia	कृत्य	kaृtya	function
julia	समाप्त	samaapta	end
julia	लौटाओ	lautaaau	return
julia	यदि	yadi	if
julia	अन्यथा	anyathaa	else
julia	हेतु	heetu	for
kconfig	विन्यास	vinyaasa	config
kconfig	बूल	buula	bool
kconfig	त्रिस्थिति	tristhiti	tristate
kconfig	मूल	muula	default
kconfig	निर्भर	nirbhara	depends
kconfig	चयन	cayana	select
kconfig	सहायता	sahaayataa	help
kotlin	कृत्य	kaृtya	fun
kotlin	मान	maana	val
kotlin	चर	cara	var
kotlin	पङ्क्तिलिखो	panga_ktilikhao	println
kotlin	लौटाओ	lautaaau	return
ld	प्रवेश	pravaesha	ENTRY
ld	खण्ड	khana_da	SECTIONS
ld	रखो	rakhao	KEEP
ld	संरेख	sanraekha	ALIGN
ld	प्रदान	pradaana	PROVIDE
ld	स्मृति	smaृti	MEMORY
lex	%%	%%	%%
lex	%{	%{	%{
lex	%}	%}	%}
lex	आरम्भ	arambha	BEGIN
lex	लौटाओ	lautaaau	return
lex	yyपाठ	yypaatha	yytext
lisp	परिभाषा	paribhaasaa	defun
lisp	मान	maana	let
lisp	यदि	yadi	if
lisp	उद्धरण	उddharana	quote
lisp	लम्बक	lambaka	lambda
lisp	परीक्षण	pariik_sana	deftest
logo	आगे	agae	FORWARD
logo	पीछे	piichae	BACK
logo	बाएँ	baaen	LEFT
logo	दाएँ	daaen	RIGHT
logo	दोहराओ	daoharaao	REPEAT
logo	को	kao	TO
logo	समाप्त	samaapta	END
logo	कलमउठाओ	kalamaउthaao	PENUP
logo	कलमरखो	kalamarakhao	PENDOWN
logo	लिखो	likhao	PRINT
lua	कृत्य	kaृtya	function
lua	समाप्त	samaapta	end
lua	स्थानीय	sthaaniiya	local
lua	लौटाओ	lautaaau	return
lua	यदि	yadi	if
lua	तो	tao	then
lua	अभिकथन	abhikathana	assert
lua	लिखो	likhao	print
make	यदिबराबर	yadibaraabara	ifeq
make	यदिपरिभाषित	yadiparibhaasita	ifdef
make	सम्मिलित	sammilita	include
make	वस्तु-y	vastu-y	obj-y
make	कृत्रिम	kaृtrima	PHONY
make	निर्यात	niryaata	export
ocaml	मान	maana	let
ocaml	पुनः	punah	rec
ocaml	में	maen	in
ocaml	यदि	yadi	if
ocaml	तो	tao	then
ocaml	अन्यथा	anyathaa	else
ocaml	मेल	maela	match
octave	कृत्य	kaृtya	function
octave	समाप्त	samaapta	end
octave	कृत्यसमाप्त	kaृtyasamaapta	endfunction
octave	प्रदर्श	pradarsha	disp
octave	यदि	yadi	if
octave	अन्यथा	anyathaa	else
panini	मापांक	maapaanka	MODULE
panini	कृत्य	kaृtya	FUNCTION
panini	समाप्त	samaapta	END
panini	यदि	yadi	IF
panini	अन्यथा	anyathaa	ELSE
panini	जबतक	jabataka	WHILE
panini	लौटाओ	lautaaau	RETURN
panini	लिखो	likhao	PRINT
panini	संविधान	sanvidhaana	CONSTITUTION
pascal	कार्यक्रम	kaaryakrama	program
pascal	आरम्भ	arambha	begin
pascal	समाप्त	samaapta	end
pascal	प्रक्रिया	prakriyaa	procedure
pascal	कृत्य	kaृtya	function
pascal	यदि	yadi	if
pascal	तो	tao	then
pascal	चर	cara	var
perl	उप	उpa	sub
perl	मेरा	maeraa	my
perl	लिखो	likhao	print
perl	कहो	kahao	say
perl	लौटाओ	lautaaau	return
php	कृत्य	kaृtya	function
php	प्रतिध्वनि	pratidhvani	echo
php	लिखो	likhao	print
php	लौटाओ	lautaaau	return
