# assamese C keywords — Hindi bar 29. GPL-3.0-or-later
native	romenagri	c
যদি	yadi	if
অন্যথা	anyathaa	else
যেতিয়ালৈ	yeetiyaalai	while
কৰা	karaa	do
বাবে	baabee	for
বিৰতি	birati	break
অব্যাহত	abyaahata	continue
নিৰ্বাচন	nirbaacana	switch
অৱস্থা	avasthaa	case
মূল	muula	default
ঘূৰাই	ghuuraai	return
ধ্ৰুৱক	dhrubaka	const
পূৰ্ণসংখ্যা	puurnasa_nkhyaa	int
দশমিক	dashamika	float
দ্বিগুণ	dvigu_na	double
আখৰ	aakhara	char
কাৰ্য	kaarya	void
শূন্য	shuunya	void
শ্ৰেণী	shree_nii	class
নতুন	natuna	new
ৰাজহুৱা	raajahuwaa	public
ব্যক্তিগত	byaktigata	private
স্থিৰ	sthira	static
আভাসী	aabhaasii	virtual
যেতিয়া	yeetiyaa	case
গঠন	gathana	struct
অন্তৰ্ভুক্ত	antarbhukta	include
পঢ়ক	pa_dhaka	scanf
লিখক	likhaka	printf
