# hebrew C keywords — Hindi bar 29. GPL-3.0-or-later
native	romenagri	c
אם	ama	if
אחרת	aharata	else
כלעוד	kalaeauda	while
עשה	aeshah	do
עבור	aebuura	for
שבור	shvor	break
המשך	hemshech	continue
בחר	bchar	switch
מקרה	mikre	case
ברירתמחדל	briratmachdal	default
החזר	hahazara	return
קבוע	kavuа	const
שלם	shalem	int
צף	tsaf	float
כפול	kaful	double
תו	tav	char
פונקציה	puunaqaeiyah	void
ריק	rek	void
מחלקה	mahalaqah	class
חדש	chadash	new
ציבורי	tsiburi	public
פרטי	prati	private
סטטי	stati	static
מדומה	medume	virtual
כאשר	kaasher	case
מבנה	mivne	struct
כלול	kalul	include
קרא	kra	scanf
כתוב	ktov	printf
