# nepali C keywords — Hindi bar 29. GPL-3.0-or-later
native	romenagri	c
यदि	yadi	if
अन्यथा	anyathaa	else
जबसम्म	jabasamma	while
गर	gara	do
लागि	laagi	for
रोक	rauka	break
जारी	jaarii	continue
चयन	cayana	switch
स्थिति	sthiti	case
मूल	muula	default
फर्काऊ	pharakaauu	return
अचर	acara	const
पूर्णाङ्क	puur_naa_nka	int
दशमलव	dashamalava	float
द्विगुण	dviguu_na	double
अक्षर	ak_sara	char
कार्य	kaarya	void
शून्य	shuunya	void
वर्ग	varga	class
नयाँ	nayaa_n	new
सार्वजनिक	saarvajanika	public
निजी	nijii	private
स्थिर	sthira	static
आभासी	aabhaasii	virtual
जब	jaba	case
संरचना	sa_nracanaa	struct
समावेश	samaavesha	include
पढ	pa_dha	scanf
लेख	lekha	printf
