# pali C keywords — Hindi bar 29. GPL-3.0-or-later
native	romenagri	c
सचे	sacee	if
अञ्ञथा	anyanyathaa	else
याव	yaava	while
करोहि	karauhi	do
अत्थाय	atthaaya	for
भञ्ज	bha_nja	break
अनुवत्त	anuvatta	continue
विकप्प	vikappa	switch
पक्ख	pakkha	case
सभाव	sabhaava	default
पटिनिवत्त	patinivatta	return
ध्रुव	dhruva	const
पूर्णङ्क	puur_na_nka	int
भिन्न	bhinna	float
द्विगुण	dvigu_na	double
वण्ण	va_n_na	char
किच्च	kicca	void
सुञ्ञ	su_n_na	void
वग्ग	vaggsa	class
नव	nava	new
साधारण	saadhaara_na	public
गुत्त	gutta	private
ठित	thita	static
आभास	aabhaasa	virtual
यदा	yadaa	case
सङ्घट	sa_ngha_ta	struct
अन्तोगध	antogadha	include
पठ	patha	scanf
लिख	likha	printf
