# prakrit C keywords — Hindi bar 29. GPL-3.0-or-later
native	romenagri	c
जइ	jai	if
अण्णहा	a_n_nahaa	else
जाव	jaava	while
करेहि	kareehi	do
अत्थे	atthe	for
भंग	bha_nga	break
चालु	caalu	continue
विअप्प	viappa	switch
पक्ख	pakkha	case
मूल	muula	default
निअत्त	niatta	return
धुव	dhuva	const
पुण्णंक	pu_n_na_nka	int
भिण्ण	bhi_n_na	float
दुगुण	dugu_na	double
अक्खर	akkhara	char
सुण्ण	su_n_na	void
किरिया	kiriyaa	void
वग्ग	vagga	class
णव	_nava	new
साहत्त	saahatta	public
गुत्त	gutta	private
ठिअ	thia	static
आभास	aabhaasa	virtual
जदा	jadaa	case
संघड	sa_ngha_da	struct
अंतोगध	a_ntogadha	include
पढ	pa_dha	scanf
लिह	liha	printf
