# Arabic Unicode inventory. Language-axis maps remain urdu_map / lang_*.csv (lossy).
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+0600	؀	ARABIC NUMBER SIGN
U+0601	؁	ARABIC SIGN SANAH
U+0602	؂	ARABIC FOOTNOTE MARKER
U+0603	؃	ARABIC SIGN SAFHA
U+0604	؄	ARABIC SIGN SAMVAT
U+0605	؅	ARABIC NUMBER MARK ABOVE
U+0606	؆	ARABIC-INDIC CUBE ROOT
U+0607	؇	ARABIC-INDIC FOURTH ROOT
U+0608	؈	ARABIC RAY
U+0609	؉	ARABIC-INDIC PER MILLE SIGN
U+060A	؊	ARABIC-INDIC PER TEN THOUSAND SIGN
U+060C	،	ARABIC COMMA
U+060D	؍	ARABIC DATE SEPARATOR
U+060E	؎	ARABIC POETIC VERSE SIGN
U+060F	؏	ARABIC SIGN MISRA
U+0610	ؐ	ARABIC SIGN SALLALLAHOU ALAYHE WASSALLAM
U+0611	ؑ	ARABIC SIGN ALAYHE ASSALLAM
U+0612	ؒ	ARABIC SIGN RAHMATULLAH ALAYHE
U+0613	ؓ	ARABIC SIGN RADI ALLAHOU ANHU
U+0614	ؔ	ARABIC SIGN TAKHALLUS
U+0615	ؕ	ARABIC SMALL HIGH TAH
U+0616	ؖ	ARABIC SMALL HIGH LIGATURE ALEF WITH LAM WITH YEH
U+0617	ؗ	ARABIC SMALL HIGH ZAIN
U+0618	ؘ	ARABIC SMALL FATHA
U+0619	ؙ	ARABIC SMALL DAMMA
U+061A	ؚ	ARABIC SMALL KASRA
U+061B	؛	ARABIC SEMICOLON
U+061C	؜	ARABIC LETTER MARK
U+061E	؞	ARABIC TRIPLE DOT PUNCTUATION MARK
U+061F	؟	ARABIC QUESTION MARK
U+0620	ؠ	ARABIC LETTER KASHMIRI YEH
U+0621	ء	ARABIC LETTER HAMZA
U+0622	آ	ARABIC LETTER ALEF WITH MADDA ABOVE
U+0623	أ	ARABIC LETTER ALEF WITH HAMZA ABOVE
U+0624	ؤ	ARABIC LETTER WAW WITH HAMZA ABOVE
U+0625	إ	ARABIC LETTER ALEF WITH HAMZA BELOW
U+0626	ئ	ARABIC LETTER YEH WITH HAMZA ABOVE
U+0627	ا	ARABIC LETTER ALEF
U+0628	ب	ARABIC LETTER BEH
U+0629	ة	ARABIC LETTER TEH MARBUTA
U+062A	ت	ARABIC LETTER TEH
U+062B	ث	ARABIC LETTER THEH
U+062C	ج	ARABIC LETTER JEEM
U+062D	ح	ARABIC LETTER HAH
U+062E	خ	ARABIC LETTER KHAH
U+062F	د	ARABIC LETTER DAL
U+0630	ذ	ARABIC LETTER THAL
U+0631	ر	ARABIC LETTER REH
U+0632	ز	ARABIC LETTER ZAIN
U+0633	س	ARABIC LETTER SEEN
U+0634	ش	ARABIC LETTER SHEEN
U+0635	ص	ARABIC LETTER SAD
U+0636	ض	ARABIC LETTER DAD
U+0637	ط	ARABIC LETTER TAH
U+0638	ظ	ARABIC LETTER ZAH
U+0639	ع	ARABIC LETTER AIN
U+063A	غ	ARABIC LETTER GHAIN
U+063B	ػ	ARABIC LETTER KEHEH WITH TWO DOTS ABOVE
U+063C	ؼ	ARABIC LETTER KEHEH WITH THREE DOTS BELOW
U+063D	ؽ	ARABIC LETTER FARSI YEH WITH INVERTED V
U+063E	ؾ	ARABIC LETTER FARSI YEH WITH TWO DOTS ABOVE
U+063F	ؿ	ARABIC LETTER FARSI YEH WITH THREE DOTS ABOVE
U+0640	ـ	ARABIC TATWEEL
U+0641	ف	ARABIC LETTER FEH
U+0642	ق	ARABIC LETTER QAF
U+0643	ك	ARABIC LETTER KAF
U+0644	ل	ARABIC LETTER LAM
U+0645	م	ARABIC LETTER MEEM
U+0646	ن	ARABIC LETTER NOON
U+0647	ه	ARABIC LETTER HEH
U+0648	و	ARABIC LETTER WAW
U+0649	ى	ARABIC LETTER ALEF MAKSURA
U+064A	ي	ARABIC LETTER YEH
U+064B	ً	ARABIC FATHATAN
U+064C	ٌ	ARABIC DAMMATAN
U+064D	ٍ	ARABIC KASRATAN
U+064E	َ	ARABIC FATHA
U+064F	ُ	ARABIC DAMMA
U+0650	ِ	ARABIC KASRA
U+0651	ّ	ARABIC SHADDA
U+0652	ْ	ARABIC SUKUN
U+0653	ٓ	ARABIC MADDAH ABOVE
U+0654	ٔ	ARABIC HAMZA ABOVE
U+0655	ٕ	ARABIC HAMZA BELOW
U+0656	ٖ	ARABIC SUBSCRIPT ALEF
U+0657	ٗ	ARABIC INVERTED DAMMA
U+0658	٘	ARABIC MARK NOON GHUNNA
U+0659	ٙ	ARABIC ZWARAKAY
U+065A	ٚ	ARABIC VOWEL SIGN SMALL V ABOVE
U+065B	ٛ	ARABIC VOWEL SIGN INVERTED SMALL V ABOVE
U+065C	ٜ	ARABIC VOWEL SIGN DOT BELOW
U+065D	ٝ	ARABIC REVERSED DAMMA
U+065E	ٞ	ARABIC FATHA WITH TWO DOTS
U+065F	ٟ	ARABIC WAVY HAMZA BELOW
U+0660	٠	ARABIC-INDIC DIGIT ZERO
U+0661	١	ARABIC-INDIC DIGIT ONE
U+0662	٢	ARABIC-INDIC DIGIT TWO
U+0663	٣	ARABIC-INDIC DIGIT THREE
U+0664	٤	ARABIC-INDIC DIGIT FOUR
U+0665	٥	ARABIC-INDIC DIGIT FIVE
U+0666	٦	ARABIC-INDIC DIGIT SIX
U+0667	٧	ARABIC-INDIC DIGIT SEVEN
U+0668	٨	ARABIC-INDIC DIGIT EIGHT
U+0669	٩	ARABIC-INDIC DIGIT NINE
U+066A	٪	ARABIC PERCENT SIGN
U+066B	٫	ARABIC DECIMAL SEPARATOR
U+066C	٬	ARABIC THOUSANDS SEPARATOR
U+066D	٭	ARABIC FIVE POINTED STAR
U+066E	ٮ	ARABIC LETTER DOTLESS BEH
U+066F	ٯ	ARABIC LETTER DOTLESS QAF
U+0670	ٰ	ARABIC LETTER SUPERSCRIPT ALEF
U+0671	ٱ	ARABIC LETTER ALEF WASLA
U+0672	ٲ	ARABIC LETTER ALEF WITH WAVY HAMZA ABOVE
U+0673	ٳ	ARABIC LETTER ALEF WITH WAVY HAMZA BELOW
U+0674	ٴ	ARABIC LETTER HIGH HAMZA
U+0675	ٵ	ARABIC LETTER HIGH HAMZA ALEF
U+0676	ٶ	ARABIC LETTER HIGH HAMZA WAW
U+0677	ٷ	ARABIC LETTER U WITH HAMZA ABOVE
U+0678	ٸ	ARABIC LETTER HIGH HAMZA YEH
U+0679	ٹ	ARABIC LETTER TTEH
U+067A	ٺ	ARABIC LETTER TTEHEH
U+067B	ٻ	ARABIC LETTER BEEH
U+067C	ټ	ARABIC LETTER TEH WITH RING
U+067D	ٽ	ARABIC LETTER TEH WITH THREE DOTS ABOVE DOWNWARDS
U+067E	پ	ARABIC LETTER PEH
U+067F	ٿ	ARABIC LETTER TEHEH
U+0680	ڀ	ARABIC LETTER BEHEH
U+0681	ځ	ARABIC LETTER HAH WITH HAMZA ABOVE
U+0682	ڂ	ARABIC LETTER HAH WITH TWO DOTS VERTICAL ABOVE
U+0683	ڃ	ARABIC LETTER NYEH
U+0684	ڄ	ARABIC LETTER DYEH
U+0685	څ	ARABIC LETTER HAH WITH THREE DOTS ABOVE
U+0686	چ	ARABIC LETTER TCHEH
U+0687	ڇ	ARABIC LETTER TCHEHEH
U+0688	ڈ	ARABIC LETTER DDAL
U+0689	ډ	ARABIC LETTER DAL WITH RING
U+068A	ڊ	ARABIC LETTER DAL WITH DOT BELOW
U+068B	ڋ	ARABIC LETTER DAL WITH DOT BELOW AND SMALL TAH
U+068C	ڌ	ARABIC LETTER DAHAL
U+068D	ڍ	ARABIC LETTER DDAHAL
U+068E	ڎ	ARABIC LETTER DUL
