# Imperial Aramaic — direct Unicode inventory.
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+10840	𐡀	IMPERIAL ARAMAIC LETTER ALEPH
U+10841	𐡁	IMPERIAL ARAMAIC LETTER BETH
U+10842	𐡂	IMPERIAL ARAMAIC LETTER GIMEL
U+10843	𐡃	IMPERIAL ARAMAIC LETTER DALETH
U+10844	𐡄	IMPERIAL ARAMAIC LETTER HE
U+10845	𐡅	IMPERIAL ARAMAIC LETTER WAW
U+10846	𐡆	IMPERIAL ARAMAIC LETTER ZAYIN
U+10847	𐡇	IMPERIAL ARAMAIC LETTER HETH
U+10848	𐡈	IMPERIAL ARAMAIC LETTER TETH
U+10849	𐡉	IMPERIAL ARAMAIC LETTER YODH
U+1084A	𐡊	IMPERIAL ARAMAIC LETTER KAPH
U+1084B	𐡋	IMPERIAL ARAMAIC LETTER LAMEDH
U+1084C	𐡌	IMPERIAL ARAMAIC LETTER MEM
U+1084D	𐡍	IMPERIAL ARAMAIC LETTER NUN
U+1084E	𐡎	IMPERIAL ARAMAIC LETTER SAMEKH
U+1084F	𐡏	IMPERIAL ARAMAIC LETTER AYIN
U+10850	𐡐	IMPERIAL ARAMAIC LETTER PE
U+10851	𐡑	IMPERIAL ARAMAIC LETTER SADHE
U+10852	𐡒	IMPERIAL ARAMAIC LETTER QOPH
U+10853	𐡓	IMPERIAL ARAMAIC LETTER RESH
U+10854	𐡔	IMPERIAL ARAMAIC LETTER SHIN
U+10855	𐡕	IMPERIAL ARAMAIC LETTER TAW
U+10857	𐡗	IMPERIAL ARAMAIC SECTION SIGN
U+10858	𐡘	IMPERIAL ARAMAIC NUMBER ONE
U+10859	𐡙	IMPERIAL ARAMAIC NUMBER TWO
U+1085A	𐡚	IMPERIAL ARAMAIC NUMBER THREE
U+1085B	𐡛	IMPERIAL ARAMAIC NUMBER TEN
U+1085C	𐡜	IMPERIAL ARAMAIC NUMBER TWENTY
U+1085D	𐡝	IMPERIAL ARAMAIC NUMBER ONE HUNDRED
U+1085E	𐡞	IMPERIAL ARAMAIC NUMBER ONE THOUSAND
U+1085F	𐡟	IMPERIAL ARAMAIC NUMBER TEN THOUSAND
