# Hebrew — direct mapping (Unicode identity). Architect: Hebrew is not routed through Devanagari.
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+0591	֑	HEBREW ACCENT ETNAHTA
U+0592	֒	HEBREW ACCENT SEGOL
U+0593	֓	HEBREW ACCENT SHALSHELET
U+0594	֔	HEBREW ACCENT ZAQEF QATAN
U+0595	֕	HEBREW ACCENT ZAQEF GADOL
U+0596	֖	HEBREW ACCENT TIPEHA
U+0597	֗	HEBREW ACCENT REVIA
U+0598	֘	HEBREW ACCENT ZARQA
U+0599	֙	HEBREW ACCENT PASHTA
U+059A	֚	HEBREW ACCENT YETIV
U+059B	֛	HEBREW ACCENT TEVIR
U+059C	֜	HEBREW ACCENT GERESH
U+059D	֝	HEBREW ACCENT GERESH MUQDAM
U+059E	֞	HEBREW ACCENT GERSHAYIM
U+059F	֟	HEBREW ACCENT QARNEY PARA
U+05A0	֠	HEBREW ACCENT TELISHA GEDOLA
U+05A1	֡	HEBREW ACCENT PAZER
U+05A2	֢	HEBREW ACCENT ATNAH HAFUKH
U+05A3	֣	HEBREW ACCENT MUNAH
U+05A4	֤	HEBREW ACCENT MAHAPAKH
U+05A5	֥	HEBREW ACCENT MERKHA
U+05A6	֦	HEBREW ACCENT MERKHA KEFULA
U+05A7	֧	HEBREW ACCENT DARGA
U+05A8	֨	HEBREW ACCENT QADMA
U+05A9	֩	HEBREW ACCENT TELISHA QETANA
U+05AA	֪	HEBREW ACCENT YERAH BEN YOMO
U+05AB	֫	HEBREW ACCENT OLE
U+05AC	֬	HEBREW ACCENT ILUY
U+05AD	֭	HEBREW ACCENT DEHI
U+05AE	֮	HEBREW ACCENT ZINOR
U+05AF	֯	HEBREW MARK MASORA CIRCLE
U+05B0	ְ	HEBREW POINT SHEVA
U+05B1	ֱ	HEBREW POINT HATAF SEGOL
U+05B2	ֲ	HEBREW POINT HATAF PATAH
U+05B3	ֳ	HEBREW POINT HATAF QAMATS
U+05B4	ִ	HEBREW POINT HIRIQ
U+05B5	ֵ	HEBREW POINT TSERE
U+05B6	ֶ	HEBREW POINT SEGOL
U+05B7	ַ	HEBREW POINT PATAH
U+05B8	ָ	HEBREW POINT QAMATS
U+05B9	ֹ	HEBREW POINT HOLAM
U+05BA	ֺ	HEBREW POINT HOLAM HASER FOR VAV
U+05BB	ֻ	HEBREW POINT QUBUTS
U+05BC	ּ	HEBREW POINT DAGESH OR MAPIQ
U+05BD	ֽ	HEBREW POINT METEG
U+05BE	־	HEBREW PUNCTUATION MAQAF
U+05BF	ֿ	HEBREW POINT RAFE
U+05C0	׀	HEBREW PUNCTUATION PASEQ
U+05C1	ׁ	HEBREW POINT SHIN DOT
U+05C2	ׂ	HEBREW POINT SIN DOT
U+05C3	׃	HEBREW PUNCTUATION SOF PASUQ
U+05C4	ׄ	HEBREW MARK UPPER DOT
U+05C5	ׅ	HEBREW MARK LOWER DOT
U+05C6	׆	HEBREW PUNCTUATION NUN HAFUKHA
U+05C7	ׇ	HEBREW POINT QAMATS QATAN
U+05D0	א	HEBREW LETTER ALEF
U+05D1	ב	HEBREW LETTER BET
U+05D2	ג	HEBREW LETTER GIMEL
U+05D3	ד	HEBREW LETTER DALET
U+05D4	ה	HEBREW LETTER HE
U+05D5	ו	HEBREW LETTER VAV
U+05D6	ז	HEBREW LETTER ZAYIN
U+05D7	ח	HEBREW LETTER HET
U+05D8	ט	HEBREW LETTER TET
U+05D9	י	HEBREW LETTER YOD
U+05DA	ך	HEBREW LETTER FINAL KAF
U+05DB	כ	HEBREW LETTER KAF
U+05DC	ל	HEBREW LETTER LAMED
U+05DD	ם	HEBREW LETTER FINAL MEM
U+05DE	מ	HEBREW LETTER MEM
U+05DF	ן	HEBREW LETTER FINAL NUN
U+05E0	נ	HEBREW LETTER NUN
U+05E1	ס	HEBREW LETTER SAMEKH
U+05E2	ע	HEBREW LETTER AYIN
U+05E3	ף	HEBREW LETTER FINAL PE
U+05E4	פ	HEBREW LETTER PE
U+05E5	ץ	HEBREW LETTER FINAL TSADI
U+05E6	צ	HEBREW LETTER TSADI
U+05E7	ק	HEBREW LETTER QOF
U+05E8	ר	HEBREW LETTER RESH
U+05E9	ש	HEBREW LETTER SHIN
U+05EA	ת	HEBREW LETTER TAV
U+05EF	ׯ	HEBREW YOD TRIANGLE
U+05F0	װ	HEBREW LIGATURE YIDDISH DOUBLE VAV
U+05F1	ױ	HEBREW LIGATURE YIDDISH VAV YOD
U+05F2	ײ	HEBREW LIGATURE YIDDISH DOUBLE YOD
U+05F3	׳	HEBREW PUNCTUATION GERESH
U+05F4	״	HEBREW PUNCTUATION GERSHAYIM
