# Phoenician — direct Unicode inventory.
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+10900	𐤀	PHOENICIAN LETTER ALF
U+10901	𐤁	PHOENICIAN LETTER BET
U+10902	𐤂	PHOENICIAN LETTER GAML
U+10903	𐤃	PHOENICIAN LETTER DELT
U+10904	𐤄	PHOENICIAN LETTER HE
U+10905	𐤅	PHOENICIAN LETTER WAU
U+10906	𐤆	PHOENICIAN LETTER ZAI
U+10907	𐤇	PHOENICIAN LETTER HET
U+10908	𐤈	PHOENICIAN LETTER TET
U+10909	𐤉	PHOENICIAN LETTER YOD
U+1090A	𐤊	PHOENICIAN LETTER KAF
U+1090B	𐤋	PHOENICIAN LETTER LAMD
U+1090C	𐤌	PHOENICIAN LETTER MEM
U+1090D	𐤍	PHOENICIAN LETTER NUN
U+1090E	𐤎	PHOENICIAN LETTER SEMK
U+1090F	𐤏	PHOENICIAN LETTER AIN
U+10910	𐤐	PHOENICIAN LETTER PE
U+10911	𐤑	PHOENICIAN LETTER SADE
U+10912	𐤒	PHOENICIAN LETTER QOF
U+10913	𐤓	PHOENICIAN LETTER ROSH
U+10914	𐤔	PHOENICIAN LETTER SHIN
U+10915	𐤕	PHOENICIAN LETTER TAU
U+10916	𐤖	PHOENICIAN NUMBER ONE
U+10917	𐤗	PHOENICIAN NUMBER TEN
U+10918	𐤘	PHOENICIAN NUMBER TWENTY
U+10919	𐤙	PHOENICIAN NUMBER ONE HUNDRED
U+1091A	𐤚	PHOENICIAN NUMBER TWO
U+1091B	𐤛	PHOENICIAN NUMBER THREE
U+1091F	𐤟	PHOENICIAN WORD SEPARATOR
