# Syriac — direct Unicode inventory.
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+0700	܀	SYRIAC END OF PARAGRAPH
U+0701	܁	SYRIAC SUPRALINEAR FULL STOP
U+0702	܂	SYRIAC SUBLINEAR FULL STOP
U+0703	܃	SYRIAC SUPRALINEAR COLON
U+0704	܄	SYRIAC SUBLINEAR COLON
U+0705	܅	SYRIAC HORIZONTAL COLON
U+0706	܆	SYRIAC COLON SKEWED LEFT
U+0707	܇	SYRIAC COLON SKEWED RIGHT
U+0708	܈	SYRIAC SUPRALINEAR COLON SKEWED LEFT
U+0709	܉	SYRIAC SUBLINEAR COLON SKEWED RIGHT
U+070A	܊	SYRIAC CONTRACTION
U+070B	܋	SYRIAC HARKLEAN OBELUS
U+070C	܌	SYRIAC HARKLEAN METOBELUS
U+070D	܍	SYRIAC HARKLEAN ASTERISCUS
U+070F	܏	SYRIAC ABBREVIATION MARK
U+0710	ܐ	SYRIAC LETTER ALAPH
U+0711	ܑ	SYRIAC LETTER SUPERSCRIPT ALAPH
U+0712	ܒ	SYRIAC LETTER BETH
U+0713	ܓ	SYRIAC LETTER GAMAL
U+0714	ܔ	SYRIAC LETTER GAMAL GARSHUNI
U+0715	ܕ	SYRIAC LETTER DALATH
U+0716	ܖ	SYRIAC LETTER DOTLESS DALATH RISH
U+0717	ܗ	SYRIAC LETTER HE
U+0718	ܘ	SYRIAC LETTER WAW
U+0719	ܙ	SYRIAC LETTER ZAIN
U+071A	ܚ	SYRIAC LETTER HETH
U+071B	ܛ	SYRIAC LETTER TETH
U+071C	ܜ	SYRIAC LETTER TETH GARSHUNI
U+071D	ܝ	SYRIAC LETTER YUDH
U+071E	ܞ	SYRIAC LETTER YUDH HE
U+071F	ܟ	SYRIAC LETTER KAPH
U+0720	ܠ	SYRIAC LETTER LAMADH
U+0721	ܡ	SYRIAC LETTER MIM
U+0722	ܢ	SYRIAC LETTER NUN
U+0723	ܣ	SYRIAC LETTER SEMKATH
U+0724	ܤ	SYRIAC LETTER FINAL SEMKATH
U+0725	ܥ	SYRIAC LETTER E
U+0726	ܦ	SYRIAC LETTER PE
U+0727	ܧ	SYRIAC LETTER REVERSED PE
U+0728	ܨ	SYRIAC LETTER SADHE
U+0729	ܩ	SYRIAC LETTER QAPH
U+072A	ܪ	SYRIAC LETTER RISH
U+072B	ܫ	SYRIAC LETTER SHIN
U+072C	ܬ	SYRIAC LETTER TAW
U+072D	ܭ	SYRIAC LETTER PERSIAN BHETH
U+072E	ܮ	SYRIAC LETTER PERSIAN GHAMAL
U+072F	ܯ	SYRIAC LETTER PERSIAN DHALATH
U+0730	ܰ	SYRIAC PTHAHA ABOVE
U+0731	ܱ	SYRIAC PTHAHA BELOW
U+0732	ܲ	SYRIAC PTHAHA DOTTED
U+0733	ܳ	SYRIAC ZQAPHA ABOVE
U+0734	ܴ	SYRIAC ZQAPHA BELOW
U+0735	ܵ	SYRIAC ZQAPHA DOTTED
U+0736	ܶ	SYRIAC RBASA ABOVE
U+0737	ܷ	SYRIAC RBASA BELOW
U+0738	ܸ	SYRIAC DOTTED ZLAMA HORIZONTAL
U+0739	ܹ	SYRIAC DOTTED ZLAMA ANGULAR
U+073A	ܺ	SYRIAC HBASA ABOVE
U+073B	ܻ	SYRIAC HBASA BELOW
U+073C	ܼ	SYRIAC HBASA-ESASA DOTTED
U+073D	ܽ	SYRIAC ESASA ABOVE
U+073E	ܾ	SYRIAC ESASA BELOW
U+073F	ܿ	SYRIAC RWAHA
U+0740	݀	SYRIAC FEMININE DOT
U+0741	݁	SYRIAC QUSHSHAYA
U+0742	݂	SYRIAC RUKKAKHA
U+0743	݃	SYRIAC TWO VERTICAL DOTS ABOVE
U+0744	݄	SYRIAC TWO VERTICAL DOTS BELOW
U+0745	݅	SYRIAC THREE DOTS ABOVE
U+0746	݆	SYRIAC THREE DOTS BELOW
U+0747	݇	SYRIAC OBLIQUE LINE ABOVE
U+0748	݈	SYRIAC OBLIQUE LINE BELOW
U+0749	݉	SYRIAC MUSIC
U+074A	݊	SYRIAC BARREKH
U+074D	ݍ	SYRIAC LETTER SOGDIAN ZHAIN
U+074E	ݎ	SYRIAC LETTER SOGDIAN KHAPH
U+074F	ݏ	SYRIAC LETTER SOGDIAN FE
