# Cuneiform signs as encoded. No language keywords in this tree. [UNRESOLVED] language layer.
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+12000	𒀀	CUNEIFORM SIGN A
U+12001	𒀁	CUNEIFORM SIGN A TIMES A
U+12002	𒀂	CUNEIFORM SIGN A TIMES BAD
U+12003	𒀃	CUNEIFORM SIGN A TIMES GAN2 TENU
U+12004	𒀄	CUNEIFORM SIGN A TIMES HA
U+12005	𒀅	CUNEIFORM SIGN A TIMES IGI
U+12006	𒀆	CUNEIFORM SIGN A TIMES LAGAR GUNU
U+12007	𒀇	CUNEIFORM SIGN A TIMES MUSH
U+12008	𒀈	CUNEIFORM SIGN A TIMES SAG
U+12009	𒀉	CUNEIFORM SIGN A2
U+1200A	𒀊	CUNEIFORM SIGN AB
U+1200B	𒀋	CUNEIFORM SIGN AB TIMES ASH2
U+1200C	𒀌	CUNEIFORM SIGN AB TIMES DUN3 GUNU
U+1200D	𒀍	CUNEIFORM SIGN AB TIMES GAL
U+1200E	𒀎	CUNEIFORM SIGN AB TIMES GAN2 TENU
U+1200F	𒀏	CUNEIFORM SIGN AB TIMES HA
U+12010	𒀐	CUNEIFORM SIGN AB TIMES IGI GUNU
U+12011	𒀑	CUNEIFORM SIGN AB TIMES IMIN
U+12012	𒀒	CUNEIFORM SIGN AB TIMES LAGAB
U+12013	𒀓	CUNEIFORM SIGN AB TIMES SHESH
U+12014	𒀔	CUNEIFORM SIGN AB TIMES U PLUS U PLUS U
U+12015	𒀕	CUNEIFORM SIGN AB GUNU
U+12016	𒀖	CUNEIFORM SIGN AB2
U+12017	𒀗	CUNEIFORM SIGN AB2 TIMES BALAG
U+12018	𒀘	CUNEIFORM SIGN AB2 TIMES GAN2 TENU
U+12019	𒀙	CUNEIFORM SIGN AB2 TIMES ME PLUS EN
U+1201A	𒀚	CUNEIFORM SIGN AB2 TIMES SHA3
U+1201B	𒀛	CUNEIFORM SIGN AB2 TIMES TAK4
U+1201C	𒀜	CUNEIFORM SIGN AD
U+1201D	𒀝	CUNEIFORM SIGN AK
U+1201E	𒀞	CUNEIFORM SIGN AK TIMES ERIN2
U+1201F	𒀟	CUNEIFORM SIGN AK TIMES SHITA PLUS GISH
U+12020	𒀠	CUNEIFORM SIGN AL
U+12021	𒀡	CUNEIFORM SIGN AL TIMES AL
U+12022	𒀢	CUNEIFORM SIGN AL TIMES DIM2
U+12023	𒀣	CUNEIFORM SIGN AL TIMES GISH
U+12024	𒀤	CUNEIFORM SIGN AL TIMES HA
U+12025	𒀥	CUNEIFORM SIGN AL TIMES KAD3
U+12026	𒀦	CUNEIFORM SIGN AL TIMES KI
U+12027	𒀧	CUNEIFORM SIGN AL TIMES SHE
U+12028	𒀨	CUNEIFORM SIGN AL TIMES USH
U+12029	𒀩	CUNEIFORM SIGN ALAN
U+1202A	𒀪	CUNEIFORM SIGN ALEPH
U+1202B	𒀫	CUNEIFORM SIGN AMAR
U+1202C	𒀬	CUNEIFORM SIGN AMAR TIMES SHE
U+1202D	𒀭	CUNEIFORM SIGN AN
U+1202E	𒀮	CUNEIFORM SIGN AN OVER AN
U+1202F	𒀯	CUNEIFORM SIGN AN THREE TIMES
U+12030	𒀰	CUNEIFORM SIGN AN PLUS NAGA OPPOSING AN PLUS NAGA
U+12031	𒀱	CUNEIFORM SIGN AN PLUS NAGA SQUARED
U+12032	𒀲	CUNEIFORM SIGN ANSHE
U+12033	𒀳	CUNEIFORM SIGN APIN
U+12034	𒀴	CUNEIFORM SIGN ARAD
U+12035	𒀵	CUNEIFORM SIGN ARAD TIMES KUR
U+12036	𒀶	CUNEIFORM SIGN ARKAB
U+12037	𒀷	CUNEIFORM SIGN ASAL2
U+12038	𒀸	CUNEIFORM SIGN ASH
U+12039	𒀹	CUNEIFORM SIGN ASH ZIDA TENU
U+1203A	𒀺	CUNEIFORM SIGN ASH KABA TENU
U+1203B	𒀻	CUNEIFORM SIGN ASH OVER ASH TUG2 OVER TUG2 TUG2 OVER TUG2 PAP
U+1203C	𒀼	CUNEIFORM SIGN ASH OVER ASH OVER ASH
U+1203D	𒀽	CUNEIFORM SIGN ASH OVER ASH OVER ASH CROSSING ASH OVER ASH OVER ASH
U+1203E	𒀾	CUNEIFORM SIGN ASH2
U+1203F	𒀿	CUNEIFORM SIGN ASHGAB
U+12040	𒁀	CUNEIFORM SIGN BA
U+12041	𒁁	CUNEIFORM SIGN BAD
U+12042	𒁂	CUNEIFORM SIGN BAG3
U+12043	𒁃	CUNEIFORM SIGN BAHAR2
U+12044	𒁄	CUNEIFORM SIGN BAL
U+12045	𒁅	CUNEIFORM SIGN BAL OVER BAL
U+12046	𒁆	CUNEIFORM SIGN BALAG
U+12047	𒁇	CUNEIFORM SIGN BAR
U+12048	𒁈	CUNEIFORM SIGN BARA2
U+12049	𒁉	CUNEIFORM SIGN BI
U+1204A	𒁊	CUNEIFORM SIGN BI TIMES A
U+1204B	𒁋	CUNEIFORM SIGN BI TIMES GAR
U+1204C	𒁌	CUNEIFORM SIGN BI TIMES IGI GUNU
U+1204D	𒁍	CUNEIFORM SIGN BU
U+1204E	𒁎	CUNEIFORM SIGN BU OVER BU AB
U+1204F	𒁏	CUNEIFORM SIGN BU OVER BU UN
U+12050	𒁐	CUNEIFORM SIGN BU CROSSING BU
U+12051	𒁑	CUNEIFORM SIGN BULUG
U+12052	𒁒	CUNEIFORM SIGN BULUG OVER BULUG
U+12053	𒁓	CUNEIFORM SIGN BUR
U+12054	𒁔	CUNEIFORM SIGN BUR2
U+12055	𒁕	CUNEIFORM SIGN DA
U+12056	𒁖	CUNEIFORM SIGN DAG
U+12057	𒁗	CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH
U+12058	𒁘	CUNEIFORM SIGN DAG KISIM5 TIMES AMAR
U+12059	𒁙	CUNEIFORM SIGN DAG KISIM5 TIMES BALAG
U+1205A	𒁚	CUNEIFORM SIGN DAG KISIM5 TIMES BI
U+1205B	𒁛	CUNEIFORM SIGN DAG KISIM5 TIMES GA
U+1205C	𒁜	CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH
U+1205D	𒁝	CUNEIFORM SIGN DAG KISIM5 TIMES GI
U+1205E	𒁞	CUNEIFORM SIGN DAG KISIM5 TIMES GIR2
U+1205F	𒁟	CUNEIFORM SIGN DAG KISIM5 TIMES GUD
U+12060	𒁠	CUNEIFORM SIGN DAG KISIM5 TIMES HA
U+12061	𒁡	CUNEIFORM SIGN DAG KISIM5 TIMES IR
U+12062	𒁢	CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU
U+12063	𒁣	CUNEIFORM SIGN DAG KISIM5 TIMES KAK
U+12064	𒁤	CUNEIFORM SIGN DAG KISIM5 TIMES LA
U+12065	𒁥	CUNEIFORM SIGN DAG KISIM5 TIMES LU
U+12066	𒁦	CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2
U+12067	𒁧	CUNEIFORM SIGN DAG KISIM5 TIMES LUM
U+12068	𒁨	CUNEIFORM SIGN DAG KISIM5 TIMES NE
U+12069	𒁩	CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP
U+1206A	𒁪	CUNEIFORM SIGN DAG KISIM5 TIMES SI
U+1206B	𒁫	CUNEIFORM SIGN DAG KISIM5 TIMES TAK4
U+1206C	𒁬	CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2
U+1206D	𒁭	CUNEIFORM SIGN DAG KISIM5 TIMES USH
U+1206E	𒁮	CUNEIFORM SIGN DAM
U+1206F	𒁯	CUNEIFORM SIGN DAR
U+12070	𒁰	CUNEIFORM SIGN DARA3
U+12071	𒁱	CUNEIFORM SIGN DARA4
U+12072	𒁲	CUNEIFORM SIGN DI
U+12073	𒁳	CUNEIFORM SIGN DIB
U+12074	𒁴	CUNEIFORM SIGN DIM
U+12075	𒁵	CUNEIFORM SIGN DIM TIMES SHE
U+12076	𒁶	CUNEIFORM SIGN DIM2
U+12077	𒁷	CUNEIFORM SIGN DIN
U+12078	𒁸	CUNEIFORM SIGN DIN KASKAL U GUNU DISH
U+12079	𒁹	CUNEIFORM SIGN DISH
U+1207A	𒁺	CUNEIFORM SIGN DU
U+1207B	𒁻	CUNEIFORM SIGN DU OVER DU
U+1207C	𒁼	CUNEIFORM SIGN DU GUNU
U+1207D	𒁽	CUNEIFORM SIGN DU SHESHIG
U+1207E	𒁾	CUNEIFORM SIGN DUB
U+1207F	𒁿	CUNEIFORM SIGN DUB TIMES ESH2
U+12080	𒂀	CUNEIFORM SIGN DUB2
U+12081	𒂁	CUNEIFORM SIGN DUG
U+12082	𒂂	CUNEIFORM SIGN DUGUD
U+12083	𒂃	CUNEIFORM SIGN DUH
U+12084	𒂄	CUNEIFORM SIGN DUN
U+12085	𒂅	CUNEIFORM SIGN DUN3
U+12086	𒂆	CUNEIFORM SIGN DUN3 GUNU
U+12087	𒂇	CUNEIFORM SIGN DUN3 GUNU GUNU
U+12088	𒂈	CUNEIFORM SIGN DUN4
U+12089	𒂉	CUNEIFORM SIGN DUR2
U+1208A	𒂊	CUNEIFORM SIGN E
U+1208B	𒂋	CUNEIFORM SIGN E TIMES PAP
U+1208C	𒂌	CUNEIFORM SIGN E OVER E NUN OVER NUN
U+1208D	𒂍	CUNEIFORM SIGN E2
U+1208E	𒂎	CUNEIFORM SIGN E2 TIMES A PLUS HA PLUS DA
U+1208F	𒂏	CUNEIFORM SIGN E2 TIMES GAR
U+12090	𒂐	CUNEIFORM SIGN E2 TIMES MI
U+12091	𒂑	CUNEIFORM SIGN E2 TIMES SAL
U+12092	𒂒	CUNEIFORM SIGN E2 TIMES SHE
U+12093	𒂓	CUNEIFORM SIGN E2 TIMES U
U+12094	𒂔	CUNEIFORM SIGN EDIN
U+12095	𒂕	CUNEIFORM SIGN EGIR
U+12096	𒂖	CUNEIFORM SIGN EL
