# Egyptian hieroglyphs as encoded (Gardiner via Unicode names). No language keywords invented.
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL-3.0-or-later.
# Direct Unicode inventory. NOT a Devanagari hub. NOT invented keywords.
cp	ch	unicode_name
U+13000	𓀀	EGYPTIAN HIEROGLYPH A001
U+13001	𓀁	EGYPTIAN HIEROGLYPH A002
U+13002	𓀂	EGYPTIAN HIEROGLYPH A003
U+13003	𓀃	EGYPTIAN HIEROGLYPH A004
U+13004	𓀄	EGYPTIAN HIEROGLYPH A005
U+13005	𓀅	EGYPTIAN HIEROGLYPH A005A
U+13006	𓀆	EGYPTIAN HIEROGLYPH A006
U+13007	𓀇	EGYPTIAN HIEROGLYPH A006A
U+13008	𓀈	EGYPTIAN HIEROGLYPH A006B
U+13009	𓀉	EGYPTIAN HIEROGLYPH A007
U+1300A	𓀊	EGYPTIAN HIEROGLYPH A008
U+1300B	𓀋	EGYPTIAN HIEROGLYPH A009
U+1300C	𓀌	EGYPTIAN HIEROGLYPH A010
U+1300D	𓀍	EGYPTIAN HIEROGLYPH A011
U+1300E	𓀎	EGYPTIAN HIEROGLYPH A012
U+1300F	𓀏	EGYPTIAN HIEROGLYPH A013
U+13010	𓀐	EGYPTIAN HIEROGLYPH A014
U+13011	𓀑	EGYPTIAN HIEROGLYPH A014A
U+13012	𓀒	EGYPTIAN HIEROGLYPH A015
U+13013	𓀓	EGYPTIAN HIEROGLYPH A016
U+13014	𓀔	EGYPTIAN HIEROGLYPH A017
U+13015	𓀕	EGYPTIAN HIEROGLYPH A017A
U+13016	𓀖	EGYPTIAN HIEROGLYPH A018
U+13017	𓀗	EGYPTIAN HIEROGLYPH A019
U+13018	𓀘	EGYPTIAN HIEROGLYPH A020
U+13019	𓀙	EGYPTIAN HIEROGLYPH A021
U+1301A	𓀚	EGYPTIAN HIEROGLYPH A022
U+1301B	𓀛	EGYPTIAN HIEROGLYPH A023
U+1301C	𓀜	EGYPTIAN HIEROGLYPH A024
U+1301D	𓀝	EGYPTIAN HIEROGLYPH A025
U+1301E	𓀞	EGYPTIAN HIEROGLYPH A026
U+1301F	𓀟	EGYPTIAN HIEROGLYPH A027
U+13020	𓀠	EGYPTIAN HIEROGLYPH A028
U+13021	𓀡	EGYPTIAN HIEROGLYPH A029
U+13022	𓀢	EGYPTIAN HIEROGLYPH A030
U+13023	𓀣	EGYPTIAN HIEROGLYPH A031
U+13024	𓀤	EGYPTIAN HIEROGLYPH A032
U+13025	𓀥	EGYPTIAN HIEROGLYPH A032A
U+13026	𓀦	EGYPTIAN HIEROGLYPH A033
U+13027	𓀧	EGYPTIAN HIEROGLYPH A034
U+13028	𓀨	EGYPTIAN HIEROGLYPH A035
U+13029	𓀩	EGYPTIAN HIEROGLYPH A036
U+1302A	𓀪	EGYPTIAN HIEROGLYPH A037
U+1302B	𓀫	EGYPTIAN HIEROGLYPH A038
U+1302C	𓀬	EGYPTIAN HIEROGLYPH A039
U+1302D	𓀭	EGYPTIAN HIEROGLYPH A040
U+1302E	𓀮	EGYPTIAN HIEROGLYPH A040A
U+1302F	𓀯	EGYPTIAN HIEROGLYPH A041
U+13030	𓀰	EGYPTIAN HIEROGLYPH A042
U+13031	𓀱	EGYPTIAN HIEROGLYPH A042A
U+13032	𓀲	EGYPTIAN HIEROGLYPH A043
U+13033	𓀳	EGYPTIAN HIEROGLYPH A043A
U+13034	𓀴	EGYPTIAN HIEROGLYPH A044
U+13035	𓀵	EGYPTIAN HIEROGLYPH A045
U+13036	𓀶	EGYPTIAN HIEROGLYPH A045A
U+13037	𓀷	EGYPTIAN HIEROGLYPH A046
U+13038	𓀸	EGYPTIAN HIEROGLYPH A047
U+13039	𓀹	EGYPTIAN HIEROGLYPH A048
U+1303A	𓀺	EGYPTIAN HIEROGLYPH A049
U+1303B	𓀻	EGYPTIAN HIEROGLYPH A050
U+1303C	𓀼	EGYPTIAN HIEROGLYPH A051
U+1303D	𓀽	EGYPTIAN HIEROGLYPH A052
U+1303E	𓀾	EGYPTIAN HIEROGLYPH A053
U+1303F	𓀿	EGYPTIAN HIEROGLYPH A054
U+13040	𓁀	EGYPTIAN HIEROGLYPH A055
U+13041	𓁁	EGYPTIAN HIEROGLYPH A056
U+13042	𓁂	EGYPTIAN HIEROGLYPH A057
U+13043	𓁃	EGYPTIAN HIEROGLYPH A058
U+13044	𓁄	EGYPTIAN HIEROGLYPH A059
U+13045	𓁅	EGYPTIAN HIEROGLYPH A060
U+13046	𓁆	EGYPTIAN HIEROGLYPH A061
U+13047	𓁇	EGYPTIAN HIEROGLYPH A062
U+13048	𓁈	EGYPTIAN HIEROGLYPH A063
U+13049	𓁉	EGYPTIAN HIEROGLYPH A064
U+1304A	𓁊	EGYPTIAN HIEROGLYPH A065
U+1304B	𓁋	EGYPTIAN HIEROGLYPH A066
