# language_name: Punjabi
# code: punjabi
# iso639: pan
# script: Gurmukhi
# speakers: 125 million
construct_id,native_keyword,romenagri,note
KW_IF,ਜੇ,jee,if
KW_ELSE,ਨਹੀਂਤਾਂ,nahii_ntaa_n,else
KW_ELIF,ਜਾਂਜੇ,jaa_njee,elif
KW_WHILE,ਜਦਤੱਕ,jadatakka,while
KW_DO,ਕਰੋ,karau,do
KW_FOR,ਲਈ,laii,for
KW_BREAK,ਰੋਕੋ,raukau,break
KW_CONTINUE,ਜਾਰੀ,jaarii,continue
KW_SWITCH,ਚੋਣ,cau_na,switch
KW_CASE,ਹਾਲਤ,haalata,case
KW_DEFAULT,ਮੂਲ,muula,default
KW_RETURN,ਵਾਪਸ,vaapasa,return
KW_GOTO,ਜਾਓ,jaaau,goto
KW_VAR,ਚਲ,cala,var
KW_CONST,ਅਚਲ,acala,const
KW_LET,ਮੰਨੋ,ma_nnau,let
KW_INT,ਪੂਰਨਅੰਕ,puurana_nka,int
KW_FLOAT,ਦਸ਼ਮਲਵ,dashamalava,float
KW_DOUBLE,ਦੁੱਗਣਾ,duggsa_naa,double
KW_CHAR,ਅੱਖਰ,akkhara,char
KW_BOOL,ਤਾਰਕਿਕ,taarkika,bool
KW_STRING,ਸ਼ਬਦਮਾਲਾ,shabadamaalaa,string
KW_VOID,ਖਾਲੀ,khaalii,void
KW_TRUE,ਸੱਚ,sacca,true
KW_FALSE,ਝੂਠ,jhuutha,false
KW_NULL,ਨਿਰਾ,niraa,null
KW_FUNC,ਕਾਰਜ,kaaraja,function
KW_PROC,ਵਿਧੀ,vidhii,procedure
KW_CALL,ਬੁਲਾਓ,bulaaau,call
KW_PARAM,ਪ੍ਰਾਚਲ,praacala,param
KW_LAMBDA,ਅਨਾਮ,anaama,lambda
KW_YIELD,ਦਿਓ,diau,yield
KW_AWAIT,ਉਡੀਕ,udiika,await
KW_ASYNC,ਅਸਮਕਾਲੀ,asamakaalii,async
KW_CLASS,ਵਰਗ,varga,class
KW_OBJECT,ਵਸਤੂ,vastuu,object
KW_INTERFACE,ਅੰਤਰਮੁਖ,a_ntaramukha,interface
KW_EXTENDS,ਵਧਾਓ,vadhaaau,extends
KW_IMPLEMENTS,ਲਾਗੂ,laaguu,implements
KW_NEW,ਨਵਾਂ,navaa_n,new
KW_THIS,ਇਹ,iha,this
KW_SUPER,ਪਰਮ,parama,super
KW_PUBLIC,ਜਨਤਕ,janataka,public
KW_PRIVATE,ਨਿਜੀ,nijii,private
KW_PROTECTED,ਸੁਰੱਖਿਅਤ,surakkhiata,protected
KW_STATIC,ਸਥਿਰ,sathira,static
KW_ABSTRACT,ਅਮੂਰਤ,amuurata,abstract
KW_VIRTUAL,ਆਭਾਸੀ,aabhaasii,virtual
KW_OVERRIDE,ਉਪਰਲਿਖ,uparalikha,override
KW_MATCH,ਮੇਲ,meela,match
KW_WHEN,ਜਦੋਂ,jadau_n,when
KW_FUN,ਫਲਨ,phalana,fun
KW_REC,ਆਵਰਤੀ,aavartii,rec
KW_IN,ਵਿੱਚ,vicca,in
KW_WHERE,ਕਿੱਥੇ,kitthee,where
KW_DATA,ਡਾਟਾ,daataa,data
KW_TYPE,ਕਿਸਮ,kisama,type
KW_MODULE,ਮਾਡਿਊਲ,maadiuula,module
KW_RULE,ਨਿਯਮ,niyama,rule
KW_FACT,ਤੱਥ,tattha,fact
KW_QUERY,ਸਵਾਲ,savaala,query
KW_NOT,ਨਹੀਂ,nahii_n,not
KW_AND,ਅਤੇ,atee,and
KW_OR,ਜਾਂ,jaa_n,or
KW_THREAD,ਧਾਗਾ,dhaagaa,thread
KW_SPAWN,ਪੈਦਾ,paidaa,spawn
KW_LOCK,ਜਿੰਦਰਾ,ji_ndaraa,lock
KW_SYNC,ਸਮਕਾਲੀ,samakaalii,synchronized
KW_CHANNEL,ਮਾਧਿਅਮ,maadhiama,channel
KW_SELECT,ਚੁਣੋ,cu_nau,select
KW_PTR,ਸੰਕੇਤਕ,sa_nkeetaka,pointer
KW_REF,ਹਵਾਲਾ,havaalaa,ref
KW_ALLOC,ਵੰਡ,va_nda,alloc
KW_FREE,ਮੁਕਤ,mukata,free
KW_SIZEOF,ਆਕਾਰ,aakaara,sizeof
KW_STRUCT,ਬਣਤਰ,ba_natara,struct
KW_UNION,ਸੰਘ,sa_ngha,union
KW_ENUM,ਗਿਣਤੀ,gi_natii,enum
KW_TYPEDEF,ਕਿਸਮਪਰਿਭਾਸ਼ਾ,kisamaparibhaashaa,typedef
KW_VOLATILE,ਅਸਥਿਰ,asathira,volatile
KW_REGISTER,ਰਜਿਸਟਰ,rajisatara,register
KW_EXTERN,ਬਾਹਰੀ,baaharii,extern
KW_INLINE,ਸਤਰਅੰਦਰ,sataranda_n,inline
KW_ENTITY,ਇਕਾਈ,ikaaii,entity
KW_ARCH,ਬਣਤਰਕਲਾ,ba_natarakalaa,architecture
KW_SIGNAL,ਸੰਕੇਤ,sa_nkeeta,signal
KW_PORT,ਬੰਦਰਗਾਹ,ba_ndaragaaha,port
KW_WIRE,ਤਾਰ,taara,wire
KW_REG,ਰਜਿਸਟਰ,rajisatara,reg
KW_MODULE_HW,ਪੁਰਜ਼ਾ,puraza,module
KW_ALWAYS,ਹਮੇਸ਼ਾ,hameeshaa,always
KW_ASSIGN,ਨਿਯੁਕਤ,niyukata,assign
KW_BEGIN,ਆਰੰਭ,aara_nbha,begin
KW_END,ਅੰਤ,a_nta,end
KW_TRY,ਕੋਸ਼ਿਸ਼,kaushisha,try
KW_CATCH,ਫੜੋ,pha_dau,catch
KW_FINALLY,ਅਖੀਰ,akhiira,finally
KW_THROW,ਸੁੱਟੋ,suttau,throw
KW_RAISE,ਉਠਾਓ,uthaaau,raise
KW_EXCEPT,ਅਪਵਾਦ,apavaada,except
KW_IMPORT,ਆਯਾਤ,aayaata,import
KW_EXPORT,ਨਿਰਯਾਤ,niryaata,export
KW_PACKAGE,ਪੈਕੇਜ,paikeeja,package
KW_NAMESPACE,ਨਾਮਾਕਾਸ਼,naamaakaasha,tatsama<sanskrit
KW_USE,ਉਪਯੋਗ,upayauga,tatsama<sanskrit
KW_INCLUDE,ਅਨ੍ਤਰ੍ਭਾਵ,antarbhaava,tatsama<sanskrit
KW_FROM,ਤਃ,ta_h,tatsama<sanskrit
KW_AS,ਇਵ,iva,tatsama<sanskrit
KW_KERNEL,ਬੀਜ,biija,tatsama<sanskrit
KW_DEVICE,ਯਨ੍ਤ੍ਰ,yantra,tatsama<sanskrit
KW_HOST,ਆਤਿਥੇਯ,aatitheeya,tatsama<sanskrit
KW_GLOBAL,ਵੈਸ਼੍ਵਿਕ,vaishvika,tatsama<sanskrit
KW_SHARED,ਸਹਭਾਜਿਤ,sahabhaajita,tatsama<sanskrit
KW_THREADIDX,ਤਨ੍ਤ੍ਵਙ੍ਕ,tantva_nka,tatsama<sanskrit
KW_BLOCKIDX,ਖਣ੍ਡਾਙ੍ਕ,kha_ndaa_nka,tatsama<sanskrit
KW_GRID,ਜਾਲ,jaala,tatsama<sanskrit
KW_BARRIER,ਅਵਰੋਧ,avaurudha,tatsama<sanskrit
KW_ATOMIC,ਆਣਵਿਕ,aa_navika,tatsama<sanskrit
KW_WARP,ਤਨ੍ਤੁਸਮੂਹ,tantusamuuha,tatsama<sanskrit
KW_TENSOR,ਪ੍ਰਦਿਸ਼,pradisha,tatsama<sanskrit
KW_MATRIX,ਆਵ੍ਯੂਹ,aavyuuha,tatsama<sanskrit
KW_VECTOR,ਸਦਿਸ਼,sadisha,tatsama<sanskrit
KW_GRAD,ਪ੍ਰਵਣਤਾ,prava_nataa,tatsama<sanskrit
KW_BACKPROP,ਪ੍ਰਤਿਪ੍ਰਸਾਰ,pratiprasaara,tatsama<sanskrit
KW_FORWARD,ਅਗ੍ਰਪ੍ਰਸਾਰ,agraprasaara,tatsama<sanskrit
KW_LAYER,ਸ੍ਤਰ,stara,tatsama<sanskrit
KW_MODEL,ਪ੍ਰਤਿਮਾਨ,pratimaana,tatsama<sanskrit
KW_TRAIN,ਪ੍ਰਸ਼ਿਕ੍਷ਣ,prashik_sa_na,tatsama<sanskrit
KW_INFER,ਅਨੁਮਾਨ,anumaana,tatsama<sanskrit
KW_LOSS,ਹਾਨਿ,haani,tatsama<sanskrit
KW_OPTIMIZE,ਅਨੁਕੂਲਨ,anukuulana,tatsama<sanskrit
KW_ACTIVATION,ਸਕ੍ਰਿਯਣ,sakriya_na,tatsama<sanskrit
KW_WEIGHT,ਭਾਰ,bhaara,tatsama<sanskrit
KW_BIAS,ਪਕ੍਷ਪਾਤ,pak_sapaata,tatsama<sanskrit
KW_EPOCH,ਕਲ੍ਪ,kalpa,tatsama<sanskrit
KW_BATCH,ਪੁਞ੍ਜ,pu_nja,tatsama<sanskrit
KW_DATASET,ਦਤ੍ਤਸਮੂਹ,dattasamuuha,tatsama<sanskrit
KW_EMBED,ਨਿਵੇਸ਼ਨ,niveeshana,tatsama<sanskrit
KW_ATTENTION,ਅਵਧਾਨ,avadhaana,tatsama<sanskrit
KW_PIN,ਕੀਲਕ,kiilaka,tatsama<sanskrit
KW_READ,ਪਠ,patha,tatsama<sanskrit
KW_WRITE,ਲਿਖ,likha,tatsama<sanskrit
KW_ANALOG,ਸਦ੃ਸ਼,sadr_sha,tatsama<sanskrit
KW_DIGITAL,ਅਙ੍ਕੀਯ,a_nkiiya,tatsama<sanskrit
KW_PWM,ਸ੍ਪਨ੍ਦਵਿਸ੍ਤਾਰ,spandavistaara,tatsama<sanskrit
KW_INTERRUPT,ਵਿਘ੍ਨ,vighna,tatsama<sanskrit
KW_TIMER,ਕਾਲਯਨ੍ਤ੍ਰ,kaalayantra,tatsama<sanskrit
KW_SENSOR,ਸਂਵੇਦਕ,sa_nveedaka,tatsama<sanskrit
KW_ACTUATOR,ਪ੍ਰਵਰ੍ਤਕ,pravartaka,tatsama<sanskrit
KW_BUS,ਮਾਰ੍ਗ,maarga,tatsama<sanskrit
KW_PROTOCOL,ਨਿਯਮਾਵਲੀ,niyamaavalii,tatsama<sanskrit
KW_SLEEP,ਸੁ਷ੁਪ੍ਤਿ,su_supti,tatsama<sanskrit
KW_WAKE,ਜਾਗ੃,jaagr_,tatsama<sanskrit
KW_MOTOR,ਚਾਲਕ,caalaka,tatsama<sanskrit
KW_SERVO,ਅਨੁਚਾਲਕ,anucaalaka,tatsama<sanskrit
KW_JOINT,ਸਨ੍ਧਿ,sandhi,tatsama<sanskrit
KW_POSE,ਮੁਦ੍ਰਾ,mudraa,tatsama<sanskrit
KW_TRAJECTORY,ਪ੍ਰਕ੍਷ੇਪਪਥ,prak_seepapatha,tatsama<sanskrit
KW_FEEDBACK,ਪ੍ਰਤਿਪੁ਷੍ਟਿ,pratipu_sti,tatsama<sanskrit
KW_PID,ਨਿਯਨ੍ਤ੍ਰਕ,niyantraka,tatsama<sanskrit
KW_DEADLINE,ਕਾਲਸੀਮਾ,kaalasiimaa,tatsama<sanskrit
KW_PERIODIC,ਆਵਰ੍ਤਿਕ,aavartika,tatsama<sanskrit
KW_PRIORITY,ਪ੍ਰਾਥਮ੍ਯ,praathamya,tatsama<sanskrit
KW_ACTUATE,ਪ੍ਰਵਰ੍ਤਯ,pravartaya,tatsama<sanskrit
KW_PERCEIVE,ਪ੍ਰਤ੍ਯਕ੍਷,pratyak_sa,tatsama<sanskrit
KW_PLAN,ਯੋਜਨਾ,yaujanaa,tatsama<sanskrit
KW_STREAM,ਧਾਰਾ,dhaaraa,tatsama<sanskrit
KW_PIPE,ਪ੍ਰਣਾਲ,pra_naala,tatsama<sanskrit
KW_MAP,ਪ੍ਰਤਿਚਿਤ੍ਰ,praticitra,tatsama<sanskrit
KW_FILTER,ਛਾਲ,chaala,tatsama<sanskrit
KW_REDUCE,ਨ੍ਯੂਨੀਕ੃,nyuuniikr_,tatsama<sanskrit
KW_FOLD,ਸਂਵੇ਷੍ਟ,sa_nvee_sta,tatsama<sanskrit
KW_OBSERVE,ਨਿਰੀਕ੍਷,niriik_sa,tatsama<sanskrit
KW_EMIT,ਉਤ੍ਸ੃ਜ,utsr_ja,tatsama<sanskrit
KW_SUBSCRIBE,ਅਭਿਨਿਵੇਸ਼,abhiniveesha,tatsama<sanskrit
KW_DEBOUNCE,ਸ੍ਪਨ੍ਦਸ਼ੋਧਨ,spandashaudhana,tatsama<sanskrit
KW_OWN,ਸ੍ਵਾਮਿਤ੍ਵ,svaamitva,tatsama<sanskrit
KW_BORROW,਋ਣ,r_na,tatsama<sanskrit
KW_MOVE,ਸ੍ਥਾਨਾਨ੍ਤਰ,sthaanaantara,tatsama<sanskrit
KW_MUT,ਪਰਿਵਰ੍ਤ੍ਯ,parivartya,tatsama<sanskrit
KW_LIFETIME,ਆਯੁ਷੍ਕਾਲ,aayu_skaala,tatsama<sanskrit
KW_ARENA,ਕ੍਷ੇਤ੍ਰ,k_seetra,tatsama<sanskrit
KW_GC,ਮਲਸਂਗ੍ਰਹ,malasa_ngraha,tatsama<sanskrit
KW_PIN_MEM,ਸ੍ਮ੃ਤਿਕੀਲਕ,smr_tikiilaka,tatsama<sanskrit
KW_REQUIRES,ਅਪੇਕ੍਷ਤੇ,apeek_satee,tatsama<sanskrit
KW_ENSURES,ਸੁਨਿਸ਼੍ਚਯਤਿ,sunishcayati,tatsama<sanskrit
KW_INVARIANT,ਅਪਰਿਵਰ੍ਤ੍ਯ,aparivartya,tatsama<sanskrit
KW_ASSERT,ਪ੍ਰਤਿਜ੍ਞਾ,pratijnyaa,tatsama<sanskrit
KW_ASSUME,ਅਧ੍ਯਵਸ੍ਯਤਿ,adhyavasyati,tatsama<sanskrit
KW_PROVE,ਸਾਧਯਤਿ,saadhayati,tatsama<sanskrit
KW_REFINES,ਪਰਿ਷੍ਕਰੋਤਿ,pari_skarauti,tatsama<sanskrit
KW_MODEL_CHECK,ਪ੍ਰਤਿਮਾਨਪਰੀਕ੍਷ਾ,pratimaanapariik_saa,tatsama<sanskrit
KW_NODE,ਗ੍ਰਨ੍ਥਿ,granthi,tatsama<sanskrit
KW_REPLICA,ਪ੍ਰਤਿਕ੃ਤਿ,pratikr_ti,tatsama<sanskrit
KW_CONSENSUS,ਸਰ੍ਵਸਮ੍ਮਤਿ,sarvasammati,tatsama<sanskrit
KW_SHARD,ਖਣ੍ਡ,kha_nda,tatsama<sanskrit
KW_GOSSIP,ਜਨਵਾਦ,janavaada,tatsama<sanskrit
KW_LEADER,ਨਾਯਕ,naayaka,tatsama<sanskrit
