IPA,"English
 approximation","Arabic
 letter/symbol","Usual
 romanization",Letter name,Notes
A–B,,,,,
a,"cat in British English, only approx. in American English",َ,"a, á, e",-,[a][b]
aː,"No exact, longer far",ـَا)ى at word end),"ā, â, aa, a",أَلِف (ʾalif) الف مقصورة (ʾalif maqṣūrah),[c]
aj,"/a/+/j/, similar to my",ْـَي,"ay, ai, ey, ei",يَاء (yāʾ),[d]
aw,"/a/+/w/, similar to noun",ْـَو,"aw, au",وَاو (wāw),[e]
b,bee,ب,b,بَاء (baʾ),[f]
D,,,,,
d,dash,د,d,دَال (dāl),[g]
dˤ,"emphatic and pharyngealized /d/, no equivalent",ض,"ḍ, dh",ضَاد (ḍād),[h][g]
dʒ,jam,ج,"j, ǧ, dj, g",جِيم (jīm),[i]
ð,these,ذ,"dh, ḏ",ذَال (dhāl),[j]
ðˤ,emphatic and pharyngealized /ð/,ظ,ẓ,ظَاء (ẓāʾ),[h][k]
F–H,,,,,
f,father,ف,f,فَاء (fāʾ),[l]
h,hi,ه,h,هَاء (hāʾ),
ħ,"hello, but pharyngeal",ح,ḥ,حَاء (ḥāʾ),[m]
I–K,,,,,
i,miss,ِ,"i, e",-,[n][b]
iː,machine,ـِي,"ī, ee, i",يَاء (yāʾ),[o]
j,yes,ي,y,يَاء (yāʾ),
k,skin,ك,k,كَاف (kāf),[p]
L–N,,,,,
l,lease (Received Pronunciation),ل,l,لاَم (lām),
ɫ,tool,,,,[q]
m,me,م,m,مِيم (mīm),
n,no,ن,n,نُون (nūn),
ɔ,laurel,ـَا(ى at word end),"ā, â, aa, a",أَلِف (ʾalif) الف مقصورة (ʾalif maqṣūrah),[r]
Q–S,,,,,
q,"like cat, but further down to the uvula (uvular).",ق,"q, g, '",قَاف (qāf),[s]
r,"""tapped"" or ""trilled"" r; 
 Spanish perro",ر,r,رَاء (rāʾ),[t]
s,see,س,s,سِين (sīn),
sˤ,"emphatic and pharyngealized /s/, no equivalent",ص,ṣ,صَاد (ṣād),[h]
ʃ,she,ش,"sh, š, ch",شِين (shīn),
T–W,,,,,
t,stick,"ت
(sometimes ة)",t,تَاء (tāʾ) تاء مربوطة (tāʾ marbūṭah),[g][p]
tˤ,"emphatic and pharyngealized /t/, no equivalent",ط,ṭ,طَاء (ṭāʾ),[h][g]
θ,think,ث,"th, ṯ",ثَاء (thāʾ),[j]
u,sum,ُ,"u, o, ou",وَاو (wāw),[u][b]
uː,tune,ـُو,"ū, oo, ou, u",وَاو (wāw),[v]
w,we,و,w,وَاو (wāw),
X–Z,,,,,
x,"Scots loch,
 Spanish jota,
 German Bach",خ,"kh, ḫ, ḵ",خَاء (khāʾ),[w]
ɣ,Spanish fuego,غ,"gh, ġ, ḡ",غَيْن (ghayn),[x]
z,zoo,ز,z,زَاي (zāy),
Other,,,,,
ʔ,"The pause in uh-oh!; 
 Cockney butter; glottal stop",ء,ʾ ’ ',هَمْزة (hamzah),[y]
ʕ,"no equivalent
(voiced pharyngeal fricative)",ع,ʿ ‘ ' `,عَيْن (ʿayn),[z][aa]
θ,see under T—W,,,,
ˈ,[ˈkiːwi] كِيوِي ('kiwi'),Means that the following syllable is stressed: /ˈʕarabiː/ عربي ('Arab').,,,
ː,[kiːs] كِيس ('sack'),Means that the preceding vowel is long,,,
"[ˈdˤɑħ.ħæ] ضَحّى ('[he] sacrificed'), 
 [mʊˈdær.rɪsæ] مُدَرِّسَة ('teacher [f.]'), 
 [ræs.ˈsæːmæ] رَسَّامَة ('paintress'), 
 [kæð.ˈðæːb] كَذَّاب ('liar [m.]')",,A geminated consonant never belongs to one syllable and is often broken with a stress.,,,
