"General
Unicode",Contextual forms,,,,Name
,Isolated,End,Middle,Beginning,
"0627
ا","FE8D
ﺍ","FE8E
ﺎ",,,ʾalif
"0628
ب","FE8F
ﺏ","FE90
ﺐ","FE92
ﺒ","FE91
ﺑ",bāʾ
"062A
ت","FE95
ﺕ","FE96
ﺖ","FE98
ﺘ","FE97
ﺗ",tāʾ
"062B
ث","FE99
ﺙ","FE9A
ﺚ","FE9C
ﺜ","FE9B
ﺛ",ṯāʾ
"062C
ج","FE9D
ﺝ","FE9E
ﺞ","FEA0
ﺠ","FE9F
ﺟ",ǧīm
"062D
ح","FEA1
ﺡ","FEA2
ﺢ","FEA4
ﺤ","FEA3
ﺣ",ḥāʾ
"062E
خ","FEA5
ﺥ","FEA6
ﺦ","FEA8
ﺨ","FEA7
ﺧ",ḫāʾ
"062F
د","FEA9
ﺩ","FEAA
ﺪ",,,dāl
"0630
ذ","FEAB
ﺫ","FEAC
ﺬ",,,ḏāl
"0631
ر","FEAD
ﺭ","FEAE
ﺮ",,,rāʾ
"0632
ز","FEAF
ﺯ","FEB0
ﺰ",,,zayn/zāy
"0633
س","FEB1
ﺱ","FEB2
ﺲ","FEB4
ﺴ","FEB3
ﺳ",sīn
"0634
ش","FEB5
ﺵ","FEB6
ﺶ","FEB8
ﺸ","FEB7
ﺷ",šīn
"0635
ص","FEB9
ﺹ","FEBA
ﺺ","FEBC
ﺼ","FEBB
ﺻ",ṣād
"0636
ض","FEBD
ﺽ","FEBE
ﺾ","FEC0
ﻀ","FEBF
ﺿ",ḍād
"0637
ط","FEC1
ﻁ","FEC2
ﻂ","FEC4
ﻄ","FEC3
ﻃ",ṭāʾ
"0638
ظ","FEC5
ﻅ","FEC6
ﻆ","FEC8
ﻈ","FEC7
ﻇ",ẓāʾ
"0639
ع","FEC9
ﻉ","FECA
ﻊ","FECC
ﻌ","FECB
ﻋ",ʿayn
"063A
غ","FECD
ﻍ","FECE
ﻎ","FED0
ﻐ","FECF
ﻏ",ġayn
"0641
ف","FED1
ﻑ","FED2
ﻒ","FED4
ﻔ","FED3
ﻓ",fāʾ
"0642
ق","FED5
ﻕ","FED6
ﻖ","FED8
ﻘ","FED7
ﻗ",qāf
"0643
ك","FED9
ﻙ","FEDA
ﻚ","FEDC
ﻜ","FEDB
ﻛ",kāf
"0644
ل","FEDD
ﻝ","FEDE
ﻞ","FEE0
ﻠ","FEDF
ﻟ",lām
"0645
م","FEE1
ﻡ","FEE2
ﻢ","FEE4
ﻤ","FEE3
ﻣ",mīm
"0646
ن","FEE5
ﻥ","FEE6
ﻦ","FEE8
ﻨ","FEE7
ﻧ",nūn
"0647
ه","FEE9
ﻩ","FEEA
ﻪ","FEEC
ﻬ","FEEB
ﻫ",hāʾ
"0648
و","FEED
ﻭ","FEEE
ﻮ",,,wāw
"064A
ي","FEF1
ﻱ","FEF2
ﻲ","FEF4
ﻴ","FEF3
ﻳ",yāʾ
"0622
آ","FE81
ﺁ","FE82
ﺂ",,,ʾalif maddah
"0629
ة","FE93
ﺓ","FE94
ﺔ",—,—,Tāʾ marbūṭah
"0649
ى","FEEF
ﻯ","FEF0
ﻰ",—,—,ʾalif maqṣūrah
