Code 	Result 	Description
U+0600 	؀ 	Arabic Number Sign
U+0601 	؁ 	Arabic Sign Sanah
U+0602 	؂ 	Arabic Footnote Marker
U+0603 	؃ 	Arabic Sign Safha
U+0604 	؄ 	Arabic Sign Samvat
U+0605 	؅ 	Arabic Number Mark Above
U+0606 	؆ 	Arabic-Indic Cube Root
U+0607 	؇ 	Arabic-Indic Fourth Root
U+0608 	؈ 	Arabic Ray
U+0609 	؉ 	Arabic-Indic Per Mille Sign
U+060A 	؊ 	Arabic-Indic Per Ten Thousand Sign
U+060B 	؋ 	Afghani Sign
U+060C 	، 	Arabic Comma
U+060D 	؍ 	Arabic Date Separator
U+060E 	؎ 	Arabic Poetic Verse Sign
U+060F 	؏ 	Arabic Sign Misra
U+0610 	ؐ 	Arabic Sign Sallallahou Alayhe Wassallam
U+0611 	ؑ 	Arabic Sign Alayhe Assallam
U+0612 	ؒ 	Arabic Sign Rahmatullah Alayhe
U+0613 	ؓ 	Arabic Sign Radi Allahou Anhu
U+0614 	ؔ 	Arabic Sign Takhallus
U+0615 	ؕ 	Arabic Small High Tah
U+0616 	ؖ 	Arabic Small High Ligature Alef With Lam With Yeh
U+0617 	ؗ 	Arabic Small High Zain
U+0618 	ؘ 	Arabic Small Fatha
U+0619 	ؙ 	Arabic Small Damma
U+061A 	ؚ 	Arabic Small Kasra
U+061B 	؛ 	Arabic Semicolon
U+061C 	؜ 	Arabic Letter Mark
U+061E 	؞ 	Arabic Triple Dot Punctuation Mark
U+061F 	؟ 	Arabic Question Mark
U+0620 	ؠ 	Arabic Letter Kashmiri Yeh
U+0621 	ء 	Arabic Letter Hamza
U+0622 	آ 	Arabic Letter Alef With Madda Above
U+0623 	أ 	Arabic Letter Alef With Hamza Above
U+0624 	ؤ 	Arabic Letter Waw With Hamza Above
U+0625 	إ 	Arabic Letter Alef With Hamza Below
U+0626 	ئ 	Arabic Letter Yeh With Hamza Above
U+0627 	ا 	Arabic Letter Alef
U+0628 	ب 	Arabic Letter Beh
U+0629 	ة 	Arabic Letter Teh Marbuta
U+062A 	ت 	Arabic Letter Teh
U+062B 	ث 	Arabic Letter Theh
U+062C 	ج 	Arabic Letter Jeem
U+062D 	ح 	Arabic Letter Hah
U+062E 	خ 	Arabic Letter Khah
U+062F 	د 	Arabic Letter Dal
U+0630 	ذ 	Arabic Letter Thal
U+0631 	ر 	Arabic Letter Reh
U+0632 	ز 	Arabic Letter Zain
U+0633 	س 	Arabic Letter Seen
U+0634 	ش 	Arabic Letter Sheen
U+0635 	ص 	Arabic Letter Sad
U+0636 	ض 	Arabic Letter Dad
U+0637 	ط 	Arabic Letter Tah
U+0638 	ظ 	Arabic Letter Zah
U+0639 	ع 	Arabic Letter Ain
U+063A 	غ 	Arabic Letter Ghain
U+063B 	ػ 	Arabic Letter Keheh With Two Dots Above
U+063C 	ؼ 	Arabic Letter Keheh With Three Dots Below
U+063D 	ؽ 	Arabic Letter Farsi Yeh With Inverted V
U+063E 	ؾ 	Arabic Letter Farsi Yeh With Two Dots Above
U+063F 	ؿ 	Arabic Letter Farsi Yeh With Three Dots Above
U+0640 	ـ 	Arabic Tatweel
U+0641 	ف 	Arabic Letter Feh
U+0642 	ق 	Arabic Letter Qaf
U+0643 	ك 	Arabic Letter Kaf
U+0644 	ل 	Arabic Letter Lam
U+0645 	م 	Arabic Letter Meem
U+0646 	ن 	Arabic Letter Noon
U+0647 	ه 	Arabic Letter Heh
U+0648 	و 	Arabic Letter Waw
U+0649 	ى 	Arabic Letter Alef Maksura
U+064A 	ي 	Arabic Letter Yeh
U+064B 	ً 	Arabic Fathatan
U+064C 	ٌ 	Arabic Dammatan
U+064D 	ٍ 	Arabic Kasratan
U+064E 	َ 	Arabic Fatha
U+064F 	ُ 	Arabic Damma
U+0650 	ِ 	Arabic Kasra
U+0651 	ّ 	Arabic Shadda
U+0652 	ْ 	Arabic Sukun
U+0653 	ٓ 	Arabic Maddah Above
U+0654 	ٔ 	Arabic Hamza Above
U+0655 	ٕ 	Arabic Hamza Below
U+0656 	ٖ 	Arabic Subscript Alef
U+0657 	ٗ 	Arabic Inverted Damma
U+0658 	٘ 	Arabic Mark Noon Ghunna
U+0659 	ٙ 	Arabic Zwarakay
U+065A 	ٚ 	Arabic Vowel Sign Small V Above
U+065B 	ٛ 	Arabic Vowel Sign Inverted Small V Above
U+065C 	ٜ 	Arabic Vowel Sign Dot Below
U+065D 	ٝ 	Arabic Reversed Damma
U+065E 	ٞ 	Arabic Fatha With Two Dots
U+065F 	ٟ 	Arabic Wavy Hamza Below
U+0660 	٠ 	Arabic-Indic Digit Zero
U+0661 	١ 	Arabic-Indic Digit One
U+0662 	٢ 	Arabic-Indic Digit Two
U+0663 	٣ 	Arabic-Indic Digit Three
U+0664 	٤ 	Arabic-Indic Digit Four
U+0665 	٥ 	Arabic-Indic Digit Five
U+0666 	٦ 	Arabic-Indic Digit Six
U+0667 	٧ 	Arabic-Indic Digit Seven
U+0668 	٨ 	Arabic-Indic Digit Eight
U+0669 	٩ 	Arabic-Indic Digit Nine
U+066A 	٪ 	Arabic Percent Sign
U+066B 	٫ 	Arabic Decimal Separator
U+066C 	٬ 	Arabic Thousands Separator
U+066D 	٭ 	Arabic Five Pointed Star
U+066E 	ٮ 	Arabic Letter Dotless Beh
U+066F 	ٯ 	Arabic Letter Dotless Qaf
U+0670 	ٰ 	Arabic Letter Superscript Alef
U+0671 	ٱ 	Arabic Letter Alef Wasla
U+0672 	ٲ 	Arabic Letter Alef With Wavy Hamza Above
U+0673 	ٳ 	Arabic Letter Alef With Wavy Hamza Below (deprecated)[7]
U+0674 	ٴ 	Arabic Letter High Hamza
U+0675 	ٵ 	Arabic Letter High Hamza Alef
U+0676 	ٶ 	Arabic Letter High Hamza Waw
U+0677 	ٷ 	Arabic Letter U With Hamza Above
U+0678 	ٸ 	Arabic Letter High Hamza Yeh
U+0679 	ٹ 	Arabic Letter Tteh
U+067A 	ٺ 	Arabic Letter Tteheh
U+067B 	ٻ 	Arabic Letter Beeh
U+067C 	ټ 	Arabic Letter Teh With Ring
U+067D 	ٽ 	Arabic Letter Teh With Three Dots Above Downwards
U+067E 	پ 	Arabic Letter Peh
U+067F 	ٿ 	Arabic Letter Teheh
U+0680 	ڀ 	Arabic Letter Beheh
U+0681 	ځ 	Arabic Letter Hah With Hamza Above
U+0682 	ڂ 	Arabic Letter Hah With Two Dots Vertical Above
U+0683 	ڃ 	Arabic Letter Nyeh
U+0684 	ڄ 	Arabic Letter Dyeh
U+0685 	څ 	Arabic Letter Hah With Three Dots Above
U+0686 	چ 	Arabic Letter Tcheh
U+0687 	ڇ 	Arabic Letter Tcheheh
U+0688 	ڈ 	Arabic Letter Ddal
U+0689 	ډ 	Arabic Letter Dal With Ring
U+068A 	ڊ 	Arabic Letter Dal With Dot Below
U+068B 	ڋ 	Arabic Letter Dal With Dot Below And Small Tah
U+068C 	ڌ 	Arabic Letter Dahal
U+068D 	ڍ 	Arabic Letter Ddahal
U+068E 	ڎ 	Arabic Letter Dul
U+068F 	ڏ 	Arabic Letter Dal With Three Dots Above Downwards
U+0690 	ڐ 	Arabic Letter Dal With Four Dots Above
U+0691 	ڑ 	Arabic Letter Rreh
U+0692 	ڒ 	Arabic Letter Reh With Small V
U+0693 	ړ 	Arabic Letter Reh With Ring
U+0694 	ڔ 	Arabic Letter Reh With Dot Below
U+0695 	ڕ 	Arabic Letter Reh With Small V Below
U+0696 	ږ 	Arabic Letter Reh With Dot Below And Dot Above
U+0697 	ڗ 	Arabic Letter Reh With Two Dots Above
U+0698 	ژ 	Arabic Letter Jeh
U+0699 	ڙ 	Arabic Letter Reh With Four Dots Above
U+069A 	ښ 	Arabic Letter Seen With Dot Below And Dot Above
U+069B 	ڛ 	Arabic Letter Seen With Three Dots Below
U+069C 	ڜ 	Arabic Letter Seen With Three Dots Below And Three Dots Above
