ISO,"7-bit ISO",Deva,Aran,Beng,Guru,Gujr,Orya,Taml,Telu,Knda,Mlym,Sinh
a,a,अ,اَ‎,অ,ਅ,અ,ଅ,அ,అ,ಅ,അ,අ
ā,aa,आ,آ‎,আ,ਆ,આ,ଆ,ஆ,ఆ,ಆ,ആ,ආ
æ,ae,,,,,,,,,,,ඇ
ǣ,aee,,,,,,,,,,,ඈ
i,i,इ,اِ‎,ই,ਇ,ઇ,ଇ,இ,ఇ,ಇ,ഇ,ඉ
ī,ii,ई,اِی‎,ঈ,ਈ,ઈ,ଈ,ஈ,ఈ,ಈ,ഈ,ඊ
u,u,उ,اُ‎,উ,ਉ,ઉ,ଉ,உ,ఉ,ಉ,ഉ,උ
ū,uu,ऊ,اُو‎,ঊ,ਊ,ઊ,ଊ,ஊ,ఊ,ಊ,ഊ,ඌ
ŭ,^u,,,,,,,,,,്,
r̥,",r",ऋ,,ঋ,,ઋ,ଋ,,ఋ,ಋ,ഋ,ඍ
r̥̄,",rr",ॠ,,ৠ,,ૠ,ୠ,,ౠ,ೠ,ൠ,ඎ
l̥,",l",ऌ,,ঌ,,ઌ,ଌ,,ఌ,ಌ,ഌ,ඏ
l̥̄,",ll",ॡ,,ৡ,,ૡ,ୡ,,ౡ,ೡ,ൡ,ඐ
e,e,ऎ,,,,,,எ,ఎ,ಎ,എ,එ
ē,ee,ए,اے‎,এ,ਏ,એ,ଏ,ஏ,ఏ,ಏ,ഏ,ඒ
ê,^e,"ॲ, ऍ",,,,ઍ,,,,,,
ai,ai,ऐ,اَے‎,ঐ,ਐ,ઐ,ଐ,ஐ,ఐ,ಐ,ഐ,ඓ
o,o,ऒ,,,,,,ஒ,ఒ,ಒ,ഒ,ඔ
ō,oo,ओ,او‎,ও,ਓ,ઓ,ଓ,ஓ,ఓ,ಓ,ഓ,ඕ
ô,^o,ऑ,,,,ઑ,,,,,,
au,au,औ,اَو‎,ঔ,ਔ,ઔ,ଔ,ஔ,ఔ,ಔ,ഔ,ඖ
ṁ,;m,ं,ں‎,ং,ਂ,ં,ଂ,ஂ,ం,ಂ,ം,ං
ṃ,.m,,,,ੰ,,,,,,,
m̐,~m,ँ,ں‎,ঁ,ਁ,ઁ,ଁ,,ఀ,,,
n̆,^n,,,,,,,,ఁ,,,
ḥ,.h,ः,ہ‎,ঃ,ਃ,ઃ,ଃ,,ః,ಃ,ഃ,ඃ
ẖ,_h,ᳵ,,,,,,,,ೱ,,
ḫ,^h,ᳶ,,,,,,,,ೲ,,
ḵ,_k,,,,,,,ஃ,,,,
k,k,क,ک‎,ক,ਕ,ક,କ,க,క,ಕ,ക,ක
kh,kh,ख,کھ‎,খ,ਖ,ખ,ଖ,,ఖ,ಖ,ഖ,ඛ
g,g,ग,گ‎,গ,ਗ,ગ,ଗ,,గ,ಗ,ഗ,ග
