# AHOM -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑜀	क	AHOM LETTER KA
𑜁	ख	AHOM LETTER KHA
𑜂	ङ	AHOM LETTER NGA
𑜃	न	AHOM LETTER NA
𑜄	त	AHOM LETTER TA
𑜆	प	AHOM LETTER PA
𑜇	फ	AHOM LETTER PHA
𑜈	ब	AHOM LETTER BA
𑜉	म	AHOM LETTER MA
𑜊	ज	AHOM LETTER JA
𑜋	छ	AHOM LETTER CHA
𑜌	थ	AHOM LETTER THA
𑜍	र	AHOM LETTER RA
𑜎	ल	AHOM LETTER LA
𑜏	स	AHOM LETTER SA
𑜐	ञ	AHOM LETTER NYA
𑜑	ह	AHOM LETTER HA
𑜒	अ	AHOM LETTER A
𑜓	द	AHOM LETTER DA
𑜔	ध	AHOM LETTER DHA
𑜕	ग	AHOM LETTER GA
𑜗	घ	AHOM LETTER GHA
𑜘	भ	AHOM LETTER BHA
𑜙	झ	AHOM LETTER JHA
𑜡	ा	AHOM VOWEL SIGN AA
𑜢	ि	AHOM VOWEL SIGN I
𑜣	ी	AHOM VOWEL SIGN II
𑜤	ु	AHOM VOWEL SIGN U
𑜥	ू	AHOM VOWEL SIGN UU
𑜦	े	AHOM VOWEL SIGN E
𑜧	ॏ	AHOM VOWEL SIGN AW
𑜨	ो	AHOM VOWEL SIGN O
𑜩	ै	AHOM VOWEL SIGN AI
𑜰	०	AHOM DIGIT ZERO
𑜱	१	AHOM DIGIT ONE
𑜲	२	AHOM DIGIT TWO
𑜳	३	AHOM DIGIT THREE
𑜴	४	AHOM DIGIT FOUR
𑜵	५	AHOM DIGIT FIVE
𑜶	६	AHOM DIGIT SIX
𑜷	७	AHOM DIGIT SEVEN
𑜸	८	AHOM DIGIT EIGHT
𑜹	९	AHOM DIGIT NINE
