# BALINESE -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᬓ	क	BALINESE LETTER KA
ᬕ	ग	BALINESE LETTER GA
ᬗ	ङ	BALINESE LETTER NGA
ᬘ	च	BALINESE LETTER CA
ᬚ	ज	BALINESE LETTER JA
ᬜ	ञ	BALINESE LETTER NYA
ᬢ	त	BALINESE LETTER TA
ᬤ	द	BALINESE LETTER DA
ᬦ	न	BALINESE LETTER NA
ᬧ	प	BALINESE LETTER PA
ᬩ	ब	BALINESE LETTER BA
ᬫ	म	BALINESE LETTER MA
ᬬ	य	BALINESE LETTER YA
ᬭ	र	BALINESE LETTER RA
ᬮ	ल	BALINESE LETTER LA
ᬲ	स	BALINESE LETTER SA
ᬳ	ह	BALINESE LETTER HA
᭐	०	BALINESE DIGIT ZERO
᭑	१	BALINESE DIGIT ONE
᭒	२	BALINESE DIGIT TWO
᭓	३	BALINESE DIGIT THREE
᭔	४	BALINESE DIGIT FOUR
᭕	५	BALINESE DIGIT FIVE
᭖	६	BALINESE DIGIT SIX
᭗	७	BALINESE DIGIT SEVEN
᭘	८	BALINESE DIGIT EIGHT
᭙	९	BALINESE DIGIT NINE
