# BENGALI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ঁ	ँ	BENGALI SIGN CANDRABINDU
ং	ं	BENGALI SIGN ANUSVARA
ঃ	ः	BENGALI SIGN VISARGA
অ	अ	BENGALI LETTER A
আ	आ	BENGALI LETTER AA
ই	इ	BENGALI LETTER I
ঈ	ई	BENGALI LETTER II
উ	उ	BENGALI LETTER U
ঊ	ऊ	BENGALI LETTER UU
ঋ	ऋ	BENGALI LETTER VOCALIC R
ঌ	ऌ	BENGALI LETTER VOCALIC L
এ	ए	BENGALI LETTER E
ঐ	ऐ	BENGALI LETTER AI
ও	ओ	BENGALI LETTER O
ঔ	औ	BENGALI LETTER AU
ক	क	BENGALI LETTER KA
খ	ख	BENGALI LETTER KHA
গ	ग	BENGALI LETTER GA
ঘ	घ	BENGALI LETTER GHA
ঙ	ङ	BENGALI LETTER NGA
চ	च	BENGALI LETTER CA
ছ	छ	BENGALI LETTER CHA
জ	ज	BENGALI LETTER JA
ঝ	झ	BENGALI LETTER JHA
ঞ	ञ	BENGALI LETTER NYA
ট	ट	BENGALI LETTER TTA
ঠ	ठ	BENGALI LETTER TTHA
ড	ड	BENGALI LETTER DDA
ঢ	ढ	BENGALI LETTER DDHA
ণ	ण	BENGALI LETTER NNA
ত	त	BENGALI LETTER TA
থ	थ	BENGALI LETTER THA
দ	द	BENGALI LETTER DA
ধ	ध	BENGALI LETTER DHA
ন	न	BENGALI LETTER NA
প	प	BENGALI LETTER PA
ফ	फ	BENGALI LETTER PHA
ব	ब	BENGALI LETTER BA
ভ	भ	BENGALI LETTER BHA
ম	म	BENGALI LETTER MA
য	य	BENGALI LETTER YA
র	र	BENGALI LETTER RA
ল	ल	BENGALI LETTER LA
শ	श	BENGALI LETTER SHA
ষ	ष	BENGALI LETTER SSA
স	स	BENGALI LETTER SA
হ	ह	BENGALI LETTER HA
়	़	BENGALI SIGN NUKTA
ঽ	ऽ	BENGALI SIGN AVAGRAHA
া	ा	BENGALI VOWEL SIGN AA
ি	ि	BENGALI VOWEL SIGN I
ী	ी	BENGALI VOWEL SIGN II
ু	ु	BENGALI VOWEL SIGN U
ূ	ू	BENGALI VOWEL SIGN UU
ৃ	ृ	BENGALI VOWEL SIGN VOCALIC R
ৄ	ॄ	BENGALI VOWEL SIGN VOCALIC RR
ে	े	BENGALI VOWEL SIGN E
ৈ	ै	BENGALI VOWEL SIGN AI
ো	ो	BENGALI VOWEL SIGN O
ৌ	ौ	BENGALI VOWEL SIGN AU
্	्	BENGALI SIGN VIRAMA
ড়	ऱ	BENGALI LETTER RRA
ঢ়	ढ़	BENGALI LETTER RHA
য়	य़	BENGALI LETTER YYA
ৠ	ॠ	BENGALI LETTER VOCALIC RR
ৡ	ॡ	BENGALI LETTER VOCALIC LL
ৢ	ॢ	BENGALI VOWEL SIGN VOCALIC L
ৣ	ॣ	BENGALI VOWEL SIGN VOCALIC LL
০	०	BENGALI DIGIT ZERO
১	१	BENGALI DIGIT ONE
২	२	BENGALI DIGIT TWO
৩	३	BENGALI DIGIT THREE
৪	४	BENGALI DIGIT FOUR
৫	५	BENGALI DIGIT FIVE
৬	६	BENGALI DIGIT SIX
৭	७	BENGALI DIGIT SEVEN
৮	८	BENGALI DIGIT EIGHT
৯	९	BENGALI DIGIT NINE
৽	॰	BENGALI ABBREVIATION SIGN
