# BUHID -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᝀ	अ	BUHID LETTER A
ᝁ	इ	BUHID LETTER I
ᝂ	उ	BUHID LETTER U
ᝃ	क	BUHID LETTER KA
ᝄ	ग	BUHID LETTER GA
ᝅ	ङ	BUHID LETTER NGA
ᝆ	त	BUHID LETTER TA
ᝇ	द	BUHID LETTER DA
ᝈ	न	BUHID LETTER NA
ᝉ	प	BUHID LETTER PA
ᝊ	ब	BUHID LETTER BA
ᝋ	म	BUHID LETTER MA
ᝌ	य	BUHID LETTER YA
ᝍ	र	BUHID LETTER RA
ᝎ	ल	BUHID LETTER LA
ᝐ	स	BUHID LETTER SA
ᝑ	ह	BUHID LETTER HA
ᝒ	ि	BUHID VOWEL SIGN I
ᝓ	ु	BUHID VOWEL SIGN U
