# DEVANAGARI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ऀ	ऀ	DEVANAGARI SIGN INVERTED CANDRABINDU
ँ	ँ	DEVANAGARI SIGN CANDRABINDU
ं	ं	DEVANAGARI SIGN ANUSVARA
ः	ः	DEVANAGARI SIGN VISARGA
ऄ	ऄ	DEVANAGARI LETTER SHORT A
अ	अ	DEVANAGARI LETTER A
आ	आ	DEVANAGARI LETTER AA
इ	इ	DEVANAGARI LETTER I
ई	ई	DEVANAGARI LETTER II
उ	उ	DEVANAGARI LETTER U
ऊ	ऊ	DEVANAGARI LETTER UU
ऋ	ऋ	DEVANAGARI LETTER VOCALIC R
ऌ	ऌ	DEVANAGARI LETTER VOCALIC L
ऍ	ऍ	DEVANAGARI LETTER CANDRA E
ऎ	ऎ	DEVANAGARI LETTER SHORT E
ए	ए	DEVANAGARI LETTER E
ऐ	ऐ	DEVANAGARI LETTER AI
ऑ	ऑ	DEVANAGARI LETTER CANDRA O
ऒ	ऒ	DEVANAGARI LETTER SHORT O
ओ	ओ	DEVANAGARI LETTER O
औ	औ	DEVANAGARI LETTER AU
क	क	DEVANAGARI LETTER KA
ख	ख	DEVANAGARI LETTER KHA
ग	ग	DEVANAGARI LETTER GA
घ	घ	DEVANAGARI LETTER GHA
ङ	ङ	DEVANAGARI LETTER NGA
च	च	DEVANAGARI LETTER CA
छ	छ	DEVANAGARI LETTER CHA
ज	ज	DEVANAGARI LETTER JA
झ	झ	DEVANAGARI LETTER JHA
ञ	ञ	DEVANAGARI LETTER NYA
ट	ट	DEVANAGARI LETTER TTA
ठ	ठ	DEVANAGARI LETTER TTHA
ड	ड	DEVANAGARI LETTER DDA
ढ	ढ	DEVANAGARI LETTER DDHA
ण	ण	DEVANAGARI LETTER NNA
त	त	DEVANAGARI LETTER TA
थ	थ	DEVANAGARI LETTER THA
द	द	DEVANAGARI LETTER DA
ध	ध	DEVANAGARI LETTER DHA
न	न	DEVANAGARI LETTER NA
ऩ	ऩ	DEVANAGARI LETTER NNNA
प	प	DEVANAGARI LETTER PA
फ	फ	DEVANAGARI LETTER PHA
ब	ब	DEVANAGARI LETTER BA
भ	भ	DEVANAGARI LETTER BHA
