# DOGRA -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑠀	अ	DOGRA LETTER A
𑠁	आ	DOGRA LETTER AA
𑠂	इ	DOGRA LETTER I
𑠃	ई	DOGRA LETTER II
𑠄	उ	DOGRA LETTER U
𑠅	ऊ	DOGRA LETTER UU
𑠆	ए	DOGRA LETTER E
𑠇	ऐ	DOGRA LETTER AI
𑠈	ओ	DOGRA LETTER O
𑠉	औ	DOGRA LETTER AU
𑠊	क	DOGRA LETTER KA
𑠋	ख	DOGRA LETTER KHA
𑠌	ग	DOGRA LETTER GA
𑠍	घ	DOGRA LETTER GHA
𑠎	ङ	DOGRA LETTER NGA
𑠏	च	DOGRA LETTER CA
𑠐	छ	DOGRA LETTER CHA
𑠑	ज	DOGRA LETTER JA
𑠒	झ	DOGRA LETTER JHA
𑠓	ञ	DOGRA LETTER NYA
𑠔	ट	DOGRA LETTER TTA
𑠕	ठ	DOGRA LETTER TTHA
𑠖	ड	DOGRA LETTER DDA
𑠗	ढ	DOGRA LETTER DDHA
𑠘	ण	DOGRA LETTER NNA
𑠙	त	DOGRA LETTER TA
𑠚	थ	DOGRA LETTER THA
𑠛	द	DOGRA LETTER DA
𑠜	ध	DOGRA LETTER DHA
𑠝	न	DOGRA LETTER NA
𑠞	प	DOGRA LETTER PA
𑠟	फ	DOGRA LETTER PHA
𑠠	ब	DOGRA LETTER BA
𑠡	भ	DOGRA LETTER BHA
𑠢	म	DOGRA LETTER MA
𑠣	य	DOGRA LETTER YA
𑠤	र	DOGRA LETTER RA
𑠥	ल	DOGRA LETTER LA
𑠦	व	DOGRA LETTER VA
𑠧	श	DOGRA LETTER SHA
𑠨	ष	DOGRA LETTER SSA
𑠩	स	DOGRA LETTER SA
𑠪	ह	DOGRA LETTER HA
𑠫	ऱ	DOGRA LETTER RRA
𑠬	ा	DOGRA VOWEL SIGN AA
𑠭	ि	DOGRA VOWEL SIGN I
𑠮	ी	DOGRA VOWEL SIGN II
𑠯	ु	DOGRA VOWEL SIGN U
𑠰	ू	DOGRA VOWEL SIGN UU
𑠱	ृ	DOGRA VOWEL SIGN VOCALIC R
𑠲	ॄ	DOGRA VOWEL SIGN VOCALIC RR
𑠳	े	DOGRA VOWEL SIGN E
𑠴	ै	DOGRA VOWEL SIGN AI
𑠵	ो	DOGRA VOWEL SIGN O
𑠶	ौ	DOGRA VOWEL SIGN AU
𑠷	ं	DOGRA SIGN ANUSVARA
𑠸	ः	DOGRA SIGN VISARGA
𑠹	्	DOGRA SIGN VIRAMA
𑠺	़	DOGRA SIGN NUKTA
𑠻	॰	DOGRA ABBREVIATION SIGN
