# GURMUKHI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing GURMUKHI with DEVANAGARI in Unicode character names. Not a handmade map.
gurmukhi	deva	unicode_name
ਃ	ः	GURMUKHI SIGN VISARGA
ਅ	अ	GURMUKHI LETTER A
ਆ	आ	GURMUKHI LETTER AA
ਇ	इ	GURMUKHI LETTER I
ਈ	ई	GURMUKHI LETTER II
ਉ	उ	GURMUKHI LETTER U
ਊ	ऊ	GURMUKHI LETTER UU
ਐ	ऐ	GURMUKHI LETTER AI
ਔ	औ	GURMUKHI LETTER AU
ਕ	क	GURMUKHI LETTER KA
ਖ	ख	GURMUKHI LETTER KHA
ਗ	ग	GURMUKHI LETTER GA
ਘ	घ	GURMUKHI LETTER GHA
ਙ	ङ	GURMUKHI LETTER NGA
ਚ	च	GURMUKHI LETTER CA
ਛ	छ	GURMUKHI LETTER CHA
ਜ	ज	GURMUKHI LETTER JA
ਝ	झ	GURMUKHI LETTER JHA
ਞ	ञ	GURMUKHI LETTER NYA
ਟ	ट	GURMUKHI LETTER TTA
ਠ	ठ	GURMUKHI LETTER TTHA
ਡ	ड	GURMUKHI LETTER DDA
ਢ	ढ	GURMUKHI LETTER DDHA
ਣ	ण	GURMUKHI LETTER NNA
ਤ	त	GURMUKHI LETTER TA
ਥ	थ	GURMUKHI LETTER THA
ਦ	द	GURMUKHI LETTER DA
ਧ	ध	GURMUKHI LETTER DHA
ਨ	न	GURMUKHI LETTER NA
ਪ	प	GURMUKHI LETTER PA
ਫ	फ	GURMUKHI LETTER PHA
ਬ	ब	GURMUKHI LETTER BA
ਭ	भ	GURMUKHI LETTER BHA
ਮ	म	GURMUKHI LETTER MA
ਯ	य	GURMUKHI LETTER YA
ਰ	र	GURMUKHI LETTER RA
ਲ	ल	GURMUKHI LETTER LA
ਲ਼	ळ	GURMUKHI LETTER LLA
ਵ	व	GURMUKHI LETTER VA
ਸ਼	श	GURMUKHI LETTER SHA
ਸ	स	GURMUKHI LETTER SA
ਹ	ह	GURMUKHI LETTER HA
਼	़	GURMUKHI SIGN NUKTA
ਾ	ा	GURMUKHI VOWEL SIGN AA
ਿ	ि	GURMUKHI VOWEL SIGN I
ੀ	ी	GURMUKHI VOWEL SIGN II
ੁ	ु	GURMUKHI VOWEL SIGN U
ੂ	ू	GURMUKHI VOWEL SIGN UU
ੈ	ै	GURMUKHI VOWEL SIGN AI
ੌ	ौ	GURMUKHI VOWEL SIGN AU
੍	्	GURMUKHI SIGN VIRAMA
ਖ਼	ख़	GURMUKHI LETTER KHHA
ਗ਼	ग़	GURMUKHI LETTER GHHA
ਜ਼	ज़	GURMUKHI LETTER ZA
ੜ	ऱ	GURMUKHI LETTER RRA
ਫ਼	फ़	GURMUKHI LETTER FA
੦	०	GURMUKHI DIGIT ZERO
੧	१	GURMUKHI DIGIT ONE
੨	२	GURMUKHI DIGIT TWO
੩	३	GURMUKHI DIGIT THREE
੪	४	GURMUKHI DIGIT FOUR
੫	५	GURMUKHI DIGIT FIVE
੬	६	GURMUKHI DIGIT SIX
੭	७	GURMUKHI DIGIT SEVEN
੮	८	GURMUKHI DIGIT EIGHT
੯	९	GURMUKHI DIGIT NINE
੶	॰	GURMUKHI ABBREVIATION SIGN
