# HANUNOO -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᜠ	अ	HANUNOO LETTER A
ᜡ	इ	HANUNOO LETTER I
ᜢ	उ	HANUNOO LETTER U
ᜣ	क	HANUNOO LETTER KA
ᜤ	ग	HANUNOO LETTER GA
ᜥ	ङ	HANUNOO LETTER NGA
ᜦ	त	HANUNOO LETTER TA
ᜧ	द	HANUNOO LETTER DA
ᜨ	न	HANUNOO LETTER NA
ᜩ	प	HANUNOO LETTER PA
ᜪ	ब	HANUNOO LETTER BA
ᜫ	म	HANUNOO LETTER MA
ᜬ	य	HANUNOO LETTER YA
ᜭ	र	HANUNOO LETTER RA
ᜮ	ल	HANUNOO LETTER LA
ᜰ	स	HANUNOO LETTER SA
ᜱ	ह	HANUNOO LETTER HA
ᜲ	ि	HANUNOO VOWEL SIGN I
ᜳ	ु	HANUNOO VOWEL SIGN U
