# JAVANESE -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ꦄ	अ	JAVANESE LETTER A
ꦆ	इ	JAVANESE LETTER I
ꦇ	ई	JAVANESE LETTER II
ꦈ	उ	JAVANESE LETTER U
ꦌ	ए	JAVANESE LETTER E
ꦍ	ऐ	JAVANESE LETTER AI
ꦎ	ओ	JAVANESE LETTER O
ꦏ	क	JAVANESE LETTER KA
ꦒ	ग	JAVANESE LETTER GA
ꦔ	ङ	JAVANESE LETTER NGA
ꦕ	च	JAVANESE LETTER CA
ꦗ	ज	JAVANESE LETTER JA
ꦚ	ञ	JAVANESE LETTER NYA
ꦛ	ट	JAVANESE LETTER TTA
ꦝ	ड	JAVANESE LETTER DDA
ꦠ	त	JAVANESE LETTER TA
ꦢ	द	JAVANESE LETTER DA
ꦤ	न	JAVANESE LETTER NA
ꦥ	प	JAVANESE LETTER PA
ꦧ	ब	JAVANESE LETTER BA
ꦩ	म	JAVANESE LETTER MA
ꦪ	य	JAVANESE LETTER YA
ꦫ	र	JAVANESE LETTER RA
ꦭ	ल	JAVANESE LETTER LA
ꦱ	स	JAVANESE LETTER SA
ꦲ	ह	JAVANESE LETTER HA
꧐	०	JAVANESE DIGIT ZERO
꧑	१	JAVANESE DIGIT ONE
꧒	२	JAVANESE DIGIT TWO
꧓	३	JAVANESE DIGIT THREE
꧔	४	JAVANESE DIGIT FOUR
꧕	५	JAVANESE DIGIT FIVE
꧖	६	JAVANESE DIGIT SIX
꧗	७	JAVANESE DIGIT SEVEN
꧘	८	JAVANESE DIGIT EIGHT
꧙	९	JAVANESE DIGIT NINE
