# KANNADA -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ಁ	ँ	KANNADA SIGN CANDRABINDU
ಂ	ं	KANNADA SIGN ANUSVARA
ಃ	ः	KANNADA SIGN VISARGA
ಅ	अ	KANNADA LETTER A
ಆ	आ	KANNADA LETTER AA
ಇ	इ	KANNADA LETTER I
ಈ	ई	KANNADA LETTER II
ಉ	उ	KANNADA LETTER U
ಊ	ऊ	KANNADA LETTER UU
ಋ	ऋ	KANNADA LETTER VOCALIC R
ಌ	ऌ	KANNADA LETTER VOCALIC L
ಎ	ए	KANNADA LETTER E
ಐ	ऐ	KANNADA LETTER AI
ಒ	ओ	KANNADA LETTER O
ಔ	औ	KANNADA LETTER AU
ಕ	क	KANNADA LETTER KA
ಖ	ख	KANNADA LETTER KHA
ಗ	ग	KANNADA LETTER GA
ಘ	घ	KANNADA LETTER GHA
ಙ	ङ	KANNADA LETTER NGA
ಚ	च	KANNADA LETTER CA
ಛ	छ	KANNADA LETTER CHA
ಜ	ज	KANNADA LETTER JA
ಝ	झ	KANNADA LETTER JHA
ಞ	ञ	KANNADA LETTER NYA
ಟ	ट	KANNADA LETTER TTA
ಠ	ठ	KANNADA LETTER TTHA
ಡ	ड	KANNADA LETTER DDA
ಢ	ढ	KANNADA LETTER DDHA
ಣ	ण	KANNADA LETTER NNA
ತ	त	KANNADA LETTER TA
ಥ	थ	KANNADA LETTER THA
ದ	द	KANNADA LETTER DA
ಧ	ध	KANNADA LETTER DHA
ನ	न	KANNADA LETTER NA
ಪ	प	KANNADA LETTER PA
ಫ	फ	KANNADA LETTER PHA
ಬ	ब	KANNADA LETTER BA
ಭ	भ	KANNADA LETTER BHA
ಮ	म	KANNADA LETTER MA
ಯ	य	KANNADA LETTER YA
ರ	र	KANNADA LETTER RA
ಱ	ऱ	KANNADA LETTER RRA
ಲ	ल	KANNADA LETTER LA
ಳ	ळ	KANNADA LETTER LLA
ವ	व	KANNADA LETTER VA
ಶ	श	KANNADA LETTER SHA
ಷ	ष	KANNADA LETTER SSA
ಸ	स	KANNADA LETTER SA
ಹ	ह	KANNADA LETTER HA
಼	़	KANNADA SIGN NUKTA
ಽ	ऽ	KANNADA SIGN AVAGRAHA
ಾ	ा	KANNADA VOWEL SIGN AA
ಿ	ि	KANNADA VOWEL SIGN I
ೀ	ी	KANNADA VOWEL SIGN II
ು	ु	KANNADA VOWEL SIGN U
ೂ	ू	KANNADA VOWEL SIGN UU
ೃ	ृ	KANNADA VOWEL SIGN VOCALIC R
ೄ	ॄ	KANNADA VOWEL SIGN VOCALIC RR
ೆ	े	KANNADA VOWEL SIGN E
ೈ	ै	KANNADA VOWEL SIGN AI
ೊ	ो	KANNADA VOWEL SIGN O
ೌ	ौ	KANNADA VOWEL SIGN AU
್	्	KANNADA SIGN VIRAMA
ೞ	फ़	KANNADA LETTER FA
ೠ	ॠ	KANNADA LETTER VOCALIC RR
ೡ	ॡ	KANNADA LETTER VOCALIC LL
ೢ	ॢ	KANNADA VOWEL SIGN VOCALIC L
ೣ	ॣ	KANNADA VOWEL SIGN VOCALIC LL
೦	०	KANNADA DIGIT ZERO
೧	१	KANNADA DIGIT ONE
೨	२	KANNADA DIGIT TWO
೩	३	KANNADA DIGIT THREE
೪	४	KANNADA DIGIT FOUR
೫	५	KANNADA DIGIT FIVE
೬	६	KANNADA DIGIT SIX
೭	७	KANNADA DIGIT SEVEN
೮	८	KANNADA DIGIT EIGHT
೯	९	KANNADA DIGIT NINE
