# KAYAH LI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
꤀	०	KAYAH LI DIGIT ZERO
꤁	१	KAYAH LI DIGIT ONE
꤂	२	KAYAH LI DIGIT TWO
꤃	३	KAYAH LI DIGIT THREE
꤄	४	KAYAH LI DIGIT FOUR
꤅	५	KAYAH LI DIGIT FIVE
꤆	६	KAYAH LI DIGIT SIX
꤇	७	KAYAH LI DIGIT SEVEN
꤈	८	KAYAH LI DIGIT EIGHT
꤉	९	KAYAH LI DIGIT NINE
ꤊ	क	KAYAH LI LETTER KA
ꤋ	ख	KAYAH LI LETTER KHA
ꤌ	ग	KAYAH LI LETTER GA
ꤍ	ङ	KAYAH LI LETTER NGA
ꤎ	स	KAYAH LI LETTER SA
ꤏ	श	KAYAH LI LETTER SHA
ꤐ	ज़	KAYAH LI LETTER ZA
ꤑ	ञ	KAYAH LI LETTER NYA
ꤒ	त	KAYAH LI LETTER TA
ꤔ	न	KAYAH LI LETTER NA
ꤕ	प	KAYAH LI LETTER PA
ꤖ	फ	KAYAH LI LETTER PHA
ꤗ	म	KAYAH LI LETTER MA
ꤘ	द	KAYAH LI LETTER DA
ꤙ	ब	KAYAH LI LETTER BA
ꤚ	र	KAYAH LI LETTER RA
ꤛ	य	KAYAH LI LETTER YA
ꤜ	ल	KAYAH LI LETTER LA
ꤞ	थ	KAYAH LI LETTER THA
ꤟ	ह	KAYAH LI LETTER HA
ꤠ	व	KAYAH LI LETTER VA
ꤡ	च	KAYAH LI LETTER CA
ꤢ	अ	KAYAH LI LETTER A
ꤣ	ॳ	KAYAH LI LETTER OE
ꤤ	इ	KAYAH LI LETTER I
