# KHMER -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ក	क	KHMER LETTER KA
ខ	ख	KHMER LETTER KHA
ច	च	KHMER LETTER CA
ឆ	छ	KHMER LETTER CHA
ដ	द	KHMER LETTER DA
ឋ	ठ	KHMER LETTER TTHA
ត	त	KHMER LETTER TA
ថ	थ	KHMER LETTER THA
ប	ब	KHMER LETTER BA
ផ	फ	KHMER LETTER PHA
ឝ	श	KHMER LETTER SHA
ស	स	KHMER LETTER SA
ហ	ह	KHMER LETTER HA
ឡ	ल	KHMER LETTER LA
អ	क़	KHMER LETTER QA
ា	ा	KHMER VOWEL SIGN AA
ិ	ि	KHMER VOWEL SIGN I
ី	ी	KHMER VOWEL SIGN II
ុ	ु	KHMER VOWEL SIGN U
ូ	ू	KHMER VOWEL SIGN UU
ើ	ऺ	KHMER VOWEL SIGN OE
េ	े	KHMER VOWEL SIGN E
ៃ	ै	KHMER VOWEL SIGN AI
ៅ	ौ	KHMER VOWEL SIGN AU
០	०	KHMER DIGIT ZERO
១	१	KHMER DIGIT ONE
២	२	KHMER DIGIT TWO
៣	३	KHMER DIGIT THREE
៤	४	KHMER DIGIT FOUR
៥	५	KHMER DIGIT FIVE
៦	६	KHMER DIGIT SIX
៧	७	KHMER DIGIT SEVEN
៨	८	KHMER DIGIT EIGHT
៩	९	KHMER DIGIT NINE
