# KHOJKI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑈀	अ	KHOJKI LETTER A
𑈁	आ	KHOJKI LETTER AA
𑈂	इ	KHOJKI LETTER I
𑈃	उ	KHOJKI LETTER U
𑈄	ए	KHOJKI LETTER E
𑈅	ऐ	KHOJKI LETTER AI
𑈆	ओ	KHOJKI LETTER O
𑈇	औ	KHOJKI LETTER AU
𑈈	क	KHOJKI LETTER KA
𑈉	ख	KHOJKI LETTER KHA
𑈊	ग	KHOJKI LETTER GA
𑈋	ॻ	KHOJKI LETTER GGA
𑈌	घ	KHOJKI LETTER GHA
𑈍	ङ	KHOJKI LETTER NGA
𑈎	च	KHOJKI LETTER CA
𑈏	छ	KHOJKI LETTER CHA
𑈐	ज	KHOJKI LETTER JA
𑈑	ॼ	KHOJKI LETTER JJA
𑈓	ञ	KHOJKI LETTER NYA
𑈔	ट	KHOJKI LETTER TTA
𑈕	ठ	KHOJKI LETTER TTHA
𑈖	ड	KHOJKI LETTER DDA
𑈗	ढ	KHOJKI LETTER DDHA
𑈘	ण	KHOJKI LETTER NNA
𑈙	त	KHOJKI LETTER TA
𑈚	थ	KHOJKI LETTER THA
𑈛	द	KHOJKI LETTER DA
𑈜	ॾ	KHOJKI LETTER DDDA
𑈝	ध	KHOJKI LETTER DHA
𑈞	न	KHOJKI LETTER NA
𑈟	प	KHOJKI LETTER PA
𑈠	फ	KHOJKI LETTER PHA
𑈡	ब	KHOJKI LETTER BA
𑈢	ॿ	KHOJKI LETTER BBA
𑈣	भ	KHOJKI LETTER BHA
𑈤	म	KHOJKI LETTER MA
𑈥	य	KHOJKI LETTER YA
𑈦	र	KHOJKI LETTER RA
𑈧	ल	KHOJKI LETTER LA
𑈨	व	KHOJKI LETTER VA
𑈩	स	KHOJKI LETTER SA
𑈪	ह	KHOJKI LETTER HA
𑈫	ळ	KHOJKI LETTER LLA
𑈬	ा	KHOJKI VOWEL SIGN AA
𑈭	ि	KHOJKI VOWEL SIGN I
𑈮	ी	KHOJKI VOWEL SIGN II
𑈯	ु	KHOJKI VOWEL SIGN U
𑈰	े	KHOJKI VOWEL SIGN E
𑈱	ै	KHOJKI VOWEL SIGN AI
𑈲	ो	KHOJKI VOWEL SIGN O
𑈳	ौ	KHOJKI VOWEL SIGN AU
𑈴	ं	KHOJKI SIGN ANUSVARA
𑈵	्	KHOJKI SIGN VIRAMA
𑈶	़	KHOJKI SIGN NUKTA
𑈸	।	KHOJKI DANDA
𑈹	॥	KHOJKI DOUBLE DANDA
𑈽	॰	KHOJKI ABBREVIATION SIGN
