# MAHAJANI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑅐	अ	MAHAJANI LETTER A
𑅑	इ	MAHAJANI LETTER I
𑅒	उ	MAHAJANI LETTER U
𑅓	ए	MAHAJANI LETTER E
𑅔	ओ	MAHAJANI LETTER O
𑅕	क	MAHAJANI LETTER KA
𑅖	ख	MAHAJANI LETTER KHA
𑅗	ग	MAHAJANI LETTER GA
𑅘	घ	MAHAJANI LETTER GHA
𑅙	च	MAHAJANI LETTER CA
𑅚	छ	MAHAJANI LETTER CHA
𑅛	ज	MAHAJANI LETTER JA
𑅜	झ	MAHAJANI LETTER JHA
𑅝	ञ	MAHAJANI LETTER NYA
𑅞	ट	MAHAJANI LETTER TTA
𑅟	ठ	MAHAJANI LETTER TTHA
𑅠	ड	MAHAJANI LETTER DDA
𑅡	ढ	MAHAJANI LETTER DDHA
𑅢	ण	MAHAJANI LETTER NNA
𑅣	त	MAHAJANI LETTER TA
𑅤	थ	MAHAJANI LETTER THA
𑅥	द	MAHAJANI LETTER DA
𑅦	ध	MAHAJANI LETTER DHA
𑅧	न	MAHAJANI LETTER NA
𑅨	प	MAHAJANI LETTER PA
𑅩	फ	MAHAJANI LETTER PHA
𑅪	ब	MAHAJANI LETTER BA
𑅫	भ	MAHAJANI LETTER BHA
𑅬	म	MAHAJANI LETTER MA
𑅭	र	MAHAJANI LETTER RA
𑅮	ल	MAHAJANI LETTER LA
𑅯	व	MAHAJANI LETTER VA
𑅰	स	MAHAJANI LETTER SA
𑅱	ह	MAHAJANI LETTER HA
𑅲	ऱ	MAHAJANI LETTER RRA
𑅳	़	MAHAJANI SIGN NUKTA
𑅴	॰	MAHAJANI ABBREVIATION SIGN
