# NANDINAGARI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑦠	अ	NANDINAGARI LETTER A
𑦡	आ	NANDINAGARI LETTER AA
𑦢	इ	NANDINAGARI LETTER I
𑦣	ई	NANDINAGARI LETTER II
𑦤	उ	NANDINAGARI LETTER U
𑦥	ऊ	NANDINAGARI LETTER UU
𑦦	ऋ	NANDINAGARI LETTER VOCALIC R
𑦧	ॠ	NANDINAGARI LETTER VOCALIC RR
𑦪	ए	NANDINAGARI LETTER E
𑦫	ऐ	NANDINAGARI LETTER AI
𑦬	ओ	NANDINAGARI LETTER O
𑦭	औ	NANDINAGARI LETTER AU
𑦮	क	NANDINAGARI LETTER KA
𑦯	ख	NANDINAGARI LETTER KHA
𑦰	ग	NANDINAGARI LETTER GA
𑦱	घ	NANDINAGARI LETTER GHA
𑦲	ङ	NANDINAGARI LETTER NGA
𑦳	च	NANDINAGARI LETTER CA
𑦴	छ	NANDINAGARI LETTER CHA
𑦵	ज	NANDINAGARI LETTER JA
𑦶	झ	NANDINAGARI LETTER JHA
𑦷	ञ	NANDINAGARI LETTER NYA
𑦸	ट	NANDINAGARI LETTER TTA
𑦹	ठ	NANDINAGARI LETTER TTHA
𑦺	ड	NANDINAGARI LETTER DDA
𑦻	ढ	NANDINAGARI LETTER DDHA
𑦼	ण	NANDINAGARI LETTER NNA
𑦽	त	NANDINAGARI LETTER TA
𑦾	थ	NANDINAGARI LETTER THA
𑦿	द	NANDINAGARI LETTER DA
𑧀	ध	NANDINAGARI LETTER DHA
𑧁	न	NANDINAGARI LETTER NA
𑧂	प	NANDINAGARI LETTER PA
𑧃	फ	NANDINAGARI LETTER PHA
𑧄	ब	NANDINAGARI LETTER BA
𑧅	भ	NANDINAGARI LETTER BHA
𑧆	म	NANDINAGARI LETTER MA
𑧇	य	NANDINAGARI LETTER YA
𑧈	र	NANDINAGARI LETTER RA
𑧉	ल	NANDINAGARI LETTER LA
𑧊	व	NANDINAGARI LETTER VA
𑧋	श	NANDINAGARI LETTER SHA
𑧌	ष	NANDINAGARI LETTER SSA
𑧍	स	NANDINAGARI LETTER SA
𑧎	ह	NANDINAGARI LETTER HA
𑧏	ळ	NANDINAGARI LETTER LLA
𑧐	ऱ	NANDINAGARI LETTER RRA
𑧑	ा	NANDINAGARI VOWEL SIGN AA
𑧒	ि	NANDINAGARI VOWEL SIGN I
𑧓	ी	NANDINAGARI VOWEL SIGN II
𑧔	ु	NANDINAGARI VOWEL SIGN U
𑧕	ू	NANDINAGARI VOWEL SIGN UU
𑧖	ृ	NANDINAGARI VOWEL SIGN VOCALIC R
𑧗	ॄ	NANDINAGARI VOWEL SIGN VOCALIC RR
𑧚	े	NANDINAGARI VOWEL SIGN E
𑧛	ै	NANDINAGARI VOWEL SIGN AI
𑧜	ो	NANDINAGARI VOWEL SIGN O
𑧝	ौ	NANDINAGARI VOWEL SIGN AU
𑧞	ं	NANDINAGARI SIGN ANUSVARA
𑧟	ः	NANDINAGARI SIGN VISARGA
𑧠	्	NANDINAGARI SIGN VIRAMA
𑧡	ऽ	NANDINAGARI SIGN AVAGRAHA
𑧤	ॎ	NANDINAGARI VOWEL SIGN PRISHTHAMATRA E
