# NEWA -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑐀	अ	NEWA LETTER A
𑐁	आ	NEWA LETTER AA
𑐂	इ	NEWA LETTER I
𑐃	ई	NEWA LETTER II
𑐄	उ	NEWA LETTER U
𑐅	ऊ	NEWA LETTER UU
𑐆	ऋ	NEWA LETTER VOCALIC R
𑐇	ॠ	NEWA LETTER VOCALIC RR
𑐈	ऌ	NEWA LETTER VOCALIC L
𑐉	ॡ	NEWA LETTER VOCALIC LL
𑐊	ए	NEWA LETTER E
𑐋	ऐ	NEWA LETTER AI
𑐌	ओ	NEWA LETTER O
𑐍	औ	NEWA LETTER AU
𑐎	क	NEWA LETTER KA
𑐏	ख	NEWA LETTER KHA
𑐐	ग	NEWA LETTER GA
𑐑	घ	NEWA LETTER GHA
𑐒	ङ	NEWA LETTER NGA
𑐔	च	NEWA LETTER CA
𑐕	छ	NEWA LETTER CHA
𑐖	ज	NEWA LETTER JA
𑐗	झ	NEWA LETTER JHA
𑐘	ञ	NEWA LETTER NYA
𑐚	ट	NEWA LETTER TTA
𑐛	ठ	NEWA LETTER TTHA
𑐜	ड	NEWA LETTER DDA
𑐝	ढ	NEWA LETTER DDHA
𑐞	ण	NEWA LETTER NNA
𑐟	त	NEWA LETTER TA
𑐠	थ	NEWA LETTER THA
𑐡	द	NEWA LETTER DA
𑐢	ध	NEWA LETTER DHA
𑐣	न	NEWA LETTER NA
𑐥	प	NEWA LETTER PA
𑐦	फ	NEWA LETTER PHA
𑐧	ब	NEWA LETTER BA
𑐨	भ	NEWA LETTER BHA
𑐩	म	NEWA LETTER MA
𑐫	य	NEWA LETTER YA
𑐬	र	NEWA LETTER RA
𑐭	ढ़	NEWA LETTER RHA
𑐮	ल	NEWA LETTER LA
𑐱	श	NEWA LETTER SHA
𑐲	ष	NEWA LETTER SSA
𑐳	स	NEWA LETTER SA
𑐴	ह	NEWA LETTER HA
𑐵	ा	NEWA VOWEL SIGN AA
𑐶	ि	NEWA VOWEL SIGN I
𑐷	ी	NEWA VOWEL SIGN II
𑐸	ु	NEWA VOWEL SIGN U
𑐹	ू	NEWA VOWEL SIGN UU
𑐺	ृ	NEWA VOWEL SIGN VOCALIC R
𑐻	ॄ	NEWA VOWEL SIGN VOCALIC RR
𑐼	ॢ	NEWA VOWEL SIGN VOCALIC L
𑐽	ॣ	NEWA VOWEL SIGN VOCALIC LL
𑐾	े	NEWA VOWEL SIGN E
𑐿	ै	NEWA VOWEL SIGN AI
𑑀	ो	NEWA VOWEL SIGN O
𑑁	ौ	NEWA VOWEL SIGN AU
𑑂	्	NEWA SIGN VIRAMA
𑑃	ँ	NEWA SIGN CANDRABINDU
𑑄	ं	NEWA SIGN ANUSVARA
𑑅	ः	NEWA SIGN VISARGA
𑑆	़	NEWA SIGN NUKTA
𑑇	ऽ	NEWA SIGN AVAGRAHA
𑑉	ॐ	NEWA OM
𑑋	।	NEWA DANDA
𑑌	॥	NEWA DOUBLE DANDA
𑑏	॰	NEWA ABBREVIATION SIGN
𑑐	०	NEWA DIGIT ZERO
𑑑	१	NEWA DIGIT ONE
𑑒	२	NEWA DIGIT TWO
𑑓	३	NEWA DIGIT THREE
𑑔	४	NEWA DIGIT FOUR
𑑕	५	NEWA DIGIT FIVE
𑑖	६	NEWA DIGIT SIX
𑑗	७	NEWA DIGIT SEVEN
𑑘	८	NEWA DIGIT EIGHT
𑑙	९	NEWA DIGIT NINE
