# ORIYA -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ଁ	ँ	ORIYA SIGN CANDRABINDU
ଂ	ं	ORIYA SIGN ANUSVARA
ଃ	ः	ORIYA SIGN VISARGA
ଅ	अ	ORIYA LETTER A
ଆ	आ	ORIYA LETTER AA
ଇ	इ	ORIYA LETTER I
ଈ	ई	ORIYA LETTER II
ଉ	उ	ORIYA LETTER U
ଊ	ऊ	ORIYA LETTER UU
ଋ	ऋ	ORIYA LETTER VOCALIC R
ଌ	ऌ	ORIYA LETTER VOCALIC L
ଏ	ए	ORIYA LETTER E
ଐ	ऐ	ORIYA LETTER AI
ଓ	ओ	ORIYA LETTER O
ଔ	औ	ORIYA LETTER AU
କ	क	ORIYA LETTER KA
ଖ	ख	ORIYA LETTER KHA
ଗ	ग	ORIYA LETTER GA
ଘ	घ	ORIYA LETTER GHA
ଙ	ङ	ORIYA LETTER NGA
ଚ	च	ORIYA LETTER CA
ଛ	छ	ORIYA LETTER CHA
ଜ	ज	ORIYA LETTER JA
ଝ	झ	ORIYA LETTER JHA
ଞ	ञ	ORIYA LETTER NYA
ଟ	ट	ORIYA LETTER TTA
ଠ	ठ	ORIYA LETTER TTHA
ଡ	ड	ORIYA LETTER DDA
ଢ	ढ	ORIYA LETTER DDHA
ଣ	ण	ORIYA LETTER NNA
ତ	त	ORIYA LETTER TA
ଥ	थ	ORIYA LETTER THA
ଦ	द	ORIYA LETTER DA
ଧ	ध	ORIYA LETTER DHA
ନ	न	ORIYA LETTER NA
ପ	प	ORIYA LETTER PA
ଫ	फ	ORIYA LETTER PHA
ବ	ब	ORIYA LETTER BA
ଭ	भ	ORIYA LETTER BHA
ମ	म	ORIYA LETTER MA
ଯ	य	ORIYA LETTER YA
ର	र	ORIYA LETTER RA
ଲ	ल	ORIYA LETTER LA
ଳ	ळ	ORIYA LETTER LLA
ଵ	व	ORIYA LETTER VA
ଶ	श	ORIYA LETTER SHA
ଷ	ष	ORIYA LETTER SSA
ସ	स	ORIYA LETTER SA
ହ	ह	ORIYA LETTER HA
଼	़	ORIYA SIGN NUKTA
ଽ	ऽ	ORIYA SIGN AVAGRAHA
ା	ा	ORIYA VOWEL SIGN AA
ି	ि	ORIYA VOWEL SIGN I
ୀ	ी	ORIYA VOWEL SIGN II
ୁ	ु	ORIYA VOWEL SIGN U
ୂ	ू	ORIYA VOWEL SIGN UU
ୃ	ृ	ORIYA VOWEL SIGN VOCALIC R
ୄ	ॄ	ORIYA VOWEL SIGN VOCALIC RR
େ	े	ORIYA VOWEL SIGN E
ୈ	ै	ORIYA VOWEL SIGN AI
ୋ	ो	ORIYA VOWEL SIGN O
ୌ	ौ	ORIYA VOWEL SIGN AU
୍	्	ORIYA SIGN VIRAMA
ଡ଼	ऱ	ORIYA LETTER RRA
ଢ଼	ढ़	ORIYA LETTER RHA
ୟ	य़	ORIYA LETTER YYA
ୠ	ॠ	ORIYA LETTER VOCALIC RR
ୡ	ॡ	ORIYA LETTER VOCALIC LL
ୢ	ॢ	ORIYA VOWEL SIGN VOCALIC L
ୣ	ॣ	ORIYA VOWEL SIGN VOCALIC LL
୦	०	ORIYA DIGIT ZERO
୧	१	ORIYA DIGIT ONE
୨	२	ORIYA DIGIT TWO
୩	३	ORIYA DIGIT THREE
୪	४	ORIYA DIGIT FOUR
୫	५	ORIYA DIGIT FIVE
୬	६	ORIYA DIGIT SIX
୭	७	ORIYA DIGIT SEVEN
୮	८	ORIYA DIGIT EIGHT
୯	९	ORIYA DIGIT NINE
