# REJANG -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ꤰ	क	REJANG LETTER KA
ꤱ	ग	REJANG LETTER GA
ꤲ	ङ	REJANG LETTER NGA
ꤳ	त	REJANG LETTER TA
ꤴ	द	REJANG LETTER DA
ꤵ	न	REJANG LETTER NA
ꤶ	प	REJANG LETTER PA
ꤷ	ब	REJANG LETTER BA
ꤸ	म	REJANG LETTER MA
ꤹ	च	REJANG LETTER CA
ꤺ	ज	REJANG LETTER JA
ꤻ	ञ	REJANG LETTER NYA
ꤼ	स	REJANG LETTER SA
ꤽ	र	REJANG LETTER RA
ꤾ	ल	REJANG LETTER LA
ꤿ	य	REJANG LETTER YA
ꥁ	ह	REJANG LETTER HA
ꥆ	अ	REJANG LETTER A
ꥇ	ि	REJANG VOWEL SIGN I
ꥈ	ु	REJANG VOWEL SIGN U
ꥉ	े	REJANG VOWEL SIGN E
ꥊ	ै	REJANG VOWEL SIGN AI
ꥋ	ो	REJANG VOWEL SIGN O
ꥌ	ौ	REJANG VOWEL SIGN AU
