# SHARADA -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑆀	ँ	SHARADA SIGN CANDRABINDU
𑆁	ं	SHARADA SIGN ANUSVARA
𑆂	ः	SHARADA SIGN VISARGA
𑆃	अ	SHARADA LETTER A
𑆄	आ	SHARADA LETTER AA
𑆅	इ	SHARADA LETTER I
𑆆	ई	SHARADA LETTER II
𑆇	उ	SHARADA LETTER U
𑆈	ऊ	SHARADA LETTER UU
𑆉	ऋ	SHARADA LETTER VOCALIC R
𑆊	ॠ	SHARADA LETTER VOCALIC RR
𑆋	ऌ	SHARADA LETTER VOCALIC L
𑆌	ॡ	SHARADA LETTER VOCALIC LL
𑆍	ए	SHARADA LETTER E
𑆎	ऐ	SHARADA LETTER AI
𑆏	ओ	SHARADA LETTER O
𑆐	औ	SHARADA LETTER AU
𑆑	क	SHARADA LETTER KA
𑆒	ख	SHARADA LETTER KHA
𑆓	ग	SHARADA LETTER GA
𑆔	घ	SHARADA LETTER GHA
𑆕	ङ	SHARADA LETTER NGA
𑆖	च	SHARADA LETTER CA
𑆗	छ	SHARADA LETTER CHA
𑆘	ज	SHARADA LETTER JA
𑆙	झ	SHARADA LETTER JHA
𑆚	ञ	SHARADA LETTER NYA
𑆛	ट	SHARADA LETTER TTA
𑆜	ठ	SHARADA LETTER TTHA
𑆝	ड	SHARADA LETTER DDA
𑆞	ढ	SHARADA LETTER DDHA
𑆟	ण	SHARADA LETTER NNA
𑆠	त	SHARADA LETTER TA
𑆡	थ	SHARADA LETTER THA
𑆢	द	SHARADA LETTER DA
𑆣	ध	SHARADA LETTER DHA
𑆤	न	SHARADA LETTER NA
𑆥	प	SHARADA LETTER PA
𑆦	फ	SHARADA LETTER PHA
𑆧	ब	SHARADA LETTER BA
𑆨	भ	SHARADA LETTER BHA
𑆩	म	SHARADA LETTER MA
𑆪	य	SHARADA LETTER YA
𑆫	र	SHARADA LETTER RA
𑆬	ल	SHARADA LETTER LA
𑆭	ळ	SHARADA LETTER LLA
𑆮	व	SHARADA LETTER VA
𑆯	श	SHARADA LETTER SHA
𑆰	ष	SHARADA LETTER SSA
𑆱	स	SHARADA LETTER SA
𑆲	ह	SHARADA LETTER HA
𑆳	ा	SHARADA VOWEL SIGN AA
𑆴	ि	SHARADA VOWEL SIGN I
𑆵	ी	SHARADA VOWEL SIGN II
𑆶	ु	SHARADA VOWEL SIGN U
𑆷	ू	SHARADA VOWEL SIGN UU
𑆸	ृ	SHARADA VOWEL SIGN VOCALIC R
𑆹	ॄ	SHARADA VOWEL SIGN VOCALIC RR
𑆺	ॢ	SHARADA VOWEL SIGN VOCALIC L
𑆻	ॣ	SHARADA VOWEL SIGN VOCALIC LL
𑆼	े	SHARADA VOWEL SIGN E
𑆽	ै	SHARADA VOWEL SIGN AI
𑆾	ो	SHARADA VOWEL SIGN O
𑆿	ौ	SHARADA VOWEL SIGN AU
𑇀	्	SHARADA SIGN VIRAMA
𑇁	ऽ	SHARADA SIGN AVAGRAHA
𑇄	ॐ	SHARADA OM
𑇅	।	SHARADA DANDA
𑇆	॥	SHARADA DOUBLE DANDA
𑇇	॰	SHARADA ABBREVIATION SIGN
𑇊	़	SHARADA SIGN NUKTA
𑇎	ॎ	SHARADA VOWEL SIGN PRISHTHAMATRA E
𑇏	ऀ	SHARADA SIGN INVERTED CANDRABINDU
𑇐	०	SHARADA DIGIT ZERO
𑇑	१	SHARADA DIGIT ONE
𑇒	२	SHARADA DIGIT TWO
𑇓	३	SHARADA DIGIT THREE
𑇔	४	SHARADA DIGIT FOUR
𑇕	५	SHARADA DIGIT FIVE
𑇖	६	SHARADA DIGIT SIX
𑇗	७	SHARADA DIGIT SEVEN
𑇘	८	SHARADA DIGIT EIGHT
𑇙	९	SHARADA DIGIT NINE
