# SOYOMBO -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑩐	अ	SOYOMBO LETTER A
𑩑	ि	SOYOMBO VOWEL SIGN I
𑩒	ॖ	SOYOMBO VOWEL SIGN UE
𑩓	ु	SOYOMBO VOWEL SIGN U
𑩔	े	SOYOMBO VOWEL SIGN E
𑩕	ो	SOYOMBO VOWEL SIGN O
𑩖	ऺ	SOYOMBO VOWEL SIGN OE
𑩗	ै	SOYOMBO VOWEL SIGN AI
𑩘	ौ	SOYOMBO VOWEL SIGN AU
𑩙	ृ	SOYOMBO VOWEL SIGN VOCALIC R
𑩚	ॢ	SOYOMBO VOWEL SIGN VOCALIC L
𑩜	क	SOYOMBO LETTER KA
𑩝	ख	SOYOMBO LETTER KHA
𑩞	ग	SOYOMBO LETTER GA
𑩟	घ	SOYOMBO LETTER GHA
𑩠	ङ	SOYOMBO LETTER NGA
𑩡	च	SOYOMBO LETTER CA
𑩢	छ	SOYOMBO LETTER CHA
𑩣	ज	SOYOMBO LETTER JA
𑩤	झ	SOYOMBO LETTER JHA
𑩥	ञ	SOYOMBO LETTER NYA
𑩦	ट	SOYOMBO LETTER TTA
𑩧	ठ	SOYOMBO LETTER TTHA
𑩨	ड	SOYOMBO LETTER DDA
𑩩	ढ	SOYOMBO LETTER DDHA
𑩪	ण	SOYOMBO LETTER NNA
𑩫	त	SOYOMBO LETTER TA
𑩬	थ	SOYOMBO LETTER THA
𑩭	द	SOYOMBO LETTER DA
𑩮	ध	SOYOMBO LETTER DHA
𑩯	न	SOYOMBO LETTER NA
𑩰	प	SOYOMBO LETTER PA
𑩱	फ	SOYOMBO LETTER PHA
𑩲	ब	SOYOMBO LETTER BA
𑩳	भ	SOYOMBO LETTER BHA
𑩴	म	SOYOMBO LETTER MA
𑩸	ॹ	SOYOMBO LETTER ZHA
𑩹	ज़	SOYOMBO LETTER ZA
𑩻	य	SOYOMBO LETTER YA
𑩼	र	SOYOMBO LETTER RA
𑩽	ल	SOYOMBO LETTER LA
𑩾	व	SOYOMBO LETTER VA
𑩿	श	SOYOMBO LETTER SHA
𑪀	ष	SOYOMBO LETTER SSA
𑪁	स	SOYOMBO LETTER SA
𑪂	ह	SOYOMBO LETTER HA
𑪖	ं	SOYOMBO SIGN ANUSVARA
𑪗	ः	SOYOMBO SIGN VISARGA
