# TAGBANWA -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᝠ	अ	TAGBANWA LETTER A
ᝡ	इ	TAGBANWA LETTER I
ᝢ	उ	TAGBANWA LETTER U
ᝣ	क	TAGBANWA LETTER KA
ᝤ	ग	TAGBANWA LETTER GA
ᝥ	ङ	TAGBANWA LETTER NGA
ᝦ	त	TAGBANWA LETTER TA
ᝧ	द	TAGBANWA LETTER DA
ᝨ	न	TAGBANWA LETTER NA
ᝩ	प	TAGBANWA LETTER PA
ᝪ	ब	TAGBANWA LETTER BA
ᝫ	म	TAGBANWA LETTER MA
ᝬ	य	TAGBANWA LETTER YA
ᝮ	ल	TAGBANWA LETTER LA
ᝰ	स	TAGBANWA LETTER SA
ᝲ	ि	TAGBANWA VOWEL SIGN I
ᝳ	ु	TAGBANWA VOWEL SIGN U
