# TAI THAM -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᨦ	ङ	TAI THAM LETTER NGA
ᨬ	ञ	TAI THAM LETTER NYA
ᨯ	द	TAI THAM LETTER DA
ᨶ	न	TAI THAM LETTER NA
ᨷ	ब	TAI THAM LETTER BA
ᨾ	म	TAI THAM LETTER MA
ᩁ	र	TAI THAM LETTER RA
ᩃ	ल	TAI THAM LETTER LA
ᩊ	ळ	TAI THAM LETTER LLA
ᩋ	अ	TAI THAM LETTER A
ᩍ	इ	TAI THAM LETTER I
ᩎ	ई	TAI THAM LETTER II
ᩏ	उ	TAI THAM LETTER U
ᩐ	ऊ	TAI THAM LETTER UU
ᩣ	ा	TAI THAM VOWEL SIGN AA
ᩥ	ि	TAI THAM VOWEL SIGN I
ᩦ	ी	TAI THAM VOWEL SIGN II
ᩧ	ॖ	TAI THAM VOWEL SIGN UE
ᩨ	ॗ	TAI THAM VOWEL SIGN UUE
ᩩ	ु	TAI THAM VOWEL SIGN U
ᩪ	ू	TAI THAM VOWEL SIGN UU
ᩫ	ो	TAI THAM VOWEL SIGN O
ᩮ	े	TAI THAM VOWEL SIGN E
ᩱ	ै	TAI THAM VOWEL SIGN AI
