# TAKRI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑚀	अ	TAKRI LETTER A
𑚁	आ	TAKRI LETTER AA
𑚂	इ	TAKRI LETTER I
𑚃	ई	TAKRI LETTER II
𑚄	उ	TAKRI LETTER U
𑚅	ऊ	TAKRI LETTER UU
𑚆	ए	TAKRI LETTER E
𑚇	ऐ	TAKRI LETTER AI
𑚈	ओ	TAKRI LETTER O
𑚉	औ	TAKRI LETTER AU
𑚊	क	TAKRI LETTER KA
𑚋	ख	TAKRI LETTER KHA
𑚌	ग	TAKRI LETTER GA
𑚍	घ	TAKRI LETTER GHA
𑚎	ङ	TAKRI LETTER NGA
𑚏	च	TAKRI LETTER CA
𑚐	छ	TAKRI LETTER CHA
𑚑	ज	TAKRI LETTER JA
𑚒	झ	TAKRI LETTER JHA
𑚓	ञ	TAKRI LETTER NYA
𑚔	ट	TAKRI LETTER TTA
𑚕	ठ	TAKRI LETTER TTHA
𑚖	ड	TAKRI LETTER DDA
𑚗	ढ	TAKRI LETTER DDHA
𑚘	ण	TAKRI LETTER NNA
𑚙	त	TAKRI LETTER TA
𑚚	थ	TAKRI LETTER THA
𑚛	द	TAKRI LETTER DA
𑚜	ध	TAKRI LETTER DHA
𑚝	न	TAKRI LETTER NA
𑚞	प	TAKRI LETTER PA
𑚟	फ	TAKRI LETTER PHA
𑚠	ब	TAKRI LETTER BA
𑚡	भ	TAKRI LETTER BHA
𑚢	म	TAKRI LETTER MA
𑚣	य	TAKRI LETTER YA
𑚤	र	TAKRI LETTER RA
𑚥	ल	TAKRI LETTER LA
𑚦	व	TAKRI LETTER VA
𑚧	श	TAKRI LETTER SHA
𑚨	स	TAKRI LETTER SA
𑚩	ह	TAKRI LETTER HA
𑚪	ऱ	TAKRI LETTER RRA
𑚫	ं	TAKRI SIGN ANUSVARA
𑚬	ः	TAKRI SIGN VISARGA
𑚭	ा	TAKRI VOWEL SIGN AA
𑚮	ि	TAKRI VOWEL SIGN I
𑚯	ी	TAKRI VOWEL SIGN II
𑚰	ु	TAKRI VOWEL SIGN U
𑚱	ू	TAKRI VOWEL SIGN UU
𑚲	े	TAKRI VOWEL SIGN E
𑚳	ै	TAKRI VOWEL SIGN AI
𑚴	ो	TAKRI VOWEL SIGN O
𑚵	ौ	TAKRI VOWEL SIGN AU
𑚶	्	TAKRI SIGN VIRAMA
𑚷	़	TAKRI SIGN NUKTA
𑛀	०	TAKRI DIGIT ZERO
𑛁	१	TAKRI DIGIT ONE
𑛂	२	TAKRI DIGIT TWO
𑛃	३	TAKRI DIGIT THREE
𑛄	४	TAKRI DIGIT FOUR
𑛅	५	TAKRI DIGIT FIVE
𑛆	६	TAKRI DIGIT SIX
𑛇	७	TAKRI DIGIT SEVEN
𑛈	८	TAKRI DIGIT EIGHT
𑛉	९	TAKRI DIGIT NINE
