# TIBETAN -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
༠	०	TIBETAN DIGIT ZERO
༡	१	TIBETAN DIGIT ONE
༢	२	TIBETAN DIGIT TWO
༣	३	TIBETAN DIGIT THREE
༤	४	TIBETAN DIGIT FOUR
༥	५	TIBETAN DIGIT FIVE
༦	६	TIBETAN DIGIT SIX
༧	७	TIBETAN DIGIT SEVEN
༨	८	TIBETAN DIGIT EIGHT
༩	९	TIBETAN DIGIT NINE
ཀ	क	TIBETAN LETTER KA
ཁ	ख	TIBETAN LETTER KHA
ག	ग	TIBETAN LETTER GA
གྷ	घ	TIBETAN LETTER GHA
ང	ङ	TIBETAN LETTER NGA
ཅ	च	TIBETAN LETTER CA
ཆ	छ	TIBETAN LETTER CHA
ཇ	ज	TIBETAN LETTER JA
ཉ	ञ	TIBETAN LETTER NYA
ཊ	ट	TIBETAN LETTER TTA
ཋ	ठ	TIBETAN LETTER TTHA
ཌ	ड	TIBETAN LETTER DDA
ཌྷ	ढ	TIBETAN LETTER DDHA
ཎ	ण	TIBETAN LETTER NNA
ཏ	त	TIBETAN LETTER TA
ཐ	थ	TIBETAN LETTER THA
ད	द	TIBETAN LETTER DA
དྷ	ध	TIBETAN LETTER DHA
ན	न	TIBETAN LETTER NA
པ	प	TIBETAN LETTER PA
ཕ	फ	TIBETAN LETTER PHA
བ	ब	TIBETAN LETTER BA
བྷ	भ	TIBETAN LETTER BHA
མ	म	TIBETAN LETTER MA
ཞ	ॹ	TIBETAN LETTER ZHA
ཟ	ज़	TIBETAN LETTER ZA
ཡ	य	TIBETAN LETTER YA
ར	र	TIBETAN LETTER RA
ལ	ल	TIBETAN LETTER LA
ཤ	श	TIBETAN LETTER SHA
ཥ	ष	TIBETAN LETTER SSA
ས	स	TIBETAN LETTER SA
ཧ	ह	TIBETAN LETTER HA
ཨ	अ	TIBETAN LETTER A
ཬ	ऱ	TIBETAN LETTER RRA
ཱ	ा	TIBETAN VOWEL SIGN AA
ི	ि	TIBETAN VOWEL SIGN I
ཱི	ी	TIBETAN VOWEL SIGN II
ུ	ु	TIBETAN VOWEL SIGN U
ཱུ	ू	TIBETAN VOWEL SIGN UU
ྲྀ	ृ	TIBETAN VOWEL SIGN VOCALIC R
ཷ	ॄ	TIBETAN VOWEL SIGN VOCALIC RR
ླྀ	ॢ	TIBETAN VOWEL SIGN VOCALIC L
ཹ	ॣ	TIBETAN VOWEL SIGN VOCALIC LL
ེ	े	TIBETAN VOWEL SIGN E
ོ	ो	TIBETAN VOWEL SIGN O
