# TIRHUTA -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑒁	अ	TIRHUTA LETTER A
𑒂	आ	TIRHUTA LETTER AA
𑒃	इ	TIRHUTA LETTER I
𑒄	ई	TIRHUTA LETTER II
𑒅	उ	TIRHUTA LETTER U
𑒆	ऊ	TIRHUTA LETTER UU
𑒇	ऋ	TIRHUTA LETTER VOCALIC R
𑒈	ॠ	TIRHUTA LETTER VOCALIC RR
𑒉	ऌ	TIRHUTA LETTER VOCALIC L
𑒊	ॡ	TIRHUTA LETTER VOCALIC LL
𑒋	ए	TIRHUTA LETTER E
𑒌	ऐ	TIRHUTA LETTER AI
𑒍	ओ	TIRHUTA LETTER O
𑒎	औ	TIRHUTA LETTER AU
𑒏	क	TIRHUTA LETTER KA
𑒐	ख	TIRHUTA LETTER KHA
𑒑	ग	TIRHUTA LETTER GA
𑒒	घ	TIRHUTA LETTER GHA
𑒓	ङ	TIRHUTA LETTER NGA
𑒔	च	TIRHUTA LETTER CA
𑒕	छ	TIRHUTA LETTER CHA
𑒖	ज	TIRHUTA LETTER JA
𑒗	झ	TIRHUTA LETTER JHA
𑒘	ञ	TIRHUTA LETTER NYA
𑒙	ट	TIRHUTA LETTER TTA
𑒚	ठ	TIRHUTA LETTER TTHA
𑒛	ड	TIRHUTA LETTER DDA
𑒜	ढ	TIRHUTA LETTER DDHA
𑒝	ण	TIRHUTA LETTER NNA
𑒞	त	TIRHUTA LETTER TA
𑒟	थ	TIRHUTA LETTER THA
𑒠	द	TIRHUTA LETTER DA
𑒡	ध	TIRHUTA LETTER DHA
𑒢	न	TIRHUTA LETTER NA
𑒣	प	TIRHUTA LETTER PA
𑒤	फ	TIRHUTA LETTER PHA
𑒥	ब	TIRHUTA LETTER BA
𑒦	भ	TIRHUTA LETTER BHA
𑒧	म	TIRHUTA LETTER MA
𑒨	य	TIRHUTA LETTER YA
𑒩	र	TIRHUTA LETTER RA
𑒪	ल	TIRHUTA LETTER LA
𑒫	व	TIRHUTA LETTER VA
𑒬	श	TIRHUTA LETTER SHA
𑒭	ष	TIRHUTA LETTER SSA
𑒮	स	TIRHUTA LETTER SA
𑒯	ह	TIRHUTA LETTER HA
𑒰	ा	TIRHUTA VOWEL SIGN AA
𑒱	ि	TIRHUTA VOWEL SIGN I
𑒲	ी	TIRHUTA VOWEL SIGN II
𑒳	ु	TIRHUTA VOWEL SIGN U
𑒴	ू	TIRHUTA VOWEL SIGN UU
𑒵	ृ	TIRHUTA VOWEL SIGN VOCALIC R
𑒶	ॄ	TIRHUTA VOWEL SIGN VOCALIC RR
𑒷	ॢ	TIRHUTA VOWEL SIGN VOCALIC L
𑒸	ॣ	TIRHUTA VOWEL SIGN VOCALIC LL
𑒹	े	TIRHUTA VOWEL SIGN E
𑒺	ॆ	TIRHUTA VOWEL SIGN SHORT E
𑒻	ै	TIRHUTA VOWEL SIGN AI
𑒼	ो	TIRHUTA VOWEL SIGN O
𑒽	ॊ	TIRHUTA VOWEL SIGN SHORT O
𑒾	ौ	TIRHUTA VOWEL SIGN AU
𑒿	ँ	TIRHUTA SIGN CANDRABINDU
𑓀	ं	TIRHUTA SIGN ANUSVARA
𑓁	ः	TIRHUTA SIGN VISARGA
𑓂	्	TIRHUTA SIGN VIRAMA
𑓃	़	TIRHUTA SIGN NUKTA
𑓄	ऽ	TIRHUTA SIGN AVAGRAHA
𑓆	॰	TIRHUTA ABBREVIATION SIGN
𑓇	ॐ	TIRHUTA OM
𑓐	०	TIRHUTA DIGIT ZERO
𑓑	१	TIRHUTA DIGIT ONE
𑓒	२	TIRHUTA DIGIT TWO
𑓓	३	TIRHUTA DIGIT THREE
𑓔	४	TIRHUTA DIGIT FOUR
𑓕	५	TIRHUTA DIGIT FIVE
𑓖	६	TIRHUTA DIGIT SIX
𑓗	७	TIRHUTA DIGIT SEVEN
𑓘	८	TIRHUTA DIGIT EIGHT
𑓙	९	TIRHUTA DIGIT NINE
