# ZANABAZAR SQUARE -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑨀	अ	ZANABAZAR SQUARE LETTER A
𑨁	ि	ZANABAZAR SQUARE VOWEL SIGN I
𑨂	ॖ	ZANABAZAR SQUARE VOWEL SIGN UE
𑨃	ु	ZANABAZAR SQUARE VOWEL SIGN U
𑨄	े	ZANABAZAR SQUARE VOWEL SIGN E
𑨅	ऺ	ZANABAZAR SQUARE VOWEL SIGN OE
𑨆	ो	ZANABAZAR SQUARE VOWEL SIGN O
𑨇	ै	ZANABAZAR SQUARE VOWEL SIGN AI
𑨈	ौ	ZANABAZAR SQUARE VOWEL SIGN AU
𑨋	क	ZANABAZAR SQUARE LETTER KA
𑨌	ख	ZANABAZAR SQUARE LETTER KHA
𑨍	ग	ZANABAZAR SQUARE LETTER GA
𑨎	घ	ZANABAZAR SQUARE LETTER GHA
𑨏	ङ	ZANABAZAR SQUARE LETTER NGA
𑨐	च	ZANABAZAR SQUARE LETTER CA
𑨑	छ	ZANABAZAR SQUARE LETTER CHA
𑨒	ज	ZANABAZAR SQUARE LETTER JA
𑨓	ञ	ZANABAZAR SQUARE LETTER NYA
𑨔	ट	ZANABAZAR SQUARE LETTER TTA
𑨕	ठ	ZANABAZAR SQUARE LETTER TTHA
𑨖	ड	ZANABAZAR SQUARE LETTER DDA
𑨗	ढ	ZANABAZAR SQUARE LETTER DDHA
𑨘	ण	ZANABAZAR SQUARE LETTER NNA
𑨙	त	ZANABAZAR SQUARE LETTER TA
𑨚	थ	ZANABAZAR SQUARE LETTER THA
𑨛	द	ZANABAZAR SQUARE LETTER DA
𑨜	ध	ZANABAZAR SQUARE LETTER DHA
𑨝	न	ZANABAZAR SQUARE LETTER NA
𑨞	प	ZANABAZAR SQUARE LETTER PA
𑨟	फ	ZANABAZAR SQUARE LETTER PHA
𑨠	ब	ZANABAZAR SQUARE LETTER BA
𑨡	भ	ZANABAZAR SQUARE LETTER BHA
𑨢	म	ZANABAZAR SQUARE LETTER MA
𑨧	ॹ	ZANABAZAR SQUARE LETTER ZHA
𑨨	ज़	ZANABAZAR SQUARE LETTER ZA
𑨪	य	ZANABAZAR SQUARE LETTER YA
𑨫	र	ZANABAZAR SQUARE LETTER RA
𑨬	ल	ZANABAZAR SQUARE LETTER LA
𑨭	व	ZANABAZAR SQUARE LETTER VA
𑨮	श	ZANABAZAR SQUARE LETTER SHA
𑨯	ष	ZANABAZAR SQUARE LETTER SSA
𑨰	स	ZANABAZAR SQUARE LETTER SA
𑨱	ह	ZANABAZAR SQUARE LETTER HA
𑨴	्	ZANABAZAR SQUARE SIGN VIRAMA
𑨵	ँ	ZANABAZAR SQUARE SIGN CANDRABINDU
𑨸	ं	ZANABAZAR SQUARE SIGN ANUSVARA
𑨹	ः	ZANABAZAR SQUARE SIGN VISARGA
