# Vesoha Hindi · frontend c · Devanagari | (C) 1993-2026 Abhishek Choudhary GPL-3.0-or-later
# C kernel rows from retrieved/hindi_c.tsv. Other rows: Vesoha pack, not retrieved/.
native	romenagri	host
यदि	yadi	if
अन्यथा	anyathaa	else
जबतक	jabataka	while
करो	karau	do
हेतु	heetu	for
विराम	viraama	break
जारी	jaarii	continue
चयन	cayana	switch
जब	jaba	case
मूल	muula	default
लौटाओ	lautaaau	return
अचर	acara	const
पूर्णांक	puur_naa_nka	int
दशमलव	dashamalava	float
द्विगुण	dviguu_na	double
अक्षर	ak_sara	char
कृत्य	kr_tya	void
वर्ग	varga	class
नवीन	naviina	new
सार्वजनिक	saarvajanika	public
निजी	nijii	private
स्थिर	sthira	static
आभासी	aabhaasii	virtual
संरचना	sa_nracanaa	struct
सम्मिलित	sammilita	include
पढ़ो	pa_dau	scanf
लिखो	likhau	printf
आकार	akaara	sizeof
रूपनाम	ruupanaama	typedef
