# Gujarati C/C++ keywords (real translations) | script Gujarati | (C) 1993-2026 Abhishek Choudhary GPL
native	romenagri	c
જો	jau	if
નહીંતર	nahii_ntara	else
જ્યાંસુધી	jyaa_nsudhii	while
કરો	karau	do
માટે	maatee	for
તોડો	taudau	break
ચાલુ	caalu	continue
પસંદગી	pasa_ndagii	switch
સ્થિતિ	sthiti	case
મૂળભૂત	muulabhuuta	default
પાછા	paachaa	return
અચલ	acala	const
પૂર્ણાંક	puur_naa_nka	int
દશાંશ	dashaa_nsha	float
દ્વિગુણ	dvigu_na	double
અક્ષર	ak_sara	char
શૂન્ય	shuunya	void
વિધેય	vidheeya	void
વર્ગ	varga	class
નવું	navu_n	new
જાહેર	jaaheera	public
ખાનગી	khaanagii	private
સ્થિર	sthira	static
આભાસી	aabhaasii	virtual
જ્યારે	jyaaree	case
સંરચના	sa_nracanaa	struct
