# language_name: Arabic
# code: arabic
# iso639: ara
# script: Arabic
# speakers: 400 million
construct_id,native_keyword,romenagri,note
KW_IF,إذا,izaa,if
KW_ELSE,وإلا,vaillaa,else
KW_ELIF,وإلاإذا,vaillaaizaa,elif
KW_WHILE,طالما,taalamaa,while
KW_DO,افعل,ifaela,do
KW_FOR,لكل,likulli,for
KW_BREAK,اكسر,iksira,break
KW_CONTINUE,استمر,istamirra,continue
KW_SWITCH,بدل,baddila,switch
KW_CASE,حالة,haalah,case
KW_DEFAULT,افتراضي,iftiraadii,default
KW_RETURN,أرجع,arjie,return
KW_GOTO,اذهب,izhaba,goto
KW_VAR,متغير,mutaghayyira,var
KW_CONST,ثابت,saabita,const
KW_LET,ليكن,liyakun,let
KW_INT,صحيح,sahiiha,int
KW_FLOAT,عائم,aaima,float
KW_DOUBLE,مزدوج,muzdavija,double
KW_CHAR,حرف,harfa,char
KW_BOOL,منطقي,mantiqii,bool
KW_STRING,نص,nassa,string
KW_VOID,فراغ,faraagha,void
KW_TRUE,صحيح,sahiiha,true
KW_FALSE,خطأ,khataa,false
KW_NULL,عدم,adama,null
KW_FUNC,دالة,daalah,function
KW_PROC,إجراء,ijraaa,procedure
KW_CALL,نادي,naadii,call
KW_PARAM,معامل,muaamila,param
KW_LAMBDA,مجهول,majhuula,lambda
KW_YIELD,أنتج,antija,yield
KW_AWAIT,انتظر,intazira,await
KW_ASYNC,غيرمتزامن,ghaerumutazaamina,async
KW_CLASS,صنف,sanfa,class
KW_OBJECT,كائن,kaaina,object
KW_INTERFACE,واجهة,vaajihah,interface
KW_EXTENDS,يمتد,yamtaddu,extends
KW_IMPLEMENTS,ينفذ,yunaffizu,implements
KW_NEW,جديد,jadiida,new
KW_THIS,هذا,haazaa,this
KW_SUPER,أعلى,aelaa,super
KW_PUBLIC,عام,aamma,public
KW_PRIVATE,خاص,khaassa,private
KW_PROTECTED,محمي,mahmii,protected
KW_STATIC,ساكن,saakina,static
KW_ABSTRACT,مجرد,mujarrada,abstract
KW_VIRTUAL,افتراضي,iftiraadii,virtual
KW_OVERRIDE,تجاوز,tajaavaza,override
KW_MATCH,طابق,taabiqa,match
KW_WHEN,عندما,indamaa,when
KW_FUN,اقتران,iqtiraana,fun
KW_REC,تكراري,takraarii,rec
KW_IN,في,fii,in
KW_WHERE,حيث,haysu,where
KW_DATA,بيانات,bayaanaata,data
KW_TYPE,نوع,nava,type
KW_MODULE,وحدة,vihdah,module
KW_RULE,قاعدة,qaaidah,rule
KW_FACT,حقيقة,haqiiqah,fact
KW_QUERY,استعلام,istielaama,query
KW_NOT,ليس,laysa,not
KW_AND,و,va,and
KW_OR,أو,av,or
KW_THREAD,خيط,khayta,thread
KW_SPAWN,أنشئ,anshia,spawn
KW_LOCK,قفل,qufla,lock
KW_SYNC,متزامن,mutazaamina,synchronized
KW_CHANNEL,قناة,qanaah,channel
KW_SELECT,اختر,ikhtara,select
KW_PTR,مؤشر,muashshira,pointer
KW_REF,مرجع,marjie,ref
KW_ALLOC,خصص,khassisa,alloc
KW_FREE,حرر,harrira,free
KW_SIZEOF,حجم,hajma,sizeof
KW_STRUCT,بنية,binyah,struct
KW_UNION,اتحاد,ittihaada,union
KW_ENUM,تعداد,taedaada,enum
KW_TYPEDEF,تعريفنوع,taeriifanava,typedef
KW_VOLATILE,متطاير,mutataayira,volatile
KW_REGISTER,سجل,sajjila,register
KW_EXTERN,خارجي,khaarijii,extern
KW_INLINE,مضمن,mudammana,inline
KW_ENTITY,كيان,kayaana,entity
KW_ARCH,معمارية,maemaariyah,architecture
KW_SIGNAL,إشارة,ishaarah,signal
KW_PORT,منفذ,manfaza,port
KW_WIRE,سلك,silka,wire
KW_REG,مسجل,musajjila,reg
KW_MODULE_HW,قطعة,qitaah,module
