# language_name: Persian
# code: persian
# iso639: fas
# script: Perso-Arabic
# speakers: 130 million
construct_id,native_keyword,romenagri,note
KW_IF,اگر,agar,if
KW_ELSE,وگرنه,vagarnah,else
KW_ELIF,وگرنهاگر,vagarnahagar,elif
KW_WHILE,تازمانیکه,taazamaaniikah,while
KW_DO,انجامبده,anjaamabdah,do
KW_FOR,برای,baraaya,for
KW_BREAK,بشکن,bishkan,break
KW_CONTINUE,ادامه,adaamah,continue
KW_SWITCH,انتخاب,intikhaaba,switch
KW_CASE,حالت,haalata,case
KW_DEFAULT,پیشفرض,piishfarza,default
KW_RETURN,بازگرد,baazgard,return
KW_GOTO,برو,birav,goto
KW_VAR,متغیر,mutaghayyira,var
KW_CONST,ثابت,saabita,const
KW_LET,بگذار,bigzaar,let
KW_INT,صحیح,sahiiha,int
KW_FLOAT,اعشاری,aeshaarii,float
KW_DOUBLE,دوگانه,daugaanah,double
KW_CHAR,نویسه,naviisah,char
KW_BOOL,منطقی,mantiqii,bool
KW_STRING,رشته,rishtah,string
KW_VOID,تهی,tahii,void
KW_TRUE,درست,durusta,true
KW_FALSE,نادرست,naadurusta,false
KW_NULL,پوچ,puuca,null
KW_FUNC,تابع,taabe,function
KW_PROC,رویه,raviyah,procedure
KW_CALL,فراخوان,faraakhvaan,call
KW_PARAM,پارامتر,paaraamtara,param
KW_LAMBDA,بینام,biinaama,lambda
KW_YIELD,بده,bidah,yield
KW_AWAIT,منتظر,muntazira,await
KW_ASYNC,ناهمزمان,naahamzamaana,async
KW_CLASS,رده,radah,class
KW_OBJECT,شیء,shaya,object
KW_INTERFACE,واسط,vaasita,interface
KW_EXTENDS,گسترش,gustarisha,extends
KW_IMPLEMENTS,پیادهسازی,piyaadahsaazii,implements
KW_NEW,جدید,jadiida,new
KW_THIS,این,iin,this
KW_SUPER,ابر,abara,super
KW_PUBLIC,عمومی,umuumii,public
KW_PRIVATE,خصوصی,khusuusii,private
KW_PROTECTED,محافظتشده,muhaafazatshudah,protected
KW_STATIC,ایستا,iistaa,static
KW_ABSTRACT,انتزاعی,intizaaii,abstract
KW_VIRTUAL,مجازی,majaazii,virtual
KW_OVERRIDE,بازنویسی,baaznaviisii,override
KW_MATCH,تطبیق,tatbiiqa,match
KW_WHEN,هنگامیکه,hanagaamiikah,when
KW_FUN,کنش,kunisha,fun
KW_REC,بازگشتی,baazgashtii,rec
KW_IN,در,dar,in
KW_WHERE,کجا,kujaa,where
KW_DATA,داده,daadah,data
KW_TYPE,نوع,nava,type
KW_MODULE,پیمانه,paymaanah,module
KW_RULE,قاعده,qaaidah,rule
KW_FACT,واقعیت,vaaqiiyata,fact
KW_QUERY,پرسوجو,parsavajuu,query
KW_NOT,نه,nah,not
KW_AND,و,va,and
KW_OR,یا,yaa,or
KW_THREAD,نخ,nakha,thread
KW_SPAWN,پدیدآور,padiidaavar,spawn
KW_LOCK,قفل,qufla,lock
KW_SYNC,همگام,hamgaama,synchronized
KW_CHANNEL,کانال,kaanaala,channel
KW_SELECT,انتخابکن,intikhaabkun,select
KW_PTR,اشارهگر,ishaarahgara,pointer
KW_REF,ارجاع,irjaae,ref
KW_ALLOC,تخصیص,takhsiisa,alloc
KW_FREE,آزاد,aazaada,free
KW_SIZEOF,اندازه,andaazah,sizeof
KW_STRUCT,ساختار,saakhtaara,struct
KW_UNION,اجتماع,ijtimaae,union
KW_ENUM,شمارش,shumaarisha,enum
KW_TYPEDEF,تعریفنوع,taeriifnava,typedef
KW_VOLATILE,فرار,faraara,volatile
KW_REGISTER,ثبات,sabaata,register
KW_EXTERN,بیرونی,biiruunii,extern
KW_INLINE,درونخطی,daruunkhattii,inline
KW_ENTITY,موجودیت,maujuudiyata,entity
KW_ARCH,معماری,maemaarii,architecture
KW_SIGNAL,سیگنال,siignaala,signal
KW_PORT,درگاه,dargaaha,port
KW_WIRE,سیم,siima,wire
KW_REG,ثبات,sabaata,reg
KW_MODULE_HW,قطعه,qitaah,module
KW_ALWAYS,همیشه,hamiishah,always
KW_ASSIGN,تخصیصده,takhsiisdah,assign
KW_BEGIN,آغاز,aaghaaza,begin
KW_END,پایان,paayaana,end
KW_TRY,تلاش,talaasha,try
KW_CATCH,بگیر,bigiir,catch
KW_FINALLY,سرانجام,saranjaama,finally
KW_THROW,پرتابکن,partaabkun,throw
KW_RAISE,بالاببر,baalaabbar,raise
KW_EXCEPT,استثنا,istisnaa,except
KW_IMPORT,واردکن,vaaridkun,import
KW_EXPORT,صادرکن,saadirkun,export
KW_PACKAGE,بسته,bastah,package
KW_NAMESPACE,فضاینام,fazaaynaama,namespace
KW_USE,استفاده,istifaadah,use
KW_INCLUDE,شامل,shaamila,include
KW_FROM,از,az,from
KW_AS,بهعنوان,bahunavaana,as
KW_KERNEL,نواة,navaah,borrowed<arabic
KW_DEVICE,جهاز,jahaaza,borrowed<arabic
KW_HOST,مضيف,mudiifa,borrowed<arabic
KW_GLOBAL,عام,aamma,borrowed<arabic
KW_SHARED,مشترك,mushtaraka,borrowed<arabic
KW_THREADIDX,معرفخيط,muarrifkhayta,borrowed<arabic
KW_BLOCKIDX,معرفكتلة,muarrifkutlah,borrowed<arabic
KW_GRID,شبكة,shabakah,borrowed<arabic
KW_BARRIER,حاجز,haajiza,borrowed<arabic
KW_ATOMIC,ذري,zarrii,borrowed<arabic
KW_WARP,التواء,iltivaaa,borrowed<arabic
KW_TENSOR,موتر,mautira,borrowed<arabic
KW_MATRIX,مصفوفة,masfuufah,borrowed<arabic
KW_VECTOR,متجه,muttajiha,borrowed<arabic
KW_GRAD,تدرج,tadarruja,borrowed<arabic
KW_BACKPROP,انتشارخلفي,intishaarakhalfii,borrowed<arabic
KW_FORWARD,أمامي,amaamii,borrowed<arabic
KW_LAYER,طبقة,tabaqah,borrowed<arabic
KW_MODEL,نموذج,namuuzaja,borrowed<arabic
KW_TRAIN,تدريب,tadriiba,borrowed<arabic
KW_INFER,استدلال,istidlaala,borrowed<arabic
KW_LOSS,خسارة,khasaarah,borrowed<arabic
KW_OPTIMIZE,تحسين,tahsiina,borrowed<arabic
KW_ACTIVATION,تنشيط,tanshiita,borrowed<arabic
KW_WEIGHT,وزن,vazna,borrowed<arabic
KW_BIAS,انحياز,inhiyaaza,borrowed<arabic
KW_EPOCH,حقبة,huqbah,borrowed<arabic
KW_BATCH,دفعة,dufaah,borrowed<arabic
KW_DATASET,مجموعةبيانات,majmuuabayaanaata,borrowed<arabic
KW_EMBED,تضمين,tadmiina,borrowed<arabic
KW_ATTENTION,انتباه,intibaaha,borrowed<arabic
KW_PIN,دبوس,dabuusa,borrowed<arabic
