# language_name: Urdu
# code: urdu
# iso639: urd
# script: Perso-Arabic (Nastaliq)
# speakers: 230 million
construct_id,native_keyword,romenagri,note
KW_IF,اگر,agara,if
KW_ELSE,ورنہ,varnah,else
KW_ELIF,وگرنہ_اگر,vagarnah_agara,elif
KW_WHILE,جبتک,jabataka,while
KW_DO,کرو,karau,do
KW_FOR,برائے,baraae,for
KW_BREAK,توڑو,taudau,break
KW_CONTINUE,جاری,jaarii,continue
KW_SWITCH,انتخاب,inatikhaaba,switch
KW_CASE,حالت,haalata,case
KW_DEFAULT,طےشدہ,taeshudah,default
KW_RETURN,واپس,vaapasa,return
KW_GOTO,جاؤ,jaao,goto
KW_VAR,متغیر,mutaghayyira,var
KW_CONST,ثابت,saabita,const
KW_LET,مانو,maanau,let
KW_INT,صحیح,sahiiha,int
KW_FLOAT,اعشاری,aeshaarii,float
KW_DOUBLE,دوہرا,dauharaa,double
KW_CHAR,حرف,harfa,char
KW_BOOL,منطقی,mantiqii,bool
KW_STRING,جملہ,jumlah,string
KW_VOID,خالی,khaalii,void
KW_TRUE,سچ,sacha,true
KW_FALSE,جھوٹ,jhauta,false
KW_NULL,تہی,tahii,null
KW_FUNC,تابع,taabe,function
KW_PROC,طریقہ,tariiqah,procedure
KW_CALL,بلاؤ,bulaao,call
KW_PARAM,سہولت,sahuulata,param
KW_LAMBDA,بےنام,benaama,lambda
KW_YIELD,دو,dau,yield
KW_AWAIT,انتظار,intizaara,await
KW_ASYNC,غیرہمزمان,ghaerahamazamaana,async
KW_CLASS,جماعت,jamaaata,class
KW_OBJECT,شے,shae,object
KW_INTERFACE,سطحرابطہ,satharaabitah,interface
KW_EXTENDS,توسیع,tausiia,extends
KW_IMPLEMENTS,نافذ,naafiza,implements
KW_NEW,نیا,nayaa,new
KW_THIS,یہ,yah,this
KW_SUPER,اعلیٰ,aelaa,super
KW_PUBLIC,عوامی,avaamii,public
KW_PRIVATE,نجی,nijii,private
KW_PROTECTED,محفوظ,mahafuuza,protected
KW_STATIC,ساکن,saakina,static
KW_ABSTRACT,تجریدی,tajriidii,abstract
KW_VIRTUAL,مجازی,majaazii,virtual
KW_OVERRIDE,بالادست,baalaadasta,override
KW_MATCH,میل,meela,match
KW_WHEN,جب,jaba,when
KW_FUN,فعل,fela,fun
KW_REC,تکراری,takaraarii,rec
KW_IN,میں,mei_n,in
KW_WHERE,جہاں,jahaa_n,where
KW_DATA,مواد,mavaada,data
KW_TYPE,قسم,qisma,type
KW_MODULE,حصہ,hissah,module
KW_RULE,قاعدہ,qaaedah,rule
KW_FACT,حقیقت,haqiiqata,fact
KW_QUERY,سوال,savaala,query
KW_NOT,نہیں,nahii_n,not
KW_AND,اور,aura,and
KW_OR,یا,yaa,or
KW_THREAD,دھاگہ,dhaagah,thread
KW_SPAWN,پیدا,paedaa,spawn
KW_LOCK,تالا,taalaa,lock
KW_SYNC,ہمآہنگ,hamaahanga,synchronized
KW_CHANNEL,ذریعہ,zariiah,channel
KW_SELECT,چنو,cunau,select
KW_PTR,اشارہ,ishaarah,pointer
KW_REF,حوالہ,havaalah,ref
KW_ALLOC,تخصیص,takhsiisa,alloc
KW_FREE,آزاد,aazaada,free
KW_SIZEOF,حجم,hajma,sizeof
KW_STRUCT,ساخت,saakhta,struct
KW_UNION,اتحاد,itihaada,union
KW_ENUM,شمار,shumaara,enum
KW_TYPEDEF,قسمتعریف,qismataeriifa,typedef
KW_VOLATILE,متلون,mutalavvina,volatile
KW_REGISTER,اندراج,inadraaja,register
KW_EXTERN,خارجی,khaarijii,extern
KW_INLINE,اندرونی,anadaruunii,inline
KW_ENTITY,وجود,vajuuda,entity
KW_ARCH,تعمیر,taemiira,architecture
KW_SIGNAL,اشارہ,ishaarah,signal
KW_PORT,بندرگاہ,bandaragaah,port
KW_WIRE,تار,taara,wire
KW_REG,رجسٹر,rajistara,reg
KW_MODULE_HW,پرزہ,parzah,module
KW_ALWAYS,ہمیشہ,hameeshah,always
KW_ASSIGN,تفویض,tafaviiza,assign
KW_BEGIN,آغاز,aaghaaza,begin
KW_END,اختتام,ikhatitaama,end
KW_TRY,کوشش,kaushisha,try
KW_CATCH,پکڑو,pakadau,catch
KW_FINALLY,آخرکار,aakhirakaara,finally
KW_THROW,پھینکو,phei_nkau,throw
KW_RAISE,اٹھاؤ,uthaao,raise
KW_EXCEPT,استثنا,istisnaa,except
KW_IMPORT,درآمد,daraamada,import
KW_EXPORT,برآمد,baraamada,export
KW_PACKAGE,بستہ,bastah,package
KW_NAMESPACE,نامخلا,naamakhalaa,namespace
KW_USE,استعمال,istaemaala,use
KW_INCLUDE,شامل,shaamila,include
KW_FROM,سے,see,from
KW_AS,بطور,bataura,as
KW_KERNEL,نواة,navaah,borrowed<arabic
KW_DEVICE,جهاز,jahaaza,borrowed<arabic
KW_HOST,مضيف,mudiifa,borrowed<arabic
KW_GLOBAL,عام,aamma,borrowed<arabic
KW_SHARED,مشترك,mushtaraka,borrowed<arabic
KW_THREADIDX,معرفخيط,muarrifkhayta,borrowed<arabic
KW_BLOCKIDX,معرفكتلة,muarrifkutlah,borrowed<arabic
KW_GRID,شبكة,shabakah,borrowed<arabic
KW_BARRIER,حاجز,haajiza,borrowed<arabic
KW_ATOMIC,ذري,zarrii,borrowed<arabic
KW_WARP,التواء,iltivaaa,borrowed<arabic
KW_TENSOR,موتر,mautira,borrowed<arabic
KW_MATRIX,مصفوفة,masfuufah,borrowed<arabic
KW_VECTOR,متجه,muttajiha,borrowed<arabic
KW_GRAD,تدرج,tadarruja,borrowed<arabic
KW_BACKPROP,انتشارخلفي,intishaarakhalfii,borrowed<arabic
KW_FORWARD,أمامي,amaamii,borrowed<arabic
KW_LAYER,طبقة,tabaqah,borrowed<arabic
KW_MODEL,نموذج,namuuzaja,borrowed<arabic
KW_TRAIN,تدريب,tadriiba,borrowed<arabic
KW_INFER,استدلال,istidlaala,borrowed<arabic
KW_LOSS,خسارة,khasaarah,borrowed<arabic
KW_OPTIMIZE,تحسين,tahsiina,borrowed<arabic
KW_ACTIVATION,تنشيط,tanshiita,borrowed<arabic
KW_WEIGHT,وزن,vazna,borrowed<arabic
KW_BIAS,انحياز,inhiyaaza,borrowed<arabic
KW_EPOCH,حقبة,huqbah,borrowed<arabic
KW_BATCH,دفعة,dufaah,borrowed<arabic
KW_DATASET,مجموعةبيانات,majmuuabayaanaata,borrowed<arabic
KW_EMBED,تضمين,tadmiina,borrowed<arabic
KW_ATTENTION,انتباه,intibaaha,borrowed<arabic
KW_PIN,دبوس,dabuusa,borrowed<arabic
KW_READ,اقرأ,iqraa,borrowed<arabic
KW_WRITE,اكتب,uktuba,borrowed<arabic
KW_ANALOG,تماثلي,tamaasulii,borrowed<arabic
KW_DIGITAL,رقمي,raqamii,borrowed<arabic
KW_PWM,تعديلعرض,taediilaarda,borrowed<arabic
KW_INTERRUPT,مقاطعة,muqaataah,borrowed<arabic
KW_TIMER,مؤقت,muaqqita,borrowed<arabic
KW_SENSOR,مستشعر,mustashaira,borrowed<arabic
KW_ACTUATOR,مشغل,mushaghghila,borrowed<arabic
KW_BUS,ناقل,naaqila,borrowed<arabic
KW_PROTOCOL,بروتوكول,bruutuukuula,borrowed<arabic
KW_SLEEP,نوم,nauma,borrowed<arabic
KW_WAKE,استيقظ,istayqiza,borrowed<arabic
