# BATAK -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᯀ	अ	BATAK LETTER A
ᯂ	ह	BATAK LETTER HA
ᯅ	ब	BATAK LETTER BA
ᯇ	प	BATAK LETTER PA
ᯉ	न	BATAK LETTER NA
ᯎ	ग	BATAK LETTER GA
ᯐ	ज	BATAK LETTER JA
ᯑ	द	BATAK LETTER DA
ᯒ	र	BATAK LETTER RA
ᯔ	म	BATAK LETTER MA
ᯘ	स	BATAK LETTER SA
ᯛ	य	BATAK LETTER YA
ᯝ	ङ	BATAK LETTER NGA
ᯞ	ल	BATAK LETTER LA
ᯠ	ञ	BATAK LETTER NYA
ᯡ	च	BATAK LETTER CA
ᯤ	इ	BATAK LETTER I
ᯥ	उ	BATAK LETTER U
ᯧ	े	BATAK VOWEL SIGN E
ᯪ	ि	BATAK VOWEL SIGN I
ᯬ	ो	BATAK VOWEL SIGN O
ᯮ	ु	BATAK VOWEL SIGN U
