# BHAIKSUKI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑰀	अ	BHAIKSUKI LETTER A
𑰁	आ	BHAIKSUKI LETTER AA
𑰂	इ	BHAIKSUKI LETTER I
𑰃	ई	BHAIKSUKI LETTER II
𑰄	उ	BHAIKSUKI LETTER U
𑰅	ऊ	BHAIKSUKI LETTER UU
𑰆	ऋ	BHAIKSUKI LETTER VOCALIC R
𑰇	ॠ	BHAIKSUKI LETTER VOCALIC RR
𑰈	ऌ	BHAIKSUKI LETTER VOCALIC L
𑰊	ए	BHAIKSUKI LETTER E
𑰋	ऐ	BHAIKSUKI LETTER AI
𑰌	ओ	BHAIKSUKI LETTER O
𑰍	औ	BHAIKSUKI LETTER AU
𑰎	क	BHAIKSUKI LETTER KA
𑰏	ख	BHAIKSUKI LETTER KHA
𑰐	ग	BHAIKSUKI LETTER GA
𑰑	घ	BHAIKSUKI LETTER GHA
𑰒	ङ	BHAIKSUKI LETTER NGA
𑰓	च	BHAIKSUKI LETTER CA
𑰔	छ	BHAIKSUKI LETTER CHA
𑰕	ज	BHAIKSUKI LETTER JA
𑰖	झ	BHAIKSUKI LETTER JHA
𑰗	ञ	BHAIKSUKI LETTER NYA
𑰘	ट	BHAIKSUKI LETTER TTA
𑰙	ठ	BHAIKSUKI LETTER TTHA
𑰚	ड	BHAIKSUKI LETTER DDA
𑰛	ढ	BHAIKSUKI LETTER DDHA
𑰜	ण	BHAIKSUKI LETTER NNA
𑰝	त	BHAIKSUKI LETTER TA
𑰞	थ	BHAIKSUKI LETTER THA
𑰟	द	BHAIKSUKI LETTER DA
𑰠	ध	BHAIKSUKI LETTER DHA
𑰡	न	BHAIKSUKI LETTER NA
𑰢	प	BHAIKSUKI LETTER PA
𑰣	फ	BHAIKSUKI LETTER PHA
𑰤	ब	BHAIKSUKI LETTER BA
𑰥	भ	BHAIKSUKI LETTER BHA
𑰦	म	BHAIKSUKI LETTER MA
𑰧	य	BHAIKSUKI LETTER YA
𑰨	र	BHAIKSUKI LETTER RA
𑰩	ल	BHAIKSUKI LETTER LA
𑰪	व	BHAIKSUKI LETTER VA
𑰫	श	BHAIKSUKI LETTER SHA
𑰬	ष	BHAIKSUKI LETTER SSA
𑰭	स	BHAIKSUKI LETTER SA
𑰮	ह	BHAIKSUKI LETTER HA
𑰯	ा	BHAIKSUKI VOWEL SIGN AA
𑰰	ि	BHAIKSUKI VOWEL SIGN I
𑰱	ी	BHAIKSUKI VOWEL SIGN II
𑰲	ु	BHAIKSUKI VOWEL SIGN U
𑰳	ू	BHAIKSUKI VOWEL SIGN UU
𑰴	ृ	BHAIKSUKI VOWEL SIGN VOCALIC R
𑰵	ॄ	BHAIKSUKI VOWEL SIGN VOCALIC RR
𑰶	ॢ	BHAIKSUKI VOWEL SIGN VOCALIC L
𑰸	े	BHAIKSUKI VOWEL SIGN E
𑰹	ै	BHAIKSUKI VOWEL SIGN AI
𑰺	ो	BHAIKSUKI VOWEL SIGN O
𑰻	ौ	BHAIKSUKI VOWEL SIGN AU
𑰼	ँ	BHAIKSUKI SIGN CANDRABINDU
𑰽	ं	BHAIKSUKI SIGN ANUSVARA
𑰾	ः	BHAIKSUKI SIGN VISARGA
𑰿	्	BHAIKSUKI SIGN VIRAMA
𑱀	ऽ	BHAIKSUKI SIGN AVAGRAHA
𑱁	।	BHAIKSUKI DANDA
𑱂	॥	BHAIKSUKI DOUBLE DANDA
𑱐	०	BHAIKSUKI DIGIT ZERO
𑱑	१	BHAIKSUKI DIGIT ONE
𑱒	२	BHAIKSUKI DIGIT TWO
𑱓	३	BHAIKSUKI DIGIT THREE
𑱔	४	BHAIKSUKI DIGIT FOUR
𑱕	५	BHAIKSUKI DIGIT FIVE
𑱖	६	BHAIKSUKI DIGIT SIX
𑱗	७	BHAIKSUKI DIGIT SEVEN
𑱘	८	BHAIKSUKI DIGIT EIGHT
𑱙	९	BHAIKSUKI DIGIT NINE
