# BUGINESE -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᨀ	क	BUGINESE LETTER KA
ᨁ	ग	BUGINESE LETTER GA
ᨂ	ङ	BUGINESE LETTER NGA
ᨄ	प	BUGINESE LETTER PA
ᨅ	ब	BUGINESE LETTER BA
ᨆ	म	BUGINESE LETTER MA
ᨈ	त	BUGINESE LETTER TA
ᨉ	द	BUGINESE LETTER DA
ᨊ	न	BUGINESE LETTER NA
ᨌ	च	BUGINESE LETTER CA
ᨍ	ज	BUGINESE LETTER JA
ᨎ	ञ	BUGINESE LETTER NYA
ᨐ	य	BUGINESE LETTER YA
ᨑ	र	BUGINESE LETTER RA
ᨒ	ल	BUGINESE LETTER LA
ᨓ	व	BUGINESE LETTER VA
ᨔ	स	BUGINESE LETTER SA
ᨕ	अ	BUGINESE LETTER A
ᨖ	ह	BUGINESE LETTER HA
ᨗ	ि	BUGINESE VOWEL SIGN I
ᨘ	ु	BUGINESE VOWEL SIGN U
ᨙ	े	BUGINESE VOWEL SIGN E
ᨚ	ो	BUGINESE VOWEL SIGN O
