# CHAKMA -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑄀	ँ	CHAKMA SIGN CANDRABINDU
𑄁	ं	CHAKMA SIGN ANUSVARA
𑄂	ः	CHAKMA SIGN VISARGA
𑄃	आ	CHAKMA LETTER AA
𑄄	इ	CHAKMA LETTER I
𑄅	उ	CHAKMA LETTER U
𑄆	ए	CHAKMA LETTER E
𑄨	ि	CHAKMA VOWEL SIGN I
𑄩	ी	CHAKMA VOWEL SIGN II
𑄪	ु	CHAKMA VOWEL SIGN U
𑄫	ू	CHAKMA VOWEL SIGN UU
𑄬	े	CHAKMA VOWEL SIGN E
𑄭	ै	CHAKMA VOWEL SIGN AI
𑄮	ो	CHAKMA VOWEL SIGN O
𑄯	ौ	CHAKMA VOWEL SIGN AU
𑄶	०	CHAKMA DIGIT ZERO
𑄷	१	CHAKMA DIGIT ONE
𑄸	२	CHAKMA DIGIT TWO
𑄹	३	CHAKMA DIGIT THREE
𑄺	४	CHAKMA DIGIT FOUR
𑄻	५	CHAKMA DIGIT FIVE
𑄼	६	CHAKMA DIGIT SIX
𑄽	७	CHAKMA DIGIT SEVEN
𑄾	८	CHAKMA DIGIT EIGHT
𑄿	९	CHAKMA DIGIT NINE
𑅁	।	CHAKMA DANDA
𑅂	॥	CHAKMA DOUBLE DANDA
𑅅	ा	CHAKMA VOWEL SIGN AA
