# CHAM -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ꨀ	अ	CHAM LETTER A
ꨁ	इ	CHAM LETTER I
ꨂ	उ	CHAM LETTER U
ꨃ	ए	CHAM LETTER E
ꨄ	ऐ	CHAM LETTER AI
ꨅ	ओ	CHAM LETTER O
ꨆ	क	CHAM LETTER KA
ꨇ	ख	CHAM LETTER KHA
ꨈ	ग	CHAM LETTER GA
ꨉ	घ	CHAM LETTER GHA
ꨋ	ङ	CHAM LETTER NGA
ꨌ	छ	CHAM LETTER CHA
ꨎ	ज	CHAM LETTER JA
ꨏ	झ	CHAM LETTER JHA
ꨓ	त	CHAM LETTER TA
ꨔ	थ	CHAM LETTER THA
ꨕ	द	CHAM LETTER DA
ꨖ	ध	CHAM LETTER DHA
ꨘ	न	CHAM LETTER NA
ꨙ	ड	CHAM LETTER DDA
ꨚ	प	CHAM LETTER PA
ꨜ	फ	CHAM LETTER PHA
ꨝ	ब	CHAM LETTER BA
ꨞ	भ	CHAM LETTER BHA
ꨠ	म	CHAM LETTER MA
ꨡ	ॿ	CHAM LETTER BBA
ꨢ	य	CHAM LETTER YA
ꨣ	र	CHAM LETTER RA
ꨤ	ल	CHAM LETTER LA
ꨥ	व	CHAM LETTER VA
ꨦ	ष	CHAM LETTER SSA
ꨧ	स	CHAM LETTER SA
ꨨ	ह	CHAM LETTER HA
ꨩ	ा	CHAM VOWEL SIGN AA
ꨪ	ि	CHAM VOWEL SIGN I
ꨫ	ी	CHAM VOWEL SIGN II
ꨭ	ु	CHAM VOWEL SIGN U
ꨮ	ऺ	CHAM VOWEL SIGN OE
ꨯ	ो	CHAM VOWEL SIGN O
ꨰ	ै	CHAM VOWEL SIGN AI
ꨱ	ौ	CHAM VOWEL SIGN AU
ꨲ	ॖ	CHAM VOWEL SIGN UE
꩐	०	CHAM DIGIT ZERO
꩑	१	CHAM DIGIT ONE
꩒	२	CHAM DIGIT TWO
꩓	३	CHAM DIGIT THREE
꩔	४	CHAM DIGIT FOUR
꩕	५	CHAM DIGIT FIVE
꩖	६	CHAM DIGIT SIX
꩗	७	CHAM DIGIT SEVEN
꩘	८	CHAM DIGIT EIGHT
꩙	९	CHAM DIGIT NINE
