# DIVES AKURU -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑤀	अ	DIVES AKURU LETTER A
𑤁	आ	DIVES AKURU LETTER AA
𑤂	इ	DIVES AKURU LETTER I
𑤃	ई	DIVES AKURU LETTER II
𑤄	उ	DIVES AKURU LETTER U
𑤅	ऊ	DIVES AKURU LETTER UU
𑤆	ए	DIVES AKURU LETTER E
𑤉	ओ	DIVES AKURU LETTER O
𑤌	क	DIVES AKURU LETTER KA
𑤍	ख	DIVES AKURU LETTER KHA
𑤎	ग	DIVES AKURU LETTER GA
𑤏	घ	DIVES AKURU LETTER GHA
𑤐	ङ	DIVES AKURU LETTER NGA
𑤑	च	DIVES AKURU LETTER CA
𑤒	छ	DIVES AKURU LETTER CHA
𑤓	ज	DIVES AKURU LETTER JA
𑤕	ञ	DIVES AKURU LETTER NYA
𑤖	ट	DIVES AKURU LETTER TTA
𑤘	ड	DIVES AKURU LETTER DDA
𑤙	ढ	DIVES AKURU LETTER DDHA
𑤚	ण	DIVES AKURU LETTER NNA
𑤛	त	DIVES AKURU LETTER TA
𑤜	थ	DIVES AKURU LETTER THA
𑤝	द	DIVES AKURU LETTER DA
𑤞	ध	DIVES AKURU LETTER DHA
𑤟	न	DIVES AKURU LETTER NA
𑤠	प	DIVES AKURU LETTER PA
𑤡	फ	DIVES AKURU LETTER PHA
𑤢	ब	DIVES AKURU LETTER BA
𑤣	भ	DIVES AKURU LETTER BHA
𑤤	म	DIVES AKURU LETTER MA
𑤥	य	DIVES AKURU LETTER YA
𑤦	य़	DIVES AKURU LETTER YYA
𑤧	र	DIVES AKURU LETTER RA
𑤨	ल	DIVES AKURU LETTER LA
𑤩	व	DIVES AKURU LETTER VA
𑤪	श	DIVES AKURU LETTER SHA
𑤫	ष	DIVES AKURU LETTER SSA
𑤬	स	DIVES AKURU LETTER SA
𑤭	ह	DIVES AKURU LETTER HA
𑤮	ळ	DIVES AKURU LETTER LLA
𑤯	ज़	DIVES AKURU LETTER ZA
𑤰	ा	DIVES AKURU VOWEL SIGN AA
𑤱	ि	DIVES AKURU VOWEL SIGN I
𑤲	ी	DIVES AKURU VOWEL SIGN II
𑤳	ु	DIVES AKURU VOWEL SIGN U
𑤴	ू	DIVES AKURU VOWEL SIGN UU
𑤵	े	DIVES AKURU VOWEL SIGN E
𑤷	ै	DIVES AKURU VOWEL SIGN AI
𑤸	ो	DIVES AKURU VOWEL SIGN O
𑤻	ं	DIVES AKURU SIGN ANUSVARA
𑤼	ँ	DIVES AKURU SIGN CANDRABINDU
𑥃	़	DIVES AKURU SIGN NUKTA
𑥄	॥	DIVES AKURU DOUBLE DANDA
𑥐	०	DIVES AKURU DIGIT ZERO
𑥑	१	DIVES AKURU DIGIT ONE
𑥒	२	DIVES AKURU DIGIT TWO
𑥓	३	DIVES AKURU DIGIT THREE
𑥔	४	DIVES AKURU DIGIT FOUR
𑥕	५	DIVES AKURU DIGIT FIVE
𑥖	६	DIVES AKURU DIGIT SIX
𑥗	७	DIVES AKURU DIGIT SEVEN
𑥘	८	DIVES AKURU DIGIT EIGHT
𑥙	९	DIVES AKURU DIGIT NINE
