# GRANTHA -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑌁	ँ	GRANTHA SIGN CANDRABINDU
𑌂	ं	GRANTHA SIGN ANUSVARA
𑌃	ः	GRANTHA SIGN VISARGA
𑌅	अ	GRANTHA LETTER A
𑌆	आ	GRANTHA LETTER AA
𑌇	इ	GRANTHA LETTER I
𑌈	ई	GRANTHA LETTER II
𑌉	उ	GRANTHA LETTER U
𑌊	ऊ	GRANTHA LETTER UU
𑌋	ऋ	GRANTHA LETTER VOCALIC R
𑌌	ऌ	GRANTHA LETTER VOCALIC L
𑌐	ऐ	GRANTHA LETTER AI
𑌔	औ	GRANTHA LETTER AU
𑌕	क	GRANTHA LETTER KA
𑌖	ख	GRANTHA LETTER KHA
𑌗	ग	GRANTHA LETTER GA
𑌘	घ	GRANTHA LETTER GHA
𑌙	ङ	GRANTHA LETTER NGA
𑌚	च	GRANTHA LETTER CA
𑌛	छ	GRANTHA LETTER CHA
𑌜	ज	GRANTHA LETTER JA
𑌝	झ	GRANTHA LETTER JHA
𑌞	ञ	GRANTHA LETTER NYA
𑌟	ट	GRANTHA LETTER TTA
𑌠	ठ	GRANTHA LETTER TTHA
𑌡	ड	GRANTHA LETTER DDA
𑌢	ढ	GRANTHA LETTER DDHA
𑌣	ण	GRANTHA LETTER NNA
𑌤	त	GRANTHA LETTER TA
𑌥	थ	GRANTHA LETTER THA
𑌦	द	GRANTHA LETTER DA
𑌧	ध	GRANTHA LETTER DHA
𑌨	न	GRANTHA LETTER NA
𑌪	प	GRANTHA LETTER PA
𑌫	फ	GRANTHA LETTER PHA
𑌬	ब	GRANTHA LETTER BA
𑌭	भ	GRANTHA LETTER BHA
𑌮	म	GRANTHA LETTER MA
𑌯	य	GRANTHA LETTER YA
𑌰	र	GRANTHA LETTER RA
𑌲	ल	GRANTHA LETTER LA
𑌳	ळ	GRANTHA LETTER LLA
𑌵	व	GRANTHA LETTER VA
𑌶	श	GRANTHA LETTER SHA
𑌷	ष	GRANTHA LETTER SSA
𑌸	स	GRANTHA LETTER SA
𑌹	ह	GRANTHA LETTER HA
𑌼	़	GRANTHA SIGN NUKTA
𑌽	ऽ	GRANTHA SIGN AVAGRAHA
𑌾	ा	GRANTHA VOWEL SIGN AA
𑌿	ि	GRANTHA VOWEL SIGN I
𑍀	ी	GRANTHA VOWEL SIGN II
𑍁	ु	GRANTHA VOWEL SIGN U
𑍂	ू	GRANTHA VOWEL SIGN UU
𑍃	ृ	GRANTHA VOWEL SIGN VOCALIC R
𑍄	ॄ	GRANTHA VOWEL SIGN VOCALIC RR
𑍈	ै	GRANTHA VOWEL SIGN AI
𑍌	ौ	GRANTHA VOWEL SIGN AU
𑍍	्	GRANTHA SIGN VIRAMA
𑍐	ॐ	GRANTHA OM
𑍠	ॠ	GRANTHA LETTER VOCALIC RR
𑍡	ॡ	GRANTHA LETTER VOCALIC LL
𑍢	ॢ	GRANTHA VOWEL SIGN VOCALIC L
𑍣	ॣ	GRANTHA VOWEL SIGN VOCALIC LL
