# GUNJALA GONDI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑵠	अ	GUNJALA GONDI LETTER A
𑵡	आ	GUNJALA GONDI LETTER AA
𑵢	इ	GUNJALA GONDI LETTER I
𑵣	ई	GUNJALA GONDI LETTER II
𑵤	उ	GUNJALA GONDI LETTER U
𑵥	ऊ	GUNJALA GONDI LETTER UU
𑵨	ऐ	GUNJALA GONDI LETTER AI
𑵫	औ	GUNJALA GONDI LETTER AU
𑵬	य	GUNJALA GONDI LETTER YA
𑵭	व	GUNJALA GONDI LETTER VA
𑵮	ब	GUNJALA GONDI LETTER BA
𑵯	भ	GUNJALA GONDI LETTER BHA
𑵰	म	GUNJALA GONDI LETTER MA
𑵱	क	GUNJALA GONDI LETTER KA
𑵲	ख	GUNJALA GONDI LETTER KHA
𑵳	त	GUNJALA GONDI LETTER TA
𑵴	थ	GUNJALA GONDI LETTER THA
𑵵	ल	GUNJALA GONDI LETTER LA
𑵶	ग	GUNJALA GONDI LETTER GA
𑵷	घ	GUNJALA GONDI LETTER GHA
𑵸	द	GUNJALA GONDI LETTER DA
𑵹	ध	GUNJALA GONDI LETTER DHA
𑵺	न	GUNJALA GONDI LETTER NA
𑵻	च	GUNJALA GONDI LETTER CA
𑵼	छ	GUNJALA GONDI LETTER CHA
𑵽	ट	GUNJALA GONDI LETTER TTA
𑵾	ठ	GUNJALA GONDI LETTER TTHA
𑵿	ळ	GUNJALA GONDI LETTER LLA
𑶀	ज	GUNJALA GONDI LETTER JA
𑶁	झ	GUNJALA GONDI LETTER JHA
𑶂	ड	GUNJALA GONDI LETTER DDA
𑶃	ढ	GUNJALA GONDI LETTER DDHA
𑶄	ङ	GUNJALA GONDI LETTER NGA
𑶅	प	GUNJALA GONDI LETTER PA
𑶆	फ	GUNJALA GONDI LETTER PHA
𑶇	ह	GUNJALA GONDI LETTER HA
𑶈	र	GUNJALA GONDI LETTER RA
𑶉	स	GUNJALA GONDI LETTER SA
𑶊	ा	GUNJALA GONDI VOWEL SIGN AA
𑶋	ि	GUNJALA GONDI VOWEL SIGN I
𑶌	ी	GUNJALA GONDI VOWEL SIGN II
𑶍	ु	GUNJALA GONDI VOWEL SIGN U
𑶎	ू	GUNJALA GONDI VOWEL SIGN UU
𑶑	ै	GUNJALA GONDI VOWEL SIGN AI
𑶔	ौ	GUNJALA GONDI VOWEL SIGN AU
𑶕	ं	GUNJALA GONDI SIGN ANUSVARA
𑶖	ः	GUNJALA GONDI SIGN VISARGA
𑶘	ॐ	GUNJALA GONDI OM
𑶠	०	GUNJALA GONDI DIGIT ZERO
𑶡	१	GUNJALA GONDI DIGIT ONE
𑶢	२	GUNJALA GONDI DIGIT TWO
𑶣	३	GUNJALA GONDI DIGIT THREE
𑶤	४	GUNJALA GONDI DIGIT FOUR
𑶥	५	GUNJALA GONDI DIGIT FIVE
𑶦	६	GUNJALA GONDI DIGIT SIX
𑶧	७	GUNJALA GONDI DIGIT SEVEN
𑶨	८	GUNJALA GONDI DIGIT EIGHT
𑶩	९	GUNJALA GONDI DIGIT NINE
