# KAITHI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑂀	ँ	KAITHI SIGN CANDRABINDU
𑂁	ं	KAITHI SIGN ANUSVARA
𑂂	ः	KAITHI SIGN VISARGA
𑂃	अ	KAITHI LETTER A
𑂄	आ	KAITHI LETTER AA
𑂅	इ	KAITHI LETTER I
𑂆	ई	KAITHI LETTER II
𑂇	उ	KAITHI LETTER U
𑂈	ऊ	KAITHI LETTER UU
𑂉	ए	KAITHI LETTER E
𑂊	ऐ	KAITHI LETTER AI
𑂋	ओ	KAITHI LETTER O
𑂌	औ	KAITHI LETTER AU
𑂍	क	KAITHI LETTER KA
𑂎	ख	KAITHI LETTER KHA
𑂏	ग	KAITHI LETTER GA
𑂐	घ	KAITHI LETTER GHA
𑂑	ङ	KAITHI LETTER NGA
𑂒	च	KAITHI LETTER CA
𑂓	छ	KAITHI LETTER CHA
𑂔	ज	KAITHI LETTER JA
𑂕	झ	KAITHI LETTER JHA
𑂖	ञ	KAITHI LETTER NYA
𑂗	ट	KAITHI LETTER TTA
𑂘	ठ	KAITHI LETTER TTHA
𑂙	ड	KAITHI LETTER DDA
𑂚	ड़	KAITHI LETTER DDDHA
𑂛	ढ	KAITHI LETTER DDHA
𑂜	ढ़	KAITHI LETTER RHA
𑂝	ण	KAITHI LETTER NNA
𑂞	त	KAITHI LETTER TA
𑂟	थ	KAITHI LETTER THA
𑂠	द	KAITHI LETTER DA
𑂡	ध	KAITHI LETTER DHA
𑂢	न	KAITHI LETTER NA
𑂣	प	KAITHI LETTER PA
𑂤	फ	KAITHI LETTER PHA
𑂥	ब	KAITHI LETTER BA
𑂦	भ	KAITHI LETTER BHA
𑂧	म	KAITHI LETTER MA
𑂨	य	KAITHI LETTER YA
𑂩	र	KAITHI LETTER RA
𑂪	ल	KAITHI LETTER LA
𑂫	व	KAITHI LETTER VA
𑂬	श	KAITHI LETTER SHA
𑂭	ष	KAITHI LETTER SSA
𑂮	स	KAITHI LETTER SA
𑂯	ह	KAITHI LETTER HA
𑂰	ा	KAITHI VOWEL SIGN AA
𑂱	ि	KAITHI VOWEL SIGN I
𑂲	ी	KAITHI VOWEL SIGN II
𑂳	ु	KAITHI VOWEL SIGN U
𑂴	ू	KAITHI VOWEL SIGN UU
𑂵	े	KAITHI VOWEL SIGN E
𑂶	ै	KAITHI VOWEL SIGN AI
𑂷	ो	KAITHI VOWEL SIGN O
𑂸	ौ	KAITHI VOWEL SIGN AU
𑂹	्	KAITHI SIGN VIRAMA
𑂺	़	KAITHI SIGN NUKTA
𑂻	॰	KAITHI ABBREVIATION SIGN
𑃀	।	KAITHI DANDA
𑃁	॥	KAITHI DOUBLE DANDA
