# KHAROSHTHI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𐨀	अ	KHAROSHTHI LETTER A
𐨁	ि	KHAROSHTHI VOWEL SIGN I
𐨂	ु	KHAROSHTHI VOWEL SIGN U
𐨃	ृ	KHAROSHTHI VOWEL SIGN VOCALIC R
𐨅	े	KHAROSHTHI VOWEL SIGN E
𐨆	ो	KHAROSHTHI VOWEL SIGN O
𐨎	ं	KHAROSHTHI SIGN ANUSVARA
𐨏	ः	KHAROSHTHI SIGN VISARGA
𐨐	क	KHAROSHTHI LETTER KA
𐨑	ख	KHAROSHTHI LETTER KHA
𐨒	ग	KHAROSHTHI LETTER GA
𐨓	घ	KHAROSHTHI LETTER GHA
𐨕	च	KHAROSHTHI LETTER CA
𐨖	छ	KHAROSHTHI LETTER CHA
𐨗	ज	KHAROSHTHI LETTER JA
𐨙	ञ	KHAROSHTHI LETTER NYA
𐨚	ट	KHAROSHTHI LETTER TTA
𐨛	ठ	KHAROSHTHI LETTER TTHA
𐨜	ड	KHAROSHTHI LETTER DDA
𐨝	ढ	KHAROSHTHI LETTER DDHA
𐨞	ण	KHAROSHTHI LETTER NNA
𐨟	त	KHAROSHTHI LETTER TA
𐨠	थ	KHAROSHTHI LETTER THA
𐨡	द	KHAROSHTHI LETTER DA
𐨢	ध	KHAROSHTHI LETTER DHA
𐨣	न	KHAROSHTHI LETTER NA
𐨤	प	KHAROSHTHI LETTER PA
𐨥	फ	KHAROSHTHI LETTER PHA
𐨦	ब	KHAROSHTHI LETTER BA
𐨧	भ	KHAROSHTHI LETTER BHA
𐨨	म	KHAROSHTHI LETTER MA
𐨩	य	KHAROSHTHI LETTER YA
𐨪	र	KHAROSHTHI LETTER RA
𐨫	ल	KHAROSHTHI LETTER LA
𐨬	व	KHAROSHTHI LETTER VA
𐨭	श	KHAROSHTHI LETTER SHA
𐨮	ष	KHAROSHTHI LETTER SSA
𐨯	स	KHAROSHTHI LETTER SA
𐨰	ज़	KHAROSHTHI LETTER ZA
𐨱	ह	KHAROSHTHI LETTER HA
𐩀	१	KHAROSHTHI DIGIT ONE
𐩁	२	KHAROSHTHI DIGIT TWO
𐩂	३	KHAROSHTHI DIGIT THREE
𐩃	४	KHAROSHTHI DIGIT FOUR
