# KHUDAWADI -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
𑊰	अ	KHUDAWADI LETTER A
𑊱	आ	KHUDAWADI LETTER AA
𑊲	इ	KHUDAWADI LETTER I
𑊳	ई	KHUDAWADI LETTER II
𑊴	उ	KHUDAWADI LETTER U
𑊵	ऊ	KHUDAWADI LETTER UU
𑊶	ए	KHUDAWADI LETTER E
𑊷	ऐ	KHUDAWADI LETTER AI
𑊸	ओ	KHUDAWADI LETTER O
𑊹	औ	KHUDAWADI LETTER AU
𑊺	क	KHUDAWADI LETTER KA
𑊻	ख	KHUDAWADI LETTER KHA
𑊼	ग	KHUDAWADI LETTER GA
𑊽	ॻ	KHUDAWADI LETTER GGA
𑊾	घ	KHUDAWADI LETTER GHA
𑊿	ङ	KHUDAWADI LETTER NGA
𑋀	च	KHUDAWADI LETTER CA
𑋁	छ	KHUDAWADI LETTER CHA
𑋂	ज	KHUDAWADI LETTER JA
𑋃	ॼ	KHUDAWADI LETTER JJA
𑋄	झ	KHUDAWADI LETTER JHA
𑋅	ञ	KHUDAWADI LETTER NYA
𑋆	ट	KHUDAWADI LETTER TTA
𑋇	ठ	KHUDAWADI LETTER TTHA
𑋈	ड	KHUDAWADI LETTER DDA
𑋉	ॾ	KHUDAWADI LETTER DDDA
𑋊	ऱ	KHUDAWADI LETTER RRA
𑋋	ढ	KHUDAWADI LETTER DDHA
𑋌	ण	KHUDAWADI LETTER NNA
𑋍	त	KHUDAWADI LETTER TA
𑋎	थ	KHUDAWADI LETTER THA
𑋏	द	KHUDAWADI LETTER DA
𑋐	ध	KHUDAWADI LETTER DHA
𑋑	न	KHUDAWADI LETTER NA
𑋒	प	KHUDAWADI LETTER PA
𑋓	फ	KHUDAWADI LETTER PHA
𑋔	ब	KHUDAWADI LETTER BA
𑋕	ॿ	KHUDAWADI LETTER BBA
𑋖	भ	KHUDAWADI LETTER BHA
𑋗	म	KHUDAWADI LETTER MA
𑋘	य	KHUDAWADI LETTER YA
𑋙	र	KHUDAWADI LETTER RA
𑋚	ल	KHUDAWADI LETTER LA
𑋛	व	KHUDAWADI LETTER VA
𑋜	श	KHUDAWADI LETTER SHA
𑋝	स	KHUDAWADI LETTER SA
𑋞	ह	KHUDAWADI LETTER HA
𑋟	ं	KHUDAWADI SIGN ANUSVARA
𑋠	ा	KHUDAWADI VOWEL SIGN AA
𑋡	ि	KHUDAWADI VOWEL SIGN I
𑋢	ी	KHUDAWADI VOWEL SIGN II
𑋣	ु	KHUDAWADI VOWEL SIGN U
𑋤	ू	KHUDAWADI VOWEL SIGN UU
𑋥	े	KHUDAWADI VOWEL SIGN E
𑋦	ै	KHUDAWADI VOWEL SIGN AI
𑋧	ो	KHUDAWADI VOWEL SIGN O
𑋨	ौ	KHUDAWADI VOWEL SIGN AU
𑋩	़	KHUDAWADI SIGN NUKTA
𑋪	्	KHUDAWADI SIGN VIRAMA
𑋰	०	KHUDAWADI DIGIT ZERO
𑋱	१	KHUDAWADI DIGIT ONE
𑋲	२	KHUDAWADI DIGIT TWO
𑋳	३	KHUDAWADI DIGIT THREE
𑋴	४	KHUDAWADI DIGIT FOUR
𑋵	५	KHUDAWADI DIGIT FIVE
𑋶	६	KHUDAWADI DIGIT SIX
𑋷	७	KHUDAWADI DIGIT SEVEN
𑋸	८	KHUDAWADI DIGIT EIGHT
𑋹	९	KHUDAWADI DIGIT NINE
