# LAO -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ອ	ओ	LAO LETTER O
າ	ा	LAO VOWEL SIGN AA
ິ	ि	LAO VOWEL SIGN I
ີ	ी	LAO VOWEL SIGN II
ຸ	ु	LAO VOWEL SIGN U
ູ	ू	LAO VOWEL SIGN UU
ເ	े	LAO VOWEL SIGN E
ໂ	ो	LAO VOWEL SIGN O
ໄ	ै	LAO VOWEL SIGN AI
໐	०	LAO DIGIT ZERO
໑	१	LAO DIGIT ONE
໒	२	LAO DIGIT TWO
໓	३	LAO DIGIT THREE
໔	४	LAO DIGIT FOUR
໕	५	LAO DIGIT FIVE
໖	६	LAO DIGIT SIX
໗	७	LAO DIGIT SEVEN
໘	८	LAO DIGIT EIGHT
໙	९	LAO DIGIT NINE
