# LEPCHA -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᰀ	क	LEPCHA LETTER KA
ᰂ	ख	LEPCHA LETTER KHA
ᰃ	ग	LEPCHA LETTER GA
ᰅ	ङ	LEPCHA LETTER NGA
ᰆ	च	LEPCHA LETTER CA
ᰇ	छ	LEPCHA LETTER CHA
ᰈ	ज	LEPCHA LETTER JA
ᰉ	ञ	LEPCHA LETTER NYA
ᰊ	त	LEPCHA LETTER TA
ᰋ	थ	LEPCHA LETTER THA
ᰌ	द	LEPCHA LETTER DA
ᰍ	न	LEPCHA LETTER NA
ᰎ	प	LEPCHA LETTER PA
ᰐ	फ	LEPCHA LETTER PHA
ᰑ	फ़	LEPCHA LETTER FA
ᰓ	ब	LEPCHA LETTER BA
ᰕ	म	LEPCHA LETTER MA
ᰚ	य	LEPCHA LETTER YA
ᰛ	र	LEPCHA LETTER RA
ᰜ	ल	LEPCHA LETTER LA
ᰝ	ह	LEPCHA LETTER HA
ᰟ	व	LEPCHA LETTER VA
ᰠ	स	LEPCHA LETTER SA
ᰡ	श	LEPCHA LETTER SHA
ᰣ	अ	LEPCHA LETTER A
ᰦ	ा	LEPCHA VOWEL SIGN AA
ᰧ	ि	LEPCHA VOWEL SIGN I
ᰨ	ो	LEPCHA VOWEL SIGN O
ᰪ	ु	LEPCHA VOWEL SIGN U
ᰫ	ू	LEPCHA VOWEL SIGN UU
ᰬ	े	LEPCHA VOWEL SIGN E
᰷	़	LEPCHA SIGN NUKTA
᱀	०	LEPCHA DIGIT ZERO
᱁	१	LEPCHA DIGIT ONE
᱂	२	LEPCHA DIGIT TWO
᱃	३	LEPCHA DIGIT THREE
᱄	४	LEPCHA DIGIT FOUR
᱅	५	LEPCHA DIGIT FIVE
᱆	६	LEPCHA DIGIT SIX
᱇	७	LEPCHA DIGIT SEVEN
᱈	८	LEPCHA DIGIT EIGHT
᱉	९	LEPCHA DIGIT NINE
ᱍ	ट	LEPCHA LETTER TTA
ᱎ	ठ	LEPCHA LETTER TTHA
ᱏ	ड	LEPCHA LETTER DDA
