# LIMBU -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ᤁ	क	LIMBU LETTER KA
ᤂ	ख	LIMBU LETTER KHA
ᤃ	ग	LIMBU LETTER GA
ᤄ	घ	LIMBU LETTER GHA
ᤅ	ङ	LIMBU LETTER NGA
ᤆ	च	LIMBU LETTER CA
ᤇ	छ	LIMBU LETTER CHA
ᤈ	ज	LIMBU LETTER JA
ᤉ	झ	LIMBU LETTER JHA
ᤋ	त	LIMBU LETTER TA
ᤌ	थ	LIMBU LETTER THA
ᤍ	द	LIMBU LETTER DA
ᤎ	ध	LIMBU LETTER DHA
ᤏ	न	LIMBU LETTER NA
ᤐ	प	LIMBU LETTER PA
ᤑ	फ	LIMBU LETTER PHA
ᤒ	ब	LIMBU LETTER BA
ᤓ	भ	LIMBU LETTER BHA
ᤔ	म	LIMBU LETTER MA
ᤕ	य	LIMBU LETTER YA
ᤖ	र	LIMBU LETTER RA
ᤗ	ल	LIMBU LETTER LA
ᤙ	श	LIMBU LETTER SHA
ᤚ	ष	LIMBU LETTER SSA
ᤛ	स	LIMBU LETTER SA
ᤜ	ह	LIMBU LETTER HA
ᤡ	ि	LIMBU VOWEL SIGN I
ᤢ	ु	LIMBU VOWEL SIGN U
ᤤ	ै	LIMBU VOWEL SIGN AI
ᤦ	ौ	LIMBU VOWEL SIGN AU
ᤧ	े	LIMBU VOWEL SIGN E
ᤨ	ो	LIMBU VOWEL SIGN O
᥆	०	LIMBU DIGIT ZERO
᥇	१	LIMBU DIGIT ONE
᥈	२	LIMBU DIGIT TWO
᥉	३	LIMBU DIGIT THREE
᥊	४	LIMBU DIGIT FOUR
᥋	५	LIMBU DIGIT FIVE
᥌	६	LIMBU DIGIT SIX
᥍	७	LIMBU DIGIT SEVEN
᥎	८	LIMBU DIGIT EIGHT
᥏	९	LIMBU DIGIT NINE
