# MALAYALAM -> Devanagari hub (Unicode name-projection). (C) 1993-2026 Abhishek Choudhary, GPL
# Generated by replacing the script token with DEVANAGARI in Unicode character names. Not a handmade map.
src	deva	unicode_name
ഁ	ँ	MALAYALAM SIGN CANDRABINDU
ം	ं	MALAYALAM SIGN ANUSVARA
ഃ	ः	MALAYALAM SIGN VISARGA
അ	अ	MALAYALAM LETTER A
ആ	आ	MALAYALAM LETTER AA
ഇ	इ	MALAYALAM LETTER I
ഈ	ई	MALAYALAM LETTER II
ഉ	उ	MALAYALAM LETTER U
ഊ	ऊ	MALAYALAM LETTER UU
ഋ	ऋ	MALAYALAM LETTER VOCALIC R
ഌ	ऌ	MALAYALAM LETTER VOCALIC L
എ	ए	MALAYALAM LETTER E
ഐ	ऐ	MALAYALAM LETTER AI
ഒ	ओ	MALAYALAM LETTER O
ഔ	औ	MALAYALAM LETTER AU
ക	क	MALAYALAM LETTER KA
ഖ	ख	MALAYALAM LETTER KHA
ഗ	ग	MALAYALAM LETTER GA
ഘ	घ	MALAYALAM LETTER GHA
ങ	ङ	MALAYALAM LETTER NGA
ച	च	MALAYALAM LETTER CA
ഛ	छ	MALAYALAM LETTER CHA
ജ	ज	MALAYALAM LETTER JA
ഝ	झ	MALAYALAM LETTER JHA
ഞ	ञ	MALAYALAM LETTER NYA
ട	ट	MALAYALAM LETTER TTA
ഠ	ठ	MALAYALAM LETTER TTHA
ഡ	ड	MALAYALAM LETTER DDA
ഢ	ढ	MALAYALAM LETTER DDHA
ണ	ण	MALAYALAM LETTER NNA
ത	त	MALAYALAM LETTER TA
ഥ	थ	MALAYALAM LETTER THA
ദ	द	MALAYALAM LETTER DA
ധ	ध	MALAYALAM LETTER DHA
ന	न	MALAYALAM LETTER NA
ഩ	ऩ	MALAYALAM LETTER NNNA
പ	प	MALAYALAM LETTER PA
ഫ	फ	MALAYALAM LETTER PHA
ബ	ब	MALAYALAM LETTER BA
ഭ	भ	MALAYALAM LETTER BHA
മ	म	MALAYALAM LETTER MA
യ	य	MALAYALAM LETTER YA
ര	र	MALAYALAM LETTER RA
റ	ऱ	MALAYALAM LETTER RRA
ല	ल	MALAYALAM LETTER LA
ള	ळ	MALAYALAM LETTER LLA
ഴ	ऴ	MALAYALAM LETTER LLLA
വ	व	MALAYALAM LETTER VA
ശ	श	MALAYALAM LETTER SHA
ഷ	ष	MALAYALAM LETTER SSA
സ	स	MALAYALAM LETTER SA
ഹ	ह	MALAYALAM LETTER HA
ഽ	ऽ	MALAYALAM SIGN AVAGRAHA
ാ	ा	MALAYALAM VOWEL SIGN AA
ി	ि	MALAYALAM VOWEL SIGN I
ീ	ी	MALAYALAM VOWEL SIGN II
ു	ु	MALAYALAM VOWEL SIGN U
ൂ	ू	MALAYALAM VOWEL SIGN UU
ൃ	ृ	MALAYALAM VOWEL SIGN VOCALIC R
ൄ	ॄ	MALAYALAM VOWEL SIGN VOCALIC RR
െ	े	MALAYALAM VOWEL SIGN E
ൈ	ै	MALAYALAM VOWEL SIGN AI
ൊ	ो	MALAYALAM VOWEL SIGN O
ൌ	ौ	MALAYALAM VOWEL SIGN AU
്	्	MALAYALAM SIGN VIRAMA
ൠ	ॠ	MALAYALAM LETTER VOCALIC RR
ൡ	ॡ	MALAYALAM LETTER VOCALIC LL
ൢ	ॢ	MALAYALAM VOWEL SIGN VOCALIC L
ൣ	ॣ	MALAYALAM VOWEL SIGN VOCALIC LL
൦	०	MALAYALAM DIGIT ZERO
൧	१	MALAYALAM DIGIT ONE
൨	२	MALAYALAM DIGIT TWO
൩	३	MALAYALAM DIGIT THREE
൪	४	MALAYALAM DIGIT FOUR
൫	५	MALAYALAM DIGIT FIVE
൬	६	MALAYALAM DIGIT SIX
൭	७	MALAYALAM DIGIT SEVEN
൮	८	MALAYALAM DIGIT EIGHT
൯	९	MALAYALAM DIGIT NINE
